id	isInvasive	habitat
109000	Null	Terrestrial
109001	Invasive	Terrestrial
109002	Null	Terrestrial
109003	Null	Terrestrial
109004	Null	Terrestrial
109005	Null	Terrestrial
109006	Null	Host
109007	Null	Terrestrial
109008	Null	Terrestrial
109009	Null	Terrestrial
109010	Null	Terrestrial
109011	Null	Terrestrial
109012	Null	Terrestrial
109013	Null	Terrestrial
109014	Null	Terrestrial
109015	Null	Terrestrial
109016	Null	Terrestrial
109017	Null	Terrestrial
109018	Null	Terrestrial
109019	Invasive	Terrestrial
109020	Null	Terrestrial|Freshwater
109021	Null	Terrestrial
109022	Null	Terrestrial
109023	Null	Terrestrial
109024	Null	Terrestrial
109025	Null	Terrestrial
109026	Null	Terrestrial
109027	Null	Terrestrial
109028	Null	Terrestrial
109029	Null	Terrestrial
109030	Null	Terrestrial
109031	Null	Terrestrial
109032	Null	Terrestrial
109033	Invasive	Terrestrial
109034	Null	Terrestrial
109035	Invasive	Terrestrial
109036	Null	Host
109037	Null	Terrestrial
109038	Null	Terrestrial
109039	Null	Freshwater
109040	Null	Freshwater|Brackish
109041	Null	Terrestrial
109042	Null	Terrestrial
109043	Null	Terrestrial
109044	Null	Terrestrial
109045	Null	Terrestrial
109046	Null	Terrestrial
109047	Invasive	Freshwater
109048	Null	Terrestrial
109049	Null	Terrestrial
109050	Invasive	Freshwater
109051	Null	Terrestrial
109052	Null	Terrestrial
109053	Null	Terrestrial
109054	Null	Terrestrial
109055	Null	Terrestrial
109056	Null	Terrestrial
109057	Null	Terrestrial
109058	Null	Terrestrial
109059	Null	Terrestrial
109060	Null	Terrestrial
109061	Invasive	Terrestrial
109062	Null	Terrestrial
109063	Null	Terrestrial
109064	Null	Terrestrial
109065	Null	Terrestrial
109066	Invasive	Terrestrial|Freshwater
109067	Invasive	Terrestrial
