id	locationID	countryCode	occurrenceStatus	establishmentMeans
91000	Libya	LY	Present	Alien
91001	Libya	LY	Present	Alien
91002	Libya	LY	Present	Alien
91003	Libya	LY	Present	Alien
91004	Libya	LY	Present	Alien
91005	Libya	LY	Present	Alien
91006	Libya	LY	Present	Alien
91007	Libya	LY	Present	Alien
91008	Libya	LY	Present	Alien
91009	Libya	LY	Present	Alien
91010	Libya	LY	Present	Alien
91011	Libya	LY	Present	Alien
91012	Libya	LY	Present	Alien
91013	Libya	LY	Present	Alien
91014	Libya	LY	Present	Alien
91015	Libya	LY	Present	Alien
91016	Libya	LY	Present	Alien
91017	Libya	LY	Present	Alien
91018	Libya	LY	Present	Alien
91019	Libya	LY	Present	Cryptogenic|Uncertain
91020	Libya	LY	Present	Alien
91021	Libya	LY	Present	Alien
91022	Libya	LY	Present	Alien
91023	Libya	LY	Present	Alien
91024	Libya	LY	Present	Alien
91025	Libya	LY	Present	Alien
91026	Libya	LY	Present	Alien
91027	Libya	LY	Present	Alien
91028	Libya	LY	Present	Alien
91029	Libya	LY	Present	Alien
91030	Libya	LY	Present	Alien
91031	Libya	LY	Present	Alien
91032	Libya	LY	Uncertain	Alien
91033	Libya	LY	Present	Cryptogenic|Uncertain
91034	Libya	LY	Present	Alien
91035	Libya	LY	Present	Cryptogenic|Uncertain
91036	Libya	LY	Present	Alien
91037	Libya	LY	Present	Alien
91038	Libya	LY	Present	Alien
91039	Libya	LY	Present	Alien
91040	Libya	LY	Present	Alien
91041	Libya	LY	Present	Alien
91042	Libya	LY	Present	Alien
91043	Libya	LY	Present	Alien
91044	Libya	LY	Present	Alien
91045	Libya	LY	Present	Alien
91046	Libya	LY	Present	Alien
91047	Libya	LY	Present	Alien
91048	Libya	LY	Present	Alien
91049	Libya	LY	Present	Alien
91050	Libya	LY	Present	Alien
91051	Libya	LY	Present	Alien
91052	Libya	LY	Present	Alien
91053	Libya	LY	Present	Alien
91054	Libya	LY	Present	Alien
91055	Libya	LY	Present	Alien
91056	Libya	LY	Present	Alien
91057	Libya	LY	Present	Alien
91058	Libya	LY	Present	Alien
91059	Libya	LY	Present	Alien
91060	Libya	LY	Present	Alien
91061	Libya	LY	Present	Alien
91062	Libya	LY	Present	Alien
91063	Libya	LY	Present	Alien
91064	Libya	LY	Present	Alien
91065	Libya	LY	Present	Alien
