id	isInvasive	habitat
90500	Null	Terrestrial|Freshwater
90501	Null	Terrestrial|Freshwater
90502	Invasive	Terrestrial
90503	Null	Terrestrial|Freshwater
90504	Invasive	Terrestrial|Freshwater
90505	Null	Terrestrial
90506	Null	Terrestrial
90507	Null	Terrestrial
90508	Invasive	Terrestrial
90509	Null	Terrestrial
90510	Invasive	Terrestrial
90511	Null	Terrestrial
90512	Null	Terrestrial
90513	Null	Terrestrial
90514	Null	Terrestrial
90515	Null	Terrestrial
90516	Null	Terrestrial
90517	Invasive	Terrestrial
90518	Invasive	Terrestrial
90519	Null	Terrestrial
90520	Null	Terrestrial
90521	Null	Freshwater|Brackish
90522	Null	Freshwater|Brackish
90523	Null	Terrestrial
90524	Null	Terrestrial
90525	Null	Terrestrial
90526	Null	Terrestrial
90527	Null	Host
90528	Null	Terrestrial
90529	Null	Terrestrial
90530	Null	Terrestrial
90531	Null	Terrestrial
90532	Null	Terrestrial|Freshwater
90533	Invasive	Terrestrial|Freshwater
90534	Null	Terrestrial
90535	Null	Terrestrial
90536	Invasive	Freshwater
90537	Null	Terrestrial
90538	Invasive	Terrestrial
90539	Null	Terrestrial
90540	Null	Terrestrial
90541	Null	Terrestrial
90542	Null	Terrestrial
90543	Null	Terrestrial
90544	Null	Terrestrial
90545	Invasive	Terrestrial
90546	Null	Terrestrial
90547	Null	Terrestrial
90548	Null	Terrestrial
90549	Null	Terrestrial
90550	Null	Terrestrial
90551	Null	Terrestrial
90552	Invasive	Terrestrial
90553	Null	Terrestrial
90554	Invasive	Terrestrial
90555	Null	Terrestrial
90556	Null	Host
90557	Null	Terrestrial
90558	Invasive	Terrestrial
90559	Invasive	Terrestrial
90560	Null	Terrestrial|Freshwater
90561	Null	Terrestrial
90562	Null	Terrestrial
90563	Null	Terrestrial
90564	Null	Terrestrial
90565	Null	Host
90566	Null	Terrestrial
90567	Null	Terrestrial
90568	Null	Terrestrial
90569	Null	Terrestrial
90570	Null	Terrestrial
90571	Null	Terrestrial
90572	Null	Terrestrial
90573	Null	Terrestrial|Freshwater|Marine
90574	Null	Terrestrial
90575	Null	Terrestrial
90576	Null	Terrestrial
90577	Null	Terrestrial
90578	Null	Terrestrial
90579	Null	Terrestrial
90580	Null	Terrestrial|Freshwater
90581	Null	Terrestrial
90582	Null	Terrestrial
90583	Null	Terrestrial
90584	Null	Terrestrial
90585	Null	Terrestrial
90586	Null	Terrestrial
90587	Null	Terrestrial
90588	Null	Terrestrial
90589	Null	Terrestrial
90590	Null	Terrestrial|Freshwater
90591	Null	Terrestrial
90592	Null	Terrestrial
90593	Invasive	Terrestrial
90594	Invasive	Terrestrial
90595	Null	Terrestrial
90596	Null	Terrestrial
90597	Null	Terrestrial
90598	Null	Terrestrial
90599	Null	Terrestrial
90600	Invasive	Terrestrial
90601	Null	Terrestrial
90602	Null	Terrestrial
90603	Null	Terrestrial
90604	Null	Terrestrial
90605	Null	Terrestrial
90606	Invasive	Terrestrial
90607	Invasive	Terrestrial
90608	Null	Host
90609	Null	Terrestrial
90610	Null	Terrestrial
90611	Null	Terrestrial
90612	Null	Terrestrial
90613	Null	Host
90614	Invasive	Terrestrial
90615	Null	Terrestrial
90616	Null	Terrestrial
