id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans	eventDate
121450	Ratak	Likiep Atoll	MH	Present	Alien	2022
121451	Ratak	Likiep Atoll	MH	Present	Alien	2022
121452	Ratak	Likiep Atoll	MH	Present	Alien	2022
121453	Ratak	Likiep Atoll	MH	Present	Alien	2022
121454	Ratak	Likiep Atoll	MH	Present	Alien	2022
121455	Ratak	Likiep Atoll	MH	Present	Alien	2022
121456	Ratak	Likiep Atoll	MH	Present	Alien	2022
121457	Ratak	Likiep Atoll	MH	Present	Alien	2022
121458	Ratak	Likiep Atoll	MH	Present	Alien	2022
121459	Ratak	Likiep Atoll	MH	Present	Alien	2022
121460	Ratak	Likiep Atoll	MH	Present	Alien	2022
121461	Ratak	Likiep Atoll	MH	Present	Alien	2022
121462	Ratak	Likiep Atoll	MH	Present	Alien	2022
121463	Ratak	Likiep Atoll	MH	Present	Alien	2022
121464	Ratak	Likiep Atoll	MH	Present	Alien	2022
121465	Ratak	Likiep Atoll	MH	Present	Alien	2022
121466	Ratak	Likiep Atoll	MH	Present	Alien	2022
121467	Ratak	Likiep Atoll	MH	Present	Alien	2022
121468	Ratak	Likiep Atoll	MH	Present	Alien	2022
121469	Ratak	Likiep Atoll	MH	Present	Alien	2022
121470	Ratak	Likiep Atoll	MH	Present	Alien	2022
121471	Ratak	Likiep Atoll	MH	Present	Alien	2022
121472	Ratak	Likiep Atoll	MH	Present	Alien	2022
121473	Ratak	Likiep Atoll	MH	Present	Alien	2022
121474	Ratak	Likiep Atoll	MH	Present	Alien	2022
121475	Ratak	Likiep Atoll	MH	Present	Alien	2022
121476	Ratak	Likiep Atoll	MH	Present	Alien	2022
121477	Ratak	Likiep Atoll	MH	Present	Alien	2022
121478	Ratak	Likiep Atoll	MH	Present	Alien	2022
121479	Ratak	Likiep Atoll	MH	Present	Alien	2022
121480	Ratak	Likiep Atoll	MH	Present	Alien	2022
121481	Ratak	Likiep Atoll	MH	Present	Alien	2022
121482	Ratak	Likiep Atoll	MH	Present	Alien	2022
121483	Ratak	Likiep Atoll	MH	Present	Alien	2022
121484	Ratak	Likiep Atoll	MH	Present	Alien	2022
121485	Ratak	Likiep Atoll	MH	Present	Alien	2022
121486	Ratak	Likiep Atoll	MH	Present	Alien	2022
121487	Ratak	Likiep Atoll	MH	Present	Alien	2022
121488	Ratak	Likiep Atoll	MH	Present	Alien	2022
121489	Ratak	Likiep Atoll	MH	Present	Alien	2022
121490	Ratak	Likiep Atoll	MH	Present	Alien	2022
121491	Ratak	Likiep Atoll	MH	Present	Alien	2022
121492	Ratak	Likiep Atoll	MH	Present	Alien	2022
121493	Ratak	Likiep Atoll	MH	Present	Alien	2022
