id	isInvasive	habitat
121450	Null	Terrestrial
121451	Null	Terrestrial
121452	Null	Terrestrial
121453	Null	Terrestrial
121454	Null	Terrestrial
121455	Null	Terrestrial
121456	Null	Terrestrial
121457	Null	Terrestrial
121458	Null	Terrestrial
121459	Null	Terrestrial
121460	Null	Terrestrial
121461	Null	Terrestrial
121462	Null	Terrestrial|Freshwater
121463	Null	Terrestrial
121464	Null	Terrestrial|Freshwater
121465	Null	Terrestrial
121466	Null	Terrestrial
121467	Null	Terrestrial
121468	Null	Terrestrial
121469	Null	Terrestrial
121470	Null	Terrestrial
121471	Null	Terrestrial
121472	Null	Terrestrial
121473	Null	Terrestrial
121474	Null	Terrestrial
121475	Null	Terrestrial
121476	Null	Terrestrial
121477	Null	Terrestrial
121478	Null	Terrestrial
121479	Null	Terrestrial
121480	Null	Terrestrial
121481	Null	Terrestrial|Freshwater
121482	Null	Terrestrial|Freshwater
121483	Null	Terrestrial
121484	Null	Terrestrial
121485	Null	Terrestrial
121486	Null	Terrestrial
121487	Null	Terrestrial
121488	Null	Terrestrial
121489	Invasive	Terrestrial
121490	Null	Terrestrial
121491	Null	Terrestrial
121492	Null	Terrestrial
121493	Null	Terrestrial
