id	locationID	countryCode	occurrenceStatus	establishmentMeans
101750	Madagascar	MG	Present	Alien
101751	Madagascar	MG	Present	Alien
101752	Madagascar	MG	Present	Alien
101753	Madagascar	MG	Present	Alien
101754	Madagascar	MG	Present	Alien
101755	Madagascar	MG	Present	Alien
101756	Madagascar	MG	Present	Alien
101757	Madagascar	MG	Present	Alien
101758	Madagascar	MG	Present	Alien
101759	Madagascar	MG	Present	Alien
101760	Madagascar	MG	Present	Alien
101761	Madagascar	MG	Present	Alien
101762	Madagascar	MG	Present	Alien
101763	Madagascar	MG	Present	Alien
101764	Madagascar	MG	Present	Alien
101765	Madagascar	MG	Present	Alien
101766	Madagascar	MG	Present	Alien
101767	Madagascar	MG	Present	Alien
101768	Madagascar	MG	Present	Alien
101769	Madagascar	MG	Present	Alien
101770	Madagascar	MG	Present	Alien
101771	Madagascar	MG	Present	Alien
101772	Madagascar	MG	Present	Alien
101773	Madagascar	MG	Present	Alien
101774	Madagascar	MG	Present	Alien
101775	Madagascar	MG	Present	Alien
101776	Madagascar	MG	Present	Alien
101777	Madagascar	MG	Present	Alien
101778	Madagascar	MG	Present	Alien
101779	Madagascar	MG	Present	Alien
101780	Madagascar	MG	Present	Alien
101781	Madagascar	MG	Present	Alien
101782	Madagascar	MG	Present	Alien
101783	Madagascar	MG	Present	Alien
101784	Madagascar	MG	Present	Alien
101785	Madagascar	MG	Present	Alien
101786	Madagascar	MG	Present	Alien
101787	Madagascar	MG	Present	Alien
101788	Madagascar	MG	Present	Alien
101789	Madagascar	MG	Present	Alien
101790	Madagascar	MG	Present	Alien
101791	Madagascar	MG	Present	Alien
101792	Madagascar	MG	Present	Alien
101793	Madagascar	MG	Present	Alien
101794	Madagascar	MG	Present	Alien
101795	Madagascar	MG	Present	Alien
101796	Madagascar	MG	Present	Alien
101797	Madagascar	MG	Present	Alien
101798	Madagascar	MG	Present	Alien
101799	Madagascar	MG	Present	Alien
101800	Madagascar	MG	Present	Alien
101801	Madagascar	MG	Present	Alien
101802	Madagascar	MG	Present	Alien
101803	Madagascar	MG	Present	Alien
101804	Madagascar	MG	Present	Alien
101805	Madagascar	MG	Present	Alien
101806	Madagascar	MG	Present	Alien
101807	Madagascar	MG	Present	Alien
101808	Madagascar	MG	Present	Alien
101809	Madagascar	MG	Present	Alien
101810	Madagascar	MG	Present	Alien
101811	Madagascar	MG	Present	Alien
101812	Madagascar	MG	Present	Alien
101813	Madagascar	MG	Present	Alien
101814	Madagascar	MG	Present	Alien
101815	Madagascar	MG	Present	Alien
101816	Madagascar	MG	Present	Alien
101817	Madagascar	MG	Present	Alien
101818	Madagascar	MG	Present	Alien
101819	Madagascar	MG	Present	Alien
101820	Madagascar	MG	Present	Alien
101821	Madagascar	MG	Present	Alien
101822	Madagascar	MG	Present	Alien
101823	Madagascar	MG	Present	Alien
101824	Madagascar	MG	Present	Alien
101825	Madagascar	MG	Present	Alien
101826	Madagascar	MG	Present	Alien
101827	Madagascar	MG	Present	Alien
101828	Madagascar	MG	Present	Alien
101829	Madagascar	MG	Present	Alien
101830	Madagascar	MG	Present	Alien
101831	Madagascar	MG	Present	Alien
101832	Madagascar	MG	Present	Alien
101833	Madagascar	MG	Present	Alien
101834	Madagascar	MG	Present	Alien
101835	Madagascar	MG	Present	Alien
101836	Madagascar	MG	Present	Alien
101837	Madagascar	MG	Present	Alien
101838	Madagascar	MG	Present	Alien
101839	Madagascar	MG	Present	Alien
101840	Madagascar	MG	Present	Alien
101841	Madagascar	MG	Present	Alien
101842	Madagascar	MG	Present	Alien
101843	Madagascar	MG	Present	Alien
101844	Madagascar	MG	Present	Alien
101845	Madagascar	MG	Present	Alien
101846	Madagascar	MG	Present	Alien
101847	Madagascar	MG	Present	Alien
101848	Madagascar	MG	Present	Alien
101849	Madagascar	MG	Present	Alien
101850	Madagascar	MG	Present	Alien
101851	Madagascar	MG	Present	Alien
101852	Madagascar	MG	Present	Alien
101853	Madagascar	MG	Present	Alien
101854	Madagascar	MG	Present	Alien
101855	Madagascar	MG	Present	Alien
101856	Madagascar	MG	Present	Alien
101857	Madagascar	MG	Present	Alien
101858	Madagascar	MG	Present	Alien
101859	Madagascar	MG	Present	Alien
101860	Madagascar	MG	Present	Alien
101861	Madagascar	MG	Present	Alien
101862	Madagascar	MG	Present	Alien
101863	Madagascar	MG	Present	Alien
101864	Madagascar	MG	Present	Alien
101865	Madagascar	MG	Present	Alien
101866	Madagascar	MG	Present	Alien
