id	isInvasive	habitat
101750	Null	Terrestrial
101751	Null	Terrestrial
101752	Null	Terrestrial
101753	Invasive	Terrestrial
101754	Null	Terrestrial
101755	Invasive	Terrestrial
101756	Invasive	Terrestrial
101757	Null	Terrestrial
101758	Invasive	Terrestrial
101759	Null	Terrestrial
101760	Invasive	Terrestrial
101761	Invasive	Terrestrial
101762	Null	Terrestrial
101763	Null	Terrestrial
101764	Null	Terrestrial
101765	Invasive	Terrestrial
101766	Null	Terrestrial
101767	Invasive	Terrestrial
101768	Null	Terrestrial
101769	Null	Terrestrial
101770	Null	Terrestrial
101771	Invasive	Terrestrial
101772	Null	Terrestrial
101773	Null	Terrestrial
101774	Null	Terrestrial
101775	Null	Terrestrial
101776	Invasive	Terrestrial
101777	Null	Terrestrial
101778	Null	Terrestrial
101779	Null	Terrestrial
101780	Invasive	Terrestrial
101781	Null	Terrestrial
101782	Null	Terrestrial
101783	Null	Terrestrial
101784	Null	Terrestrial
101785	Null	Terrestrial
101786	Invasive	Terrestrial
101787	Invasive	Terrestrial
101788	Null	Terrestrial
101789	Invasive	Terrestrial
101790	Null	Terrestrial
101791	Invasive	Terrestrial
101792	Invasive	Terrestrial
101793	Null	Terrestrial
101794	Null	Terrestrial
101795	Null	Terrestrial
101796	Null	Terrestrial
101797	Null	Terrestrial
101798	Null	Terrestrial
101799	Null	Terrestrial
101800	Null	Terrestrial
101801	Null	Terrestrial
101802	Null	Terrestrial
101803	Null	Terrestrial
101804	Null	Terrestrial
101805	Null	Terrestrial
101806	Null	Terrestrial
101807	Null	Terrestrial
101808	Invasive	Terrestrial
101809	Null	Terrestrial
101810	Null	Terrestrial
101811	Null	Terrestrial
101812	Null	Terrestrial
101813	Null	Terrestrial
101814	Null	Terrestrial
101815	Null	Terrestrial
101816	Null	Terrestrial
101817	Null	Terrestrial
101818	Null	Terrestrial
101819	Null	Terrestrial
101820	Null	Terrestrial
101821	Null	Terrestrial
101822	Null	Terrestrial
101823	Null	Terrestrial
101824	Null	Terrestrial
101825	Null	Terrestrial
101826	Invasive	Terrestrial
101827	Null	Terrestrial
101828	Null	Terrestrial
101829	Null	Terrestrial
101830	Null	Terrestrial
101831	Null	Terrestrial
101832	Null	Terrestrial
101833	Null	Terrestrial
101834	Null	Terrestrial
101835	Null	Terrestrial
101836	Null	Terrestrial
101837	Null	Terrestrial
101838	Null	Terrestrial
101839	Null	Freshwater
101840	Null	Freshwater
101841	Null	Terrestrial
101842	Null	Terrestrial
101843	Invasive	Terrestrial
101844	Null	Terrestrial
101845	Null	Terrestrial
101846	Null	Terrestrial
101847	Null	Host
101848	Null	Terrestrial
101849	Null	Terrestrial
101850	Null	Terrestrial
101851	Null	Terrestrial
101852	Null	Terrestrial
101853	Null	Terrestrial
101854	Null	Freshwater
101855	Null	Terrestrial
101856	Null	Terrestrial
101857	Invasive	Terrestrial
101858	Null	Terrestrial
101859	Null	Terrestrial
101860	Null	Terrestrial
101861	Null	Terrestrial
101862	Null	Terrestrial
101863	Null	Terrestrial
101864	Null	Terrestrial
101865	Null	Terrestrial
