id	isInvasive	habitat
106000	Null	Terrestrial
106001	Invasive	Terrestrial
106002	Null	Terrestrial
106003	Null	Terrestrial
106004	Null	Terrestrial
106005	Null	Terrestrial
106006	Invasive	Terrestrial
106007	Invasive	Freshwater
106008	Invasive	Terrestrial
106009	Null	Terrestrial
106010	Null	Terrestrial
106011	Null	Terrestrial
106012	Null	Terrestrial
106013	Null	Terrestrial
106014	Null	Terrestrial
106015	Null	Terrestrial
106016	Invasive	Terrestrial
106017	Null	Terrestrial
106018	Null	Terrestrial|Freshwater
106019	Null	Terrestrial
106020	Null	Terrestrial
106021	Null	Terrestrial
106022	Null	Terrestrial
106023	Null	Terrestrial
106024	Null	Terrestrial
106025	Null	Terrestrial
106026	Null	Terrestrial
106027	Invasive	Terrestrial
106028	Null	Terrestrial
106029	Null	Terrestrial
106030	Null	Terrestrial
106031	Null	Terrestrial
106032	Null	Terrestrial
106033	Null	Terrestrial
106034	Null	Terrestrial
106035	Null	Terrestrial
106036	Invasive	Terrestrial
106037	Null	Terrestrial
106038	Null	Terrestrial
106039	Null	Terrestrial
106040	Null	Terrestrial
106041	Null	Terrestrial
106042	Null	Terrestrial
106043	Null	Terrestrial
106044	Null	Terrestrial
106045	Null	Terrestrial
106046	Null	Terrestrial
106047	Invasive	Terrestrial
106048	Null	Terrestrial
106049	Null	Terrestrial
106050	Invasive	Freshwater
106051	Null	Terrestrial
106052	Null	Terrestrial
106053	Invasive	Terrestrial
106054	Null	Terrestrial
106055	Null	Terrestrial
106056	Null	Terrestrial
106057	Null	Terrestrial
106058	Invasive	Terrestrial
106059	Null	Terrestrial
106060	Invasive	Terrestrial
106061	Invasive	Terrestrial
106062	Null	Terrestrial
106063	Invasive	Terrestrial|Freshwater
106064	Null	Terrestrial
