id	locationID	countryCode	occurrenceStatus	establishmentMeans
60000	Malta	MT	Present	Alien
60001	Malta	MT	Present	Cryptogenic|Uncertain
60002	Malta	MT	Present	Alien
60003	Malta	MT	Present	Alien
60004	Malta	MT	Present	Alien
60005	Malta	MT	Present	Alien
60006	Malta	MT	Present	Alien
60007	Malta	MT	Present	Alien
60008	Malta	MT	Present	Alien
60009	Malta	MT	Present	Alien
60010	Malta	MT	Present	Alien
60011	Malta	MT	Present	Alien
60012	Malta	MT	Present	Alien
60013	Malta	MT	Present	Alien
60014	Malta	MT	Present	Alien
60015	Malta	MT	Present	Alien
60016	Malta	MT	Present	Alien
60017	Malta	MT	Present	Alien
60018	Malta	MT	Present	Alien
60019	Malta	MT	Present	Alien
60020	Malta	MT	Present	Alien
60021	Malta	MT	Present	Alien
60022	Malta	MT	Present	Alien
60023	Malta	MT	Present	Alien
60024	Malta	MT	Present	Alien
60025	Malta	MT	Present	Alien
60026	Malta	MT	Present	Alien
60027	Malta	MT	Present	Alien
60028	Malta	MT	Present	Alien
60029	Malta	MT	Present	Alien
60030	Malta	MT	Present	Alien
60031	Malta	MT	Present	Alien
60032	Malta	MT	Present	Alien
60033	Malta	MT	Present	Alien
60034	Malta	MT	Present	Alien
60035	Malta	MT	Present	Alien
60036	Malta	MT	Present	Alien
60037	Malta	MT	Present	Alien
60038	Malta	MT	Present	Cryptogenic|Uncertain
60039	Malta	MT	Present	Cryptogenic|Uncertain
60040	Malta	MT	Present	Alien
60041	Malta	MT	Present	Alien
60042	Malta	MT	Present	Cryptogenic|Uncertain
60043	Malta	MT	Present	Cryptogenic|Uncertain
60044	Malta	MT	Present	Alien
60045	Malta	MT	Present	Alien
60046	Malta	MT	Present	Alien
60047	Malta	MT	Present	Alien
60048	Malta	MT	Present	Alien
60049	Malta	MT	Present	Alien
60050	Malta	MT	Present	Alien
60051	Malta	MT	Present	Alien
60052	Malta	MT	Present	Alien
60053	Malta	MT	Present	Alien
60054	Malta	MT	Present	Alien
60055	Malta	MT	Present	Alien
60056	Malta	MT	Present	Alien
60057	Malta	MT	Present	Alien
60058	Malta	MT	Present	Cryptogenic|Uncertain
60059	Malta	MT	Present	Alien
60060	Malta	MT	Present	Alien
60061	Malta	MT	Present	Alien
60062	Malta	MT	Present	Alien
60063	Malta	MT	Present	Alien
60064	Malta	MT	Present	Alien
60065	Malta	MT	Present	Alien
60066	Malta	MT	Present	Alien
60067	Malta	MT	Present	Alien
60068	Malta	MT	Present	Alien
60069	Malta	MT	Present	Alien
60070	Malta	MT	Present	Alien
60071	Malta	MT	Present	Alien
60072	Malta	MT	Present	Alien
60073	Malta	MT	Present	Alien
60074	Malta	MT	Present	Alien
60075	Malta	MT	Present	Alien
60076	Malta	MT	Present	Alien
60077	Malta	MT	Present	Alien
60078	Malta	MT	Present	Alien
60079	Malta	MT	Present	Alien
60080	Malta	MT	Present	Alien
60081	Malta	MT	Present	Alien
60082	Malta	MT	Present	Alien
60083	Malta	MT	Present	Alien
60084	Malta	MT	Present	Alien
60085	Malta	MT	Present	Alien
60086	Malta	MT	Present	Alien
60087	Malta	MT	Present	Alien
60088	Malta	MT	Present	Alien
60089	Malta	MT	Present	Alien
60090	Malta	MT	Present	Alien
60091	Malta	MT	Present	Cryptogenic|Uncertain
60092	Malta	MT	Present	Alien
60093	Malta	MT	Present	Alien
60094	Malta	MT	Present	Alien
60095	Malta	MT	Present	Alien
60096	Malta	MT	Present	Alien
60097	Malta	MT	Present	Alien
60098	Malta	MT	Present	Alien
60099	Malta	MT	Present	Alien
60100	Malta	MT	Present	Alien
60101	Malta	MT	Present	Alien
60102	Malta	MT	Present	Alien
60103	Malta	MT	Present	Alien
60104	Malta	MT	Present	Alien
60105	Malta	MT	Present	Alien
60106	Malta	MT	Present	Alien
60107	Malta	MT	Present	Alien
60108	Malta	MT	Present	Cryptogenic|Uncertain
60109	Malta	MT	Present	Alien
60110	Malta	MT	Present	Alien
60111	Malta	MT	Present	Alien
60112	Malta	MT	Present	Alien
60113	Malta	MT	Present	Alien
60114	Malta	MT	Present	Alien
60115	Malta	MT	Present	Alien
60116	Malta	MT	Present	Alien
60117	Malta	MT	Present	Cryptogenic|Uncertain
60118	Malta	MT	Present	Alien
60119	Malta	MT	Present	Alien
60120	Malta	MT	Present	Alien
60121	Malta	MT	Present	Alien
60122	Malta	MT	Present	Alien
60123	Malta	MT	Present	Alien
60124	Malta	MT	Present	Alien
60125	Malta	MT	Present	Alien
60126	Malta	MT	Present	Cryptogenic|Uncertain
60127	Malta	MT	Present	Alien
60128	Malta	MT	Present	Alien
60129	Malta	MT	Present	Alien
60130	Malta	MT	Present	Alien
60131	Malta	MT	Present	Alien
60132	Malta	MT	Present	Alien
60133	Malta	MT	Present	Alien
60134	Malta	MT	Present	Alien
60135	Malta	MT	Present	Alien
60136	Malta	MT	Present	Alien
60137	Malta	MT	Present	Alien
60138	Malta	MT	Present	Alien
60139	Malta	MT	Present	Alien
60140	Malta	MT	Present	Alien
60141	Malta	MT	Present	Alien
60142	Malta	MT	Present	Alien
60143	Malta	MT	Present	Alien
