id	countryCode	occurrenceStatus	establishmentMeans
48500	YT	present	alien
48501	YT	present	alien
48502	YT	present	alien
48503	YT	present	alien
48504	YT	present	alien
48505	YT	present	alien
48506	YT	present	alien
48507	YT	present	alien
48508	YT	present	alien
48509	YT	present	alien
48510	YT	present	alien
48511	YT	present	alien
48512	YT	present	alien
48513	YT	present	alien
48514	YT	present	alien
48515	YT	present	alien
48516	YT	present	alien
48517	YT	present	alien
48518	YT	present	alien
48519	YT	present	alien
48520	YT	present	alien
48521	YT	present	alien
48522	YT	present	alien
48523	YT	present	alien
48524	YT	present	alien
48525	YT	present	alien
48526	YT	present	alien
48527	YT	present	alien
48528	YT	present	alien
48529	YT	present	alien
48530	YT	present	alien
48531	YT	present	alien
48532	YT	present	alien
48533	YT	present	alien
48534	YT	present	alien
48535	YT	present	alien
48536	YT	present	alien
48537	YT	present	alien
48538	YT	present	alien
48539	YT	present	alien
48540	YT	present	alien
48541	YT	present	alien
48542	YT	present	alien
48543	YT	present	alien
48544	YT	present	alien
48545	YT	present	alien
48546	YT	present	alien
48547	YT	present	alien
48548	YT	present	alien
48549	YT	present	alien
48550	YT	present	alien
48551	YT	present	alien
48552	YT	present	alien
48553	YT	present	alien
48554	YT	present	alien
48555	YT	present	alien
48556	YT	present	alien
48557	YT	present	alien
48558	YT	present	alien
48559	YT	present	alien
48560	YT	present	alien
48561	YT	present	alien
48562	YT	present	alien
48563	YT	present	alien
48564	YT	present	alien
48565	YT	present	alien
48566	YT	present	alien
48567	YT	present	alien
48568	YT	present	alien
48569	YT	present	alien
48570	YT	present	alien
48571	YT	present	alien
48572	YT	present	alien
48573	YT	present	alien
48574	YT	present	alien
48575	YT	present	alien
48576	YT	present	alien
48577	YT	present	alien
48578	YT	present	alien
48579	YT	present	alien
48580	YT	present	alien
48581	YT	present	alien
48582	YT	present	alien
48583	YT	present	alien
48584	YT	present	alien
48585	YT	present	alien
48586	YT	present	alien
48587	YT	present	alien
48588	YT	present	alien
48589	YT	present	alien
48590	YT	present	alien
48591	YT	present	alien
48592	YT	present	alien
48593	YT	present	alien
48594	YT	present	alien
48595	YT	present	alien
48596	YT	present	alien
48597	YT	present	alien
48598	YT	present	alien
48599	YT	present	alien
48600	YT	present	alien
48601	YT	present	alien
48602	YT	present	alien
48603	YT	present	alien
48604	YT	present	alien
48605	YT	present	alien
48606	YT	present	alien
48607	YT	present	alien
48608	YT	present	alien
48609	YT	present	alien
48610	YT	present	alien
48611	YT	present	alien
48612	YT	present	alien
48613	YT	present	alien
48614	YT	present	alien
48615	YT	present	alien
48616	YT	present	alien
48617	YT	present	alien
48618	YT	present	alien
48619	YT	present	alien
48620	YT	present	alien
48621	YT	present	alien
48622	YT	present	alien
48623	YT	present	alien
48624	YT	present	alien
48625	YT	present	alien
48626	YT	present	alien
48627	YT	present	alien
48628	YT	present	alien
48629	YT	present	alien
48630	YT	present	alien
48631	YT	present	alien
48632	YT	present	alien
48633	YT	present	alien
48634	YT	present	alien
48635	YT	present	alien
48636	YT	present	alien
48637	YT	present	alien
48638	YT	present	alien
48639	YT	present	alien
48640	YT	present	alien
48641	YT	present	alien
48642	YT	present	alien
48643	YT	present	alien
48644	YT	present	alien
48645	YT	present	alien
48646	YT	present	alien
48647	YT	present	alien
48648	YT	present	alien
48649	YT	present	alien
48650	YT	present	alien
48651	YT	present	alien
48652	YT	present	alien
48653	YT	present	alien
48654	YT	present	alien
48655	YT	present	alien
48656	YT	present	alien
48657	YT	present	alien
48658	YT	present	alien
48659	YT	present	alien
48660	YT	present	alien
48661	YT	present	alien
48662	YT	present	alien
48663	YT	present	alien
48664	YT	present	alien
48665	YT	present	alien
48666	YT	present	alien
48667	YT	present	alien
48668	YT	present	alien
48669	YT	present	alien
48670	YT	present	alien
48671	YT	present	alien
48672	YT	present	alien
48673	YT	present	alien
48674	YT	present	alien
48675	YT	present	alien
48676	YT	present	alien
48677	YT	present	alien
48678	YT	present	alien
48679	YT	present	alien
48680	YT	present	alien
48681	YT	present	alien
48682	YT	present	alien
48683	YT	present	alien
48684	YT	present	alien
48685	YT	present	alien
48686	YT	present	alien
48687	YT	present	alien
48688	YT	present	alien
48689	YT	present	alien
48690	YT	present	alien
48691	YT	present	alien
48692	YT	present	alien
48693	YT	present	alien
48694	YT	present	alien
48695	YT	present	alien
48696	YT	present	alien
48697	YT	present	alien
48698	YT	present	alien
48699	YT	present	alien
48700	YT	present	alien
48701	YT	present	alien
48702	YT	present	alien
48703	YT	present	alien
48704	YT	present	alien
48705	YT	present	alien
48706	YT	present	alien
48707	YT	present	alien
48708	YT	present	alien
48709	YT	present	alien
48710	YT	present	alien
48711	YT	present	alien
48712	YT	present	alien
48713	YT	present	alien
48714	YT	present	alien
48715	YT	present	alien
48716	YT	present	alien
48717	YT	present	alien
48718	YT	present	alien
48719	YT	present	alien
48720	YT	present	alien
48721	YT	present	alien
48722	YT	present	alien
48723	YT	present	alien
48724	YT	present	alien
48725	YT	present	alien
48726	YT	present	alien
48727	YT	present	alien
48728	YT	present	alien
48729	YT	present	alien
48730	YT	present	alien
48731	YT	present	alien
48732	YT	present	alien
48733	YT	present	alien
48734	YT	present	alien
48735	YT	present	alien
48736	YT	present	alien
48737	YT	present	alien
48738	YT	present	alien
48739	YT	present	alien
