id	isInvasive	habitat
121750	Invasive	Terrestrial
121751	Null	Terrestrial
121752	Null	Terrestrial|Freshwater
121753	Invasive	Terrestrial
121754	Null	Terrestrial
121755	Null	Terrestrial
121756	Invasive	Terrestrial
121757	Invasive	Terrestrial
121758	Null	Freshwater
121759	Invasive	Terrestrial
121760	Null	Host
121761	Null	Terrestrial
121762	Invasive	Terrestrial
121763	Invasive	Terrestrial
121764	Null	Terrestrial
121765	Null	Terrestrial
121766	Invasive	Terrestrial
121767	Null	Terrestrial
121768	Invasive	Marine
121769	Invasive	Freshwater|Brackish
121770	Null	Terrestrial
121771	Null	Terrestrial
121772	Invasive	Terrestrial
121773	Invasive	Terrestrial
121774	Null	Terrestrial
121775	Invasive	Terrestrial
121776	Invasive	Terrestrial
121777	Null	Terrestrial
121778	Null	Freshwater|Brackish
121779	Null	Host
121780	Invasive	Host
121781	Null	Terrestrial
121782	Invasive	Terrestrial
121783	Null	Terrestrial
121784	Null	Terrestrial|Freshwater
121785	Null	Terrestrial
121786	Null	Terrestrial
121787	Null	Terrestrial
121788	Null	Terrestrial
121789	Null	Terrestrial
121790	Invasive	Freshwater|Brackish
121791	Invasive	Terrestrial
121792	Null	Terrestrial
121793	Null	Terrestrial
121794	Null	Freshwater|Brackish
121795	Null	Freshwater|Brackish
121796	Null	Terrestrial
121797	Null	Terrestrial
121798	Invasive	Terrestrial
121799	Null	Terrestrial
121800	Invasive	Terrestrial
121801	Null	Terrestrial
121802	Null	Freshwater|Brackish
121803	Null	Terrestrial
121804	Invasive	Terrestrial
121805	Null	Freshwater
121806	Invasive	Terrestrial
121807	Null	Freshwater|Brackish
121808	Null	Terrestrial
121809	Null	Terrestrial
121810	Null	Terrestrial
121811	Null	Terrestrial
121812	Null	Terrestrial
121813	Null	Freshwater|Brackish|Marine
121814	Null	Terrestrial
121815	Invasive	Terrestrial
121816	Null	Terrestrial
121817	Invasive	Terrestrial
121818	Null	Terrestrial
121819	Invasive	Marine
121820	Null	Terrestrial
121821	Null	Terrestrial
121822	Null	Freshwater
121823	Null	Terrestrial
121824	Invasive	Freshwater|Brackish
121825	Invasive	Terrestrial
121826	Invasive	Terrestrial
121827	Null	Freshwater|Brackish|Marine
121828	Null	Freshwater|Brackish|Marine
121829	Null	Freshwater|Brackish|Marine
121830	Invasive	Terrestrial
121831	Invasive	Terrestrial
121832	Null	Terrestrial
121833	Invasive	Terrestrial
121834	Null	Terrestrial
121835	Null	Terrestrial
121836	Null	Terrestrial
121837	Null	Terrestrial
121838	Null	Freshwater|Brackish
121839	Null	Host
121840	Null	Freshwater
121841	Null	Terrestrial
121842	Null	Terrestrial
121843	Null	Terrestrial
121844	Null	Terrestrial
121845	Null	Terrestrial
