id	locationID	countryCode	occurrenceStatus	establishmentMeans
117900	Morocco	MA	Present	Alien
117901	Morocco	MA	Present	Alien
117902	Morocco	MA	Present	Alien
117903	Morocco	MA	Present	Alien
117904	Morocco	MA	Present	Alien
117905	Morocco	MA	Present	Alien
117906	Morocco	MA	Present	Alien
117907	Morocco	MA	Present	Alien
117908	Morocco	MA	Present	Alien
117909	Morocco	MA	Present	Alien
117910	Morocco	MA	Present	Alien
117911	Morocco	MA	Present	Alien
117912	Morocco	MA	Present	Alien
117913	Morocco	MA	Present	Alien
117914	Morocco	MA	Present	Alien
117915	Morocco	MA	Present	Alien
117916	Morocco	MA	Present	Alien
117917	Morocco	MA	Present	Alien
117918	Morocco	MA	Present	Alien
117919	Morocco	MA	Present	Alien
117920	Morocco	MA	Present	Alien
117921	Morocco	MA	Present	Alien
117922	Morocco	MA	Present	Alien
117923	Morocco	MA	Present	Alien
117924	Morocco	MA	Present	Alien
117925	Morocco	MA	Present	Alien
117926	Morocco	MA	Present	Alien
117927	Morocco	MA	Present	Alien
117928	Morocco	MA	Present	Alien
117929	Morocco	MA	Present	Alien
117930	Morocco	MA	Present	Alien
117931	Morocco	MA	Present	Alien
117932	Morocco	MA	Present	Alien
117933	Morocco	MA	Present	Alien
117934	Morocco	MA	Present	Alien
117935	Morocco	MA	Present	Alien
117936	Morocco	MA	Present	Native|Alien
117937	Morocco	MA	Present	Alien
117938	Morocco	MA	Present	Alien
117939	Morocco	MA	Present	Alien
117940	Morocco	MA	Present	Alien
117941	Morocco	MA	Present	Alien
117942	Morocco	MA	Present	Alien
117943	Morocco	MA	Present	Alien
117944	Morocco	MA	Present	Alien
117945	Morocco	MA	Present	Alien
117946	Morocco	MA	Present	Alien
117947	Morocco	MA	Present	Alien
117948	Morocco	MA	Present	Alien
117949	Morocco	MA	Present	Alien
117950	Morocco	MA	Present	Alien
117951	Morocco	MA	Present	Alien
117952	Morocco	MA	Present	Alien
117953	Morocco	MA	Present	Alien
117954	Morocco	MA	Present	Alien
117955	Morocco	MA	Present	Alien
117956	Morocco	MA	Present	Alien
117957	Morocco	MA	Present	Alien
117958	Morocco	MA	Present	Alien
