id	isInvasive	habitat
109250	Null	Terrestrial
109251	Null	Terrestrial
109252	Null	Terrestrial
109253	Null	Marine
109254	Null	Terrestrial
109255	Invasive	Terrestrial
109256	Null	Terrestrial
109257	Null	Terrestrial|Freshwater
109258	Null	Terrestrial
109259	Null	Terrestrial
109260	Null	Terrestrial
109261	Null	Terrestrial
109262	Null	Terrestrial
109263	Null	Terrestrial
109264	Null	Terrestrial
109265	Null	Terrestrial
109266	Null	Terrestrial
109267	Null	Terrestrial
109268	Null	Terrestrial
109269	Null	Terrestrial
109270	Null	Terrestrial
109271	Invasive	Terrestrial
109272	Null	Host
109273	Null	Terrestrial
109274	Null	Terrestrial
109275	Null	Freshwater
109276	Null	Host
109277	Null	Terrestrial
109278	Null	Terrestrial
109279	Null	Terrestrial
109280	Null	Terrestrial
109281	Null	Terrestrial
109282	Null	Terrestrial
109283	Null	Terrestrial
109284	Null	Terrestrial
109285	Null	Terrestrial
109286	Null	Terrestrial
109287	Invasive	Terrestrial
109288	Null	Terrestrial
109289	Null	Terrestrial
109290	Null	Terrestrial
109291	Invasive	Terrestrial
109292	Null	Marine
109293	Null	Terrestrial
109294	Null	Freshwater|Brackish
109295	Invasive	Terrestrial|Freshwater
109296	Null	Terrestrial
109297	Null	Terrestrial|Freshwater
109298	Null	Terrestrial|Freshwater
109299	Invasive	Terrestrial|Freshwater
109300	Null	Terrestrial|Freshwater
109301	Null	Freshwater
109302	Null	Terrestrial
109303	Null	Terrestrial
109304	Null	Terrestrial
109305	Null	Terrestrial
109306	Null	Terrestrial
109307	Null	Terrestrial
109308	Null	Terrestrial
109309	Null	Terrestrial
109310	Null	Terrestrial
109311	Null	Terrestrial
109312	Null	Terrestrial
109313	Null	Terrestrial
109314	Invasive	Terrestrial
109315	Null	Terrestrial
109316	Null	Terrestrial
109317	Null	Terrestrial
109318	Null	Terrestrial
109319	Null	Terrestrial
109320	Null	Terrestrial
109321	Invasive	Freshwater
109322	Null	Terrestrial
109323	Null	Terrestrial
109324	Null	Terrestrial
109325	Null	Terrestrial
109326	Null	Terrestrial
109327	Null	Terrestrial
109328	Null	Terrestrial
109329	Null	Terrestrial
109330	Null	Terrestrial
109331	Null	Terrestrial
109332	Null	Terrestrial
109333	Null	Terrestrial
109334	Null	Terrestrial
109335	Null	Terrestrial
109336	Null	Terrestrial
109337	Null	Terrestrial
109338	Null	Terrestrial
109339	Null	Terrestrial
109340	Null	Terrestrial
109341	Invasive	Terrestrial
109342	Null	Terrestrial
109343	Null	Terrestrial
109344	Null	Terrestrial
109345	Null	Terrestrial
109346	Null	Terrestrial
109347	Null	Freshwater
109348	Null	Freshwater|Brackish
109349	Null	Freshwater|Brackish
109350	Null	Terrestrial
109351	Null	Terrestrial
109352	Null	Terrestrial
109353	Null	Terrestrial
109354	Null	Terrestrial
109355	Null	Terrestrial
109356	Null	Terrestrial
109357	Null	Terrestrial
109358	Null	Terrestrial
109359	Invasive	Terrestrial
109360	Null	Terrestrial
109361	Null	Terrestrial
109362	Null	Terrestrial
109363	Invasive	Terrestrial
109364	Null	Freshwater
109365	Null	Terrestrial
109366	Null	Freshwater
109367	Null	Terrestrial
109368	Null	Terrestrial
109369	Null	Marine
109370	Null	Marine
109371	Null	Freshwater
109372	Null	Terrestrial
109373	Null	Terrestrial
109374	Null	Terrestrial
109375	Null	Terrestrial
109376	Null	Terrestrial
109377	Null	Terrestrial
109378	Null	Host
109379	Null	Terrestrial
109380	Null	Terrestrial
109381	Null	Freshwater
109382	Null	Terrestrial
109383	Null	Freshwater|Brackish
109384	Null	Freshwater
109385	Null	Terrestrial
109386	Null	Terrestrial
109387	Null	Terrestrial
109388	Invasive	Terrestrial
109389	Invasive	Terrestrial
109390	Null	Terrestrial
109391	Null	Terrestrial
109392	Null	Terrestrial
109393	Null	Terrestrial
109394	Null	Terrestrial
109395	Null	Marine
109396	Null	Terrestrial
109397	Null	Terrestrial
109398	Null	Terrestrial
109399	Null	Terrestrial
109400	Null	Terrestrial
109401	Invasive	Terrestrial
109402	Invasive	Terrestrial
109403	Null	Terrestrial
109404	Null	Terrestrial
109405	Null	Terrestrial
109406	Null	Terrestrial
109407	Null	Terrestrial
109408	Null	Terrestrial
109409	Invasive	Terrestrial
109410	Invasive	Terrestrial
109411	Null	Terrestrial
109412	Null	Terrestrial
109413	Null	Terrestrial
109414	Null	Terrestrial
109415	Null	Terrestrial
109416	Null	Terrestrial
109417	Null	Terrestrial
109418	Null	Terrestrial
109419	Null	Terrestrial
109420	Null	Freshwater
109421	Null	Terrestrial
109422	Null	Terrestrial
109423	Null	Terrestrial
109424	Null	Terrestrial
109425	Null	Terrestrial
109426	Null	Terrestrial
109427	Null	Terrestrial
109428	Null	Terrestrial
109429	Null	Terrestrial
109430	Null	Terrestrial
109431	Null	Terrestrial
109432	Null	Terrestrial
109433	Null	Terrestrial
109434	Null	Terrestrial
109435	Null	Terrestrial
109436	Null	Terrestrial
109437	Null	Terrestrial
109438	Null	Terrestrial
109439	Null	Terrestrial
109440	Null	Terrestrial
109441	Null	Terrestrial
109442	Invasive	Terrestrial
109443	Null	Terrestrial
109444	Invasive	Terrestrial
109445	Null	Terrestrial
109446	Null	Terrestrial
109447	Null	Terrestrial
109448	Null	Terrestrial
109449	Null	Marine
109450	Null	Terrestrial|Freshwater
109451	Null	Terrestrial
109452	Null	Terrestrial
109453	Null	Terrestrial
109454	Invasive	Terrestrial
109455	Null	Terrestrial
109456	Null	Terrestrial
109457	Invasive	Terrestrial
109458	Null	Terrestrial
