id	isInvasive	habitat
47791	Invasive	Terrestrial
47792	Invasive	Terrestrial
47793	Null	Terrestrial
47794	Null	Terrestrial
47795	Null	Terrestrial
47796	Null	Terrestrial
47797	Null	Terrestrial
47798	Null	Terrestrial
47799	Null	Terrestrial
47800	Null	Terrestrial
47801	Null	Terrestrial
47802	Null	Terrestrial
47803	Null	Terrestrial
47804	Null	Terrestrial
47805	Null	Terrestrial
47806	Null	Terrestrial
47807	Null	Terrestrial
47808	Null	Terrestrial
47809	Null	Terrestrial
47810	Null	Terrestrial
47811	Null	Terrestrial
47812	Null	Terrestrial
47813	Null	Terrestrial
47814	Null	Terrestrial
47815	Null	Terrestrial
47816	Null	Terrestrial
47817	Null	Terrestrial
47818	Null	Terrestrial
47819	Null	Terrestrial
47820	Null	Terrestrial
47821	Null	Terrestrial
47822	Null	Terrestrial
47823	Null	Terrestrial
47824	Null	Terrestrial
47825	Null	Terrestrial
47826	Null	Terrestrial
47827	Null	Terrestrial
47828	Null	Terrestrial
47829	Null	Terrestrial
47830	Null	Terrestrial
47831	Null	Terrestrial
47832	Null	Terrestrial
47834	Null	Terrestrial
47835	Null	Terrestrial
47836	Null	Terrestrial
47833	Null	Terrestrial
47837	Null	Terrestrial
47838	Invasive	Terrestrial
47839	Null	Terrestrial
47840	Null	Terrestrial
47841	Null	Terrestrial
47842	Null	Terrestrial
47843	Null	Terrestrial
47844	Null	Terrestrial
47845	Null	Terrestrial
47846	Null	Terrestrial
47847	Null	Terrestrial
47848	Null	Terrestrial
47849	Null	Terrestrial
47850	Null	Terrestrial
47851	Null	Terrestrial|Freshwater
47852	Null	Terrestrial
47853	Null	Terrestrial
47854	Null	Terrestrial
47855	Null	Terrestrial
47856	Null	Terrestrial
47857	Null	Terrestrial
47858	Null	Terrestrial
47859	Invasive	Terrestrial
47860	Invasive	Terrestrial
47861	Invasive	Terrestrial
47862	Null	Terrestrial
47863	Invasive	Terrestrial
47864	Null	Terrestrial
47865	Null	Terrestrial
47866	Null	Terrestrial
47867	Null	Terrestrial
47868	Null	Terrestrial
47869	Null	Terrestrial
47870	Null	Terrestrial
47871	Null	Terrestrial
47872	Null	Terrestrial
47873	Null	Terrestrial
47874	Null	Terrestrial
47875	Null	Terrestrial
47876	Null	Terrestrial
47877	Null	Terrestrial
47878	Null	Terrestrial
47879	Null	Terrestrial
47880	Null	Terrestrial
47881	Null	Terrestrial
47882	Null	Terrestrial
47883	Null	Terrestrial
47884	Null	Terrestrial
47885	Null	Terrestrial
47886	Null	Terrestrial
47887	Null	Terrestrial
47888	Null	Terrestrial
47889	Null	Terrestrial
47890	Null	Terrestrial
47891	Invasive	Terrestrial
47892	Null	Terrestrial
47893	Null	Terrestrial
47894	Null	Terrestrial|Freshwater
47895	Null	Terrestrial|Freshwater
47896	Null	Terrestrial
47897	Invasive	Terrestrial
47898	Null	Terrestrial
47899	Null	Terrestrial
47900	Null	Terrestrial
47901	Null	Terrestrial
47902	Null	Terrestrial
47903	Null	Terrestrial
47904	Null	Terrestrial
47905	Null	Terrestrial
47906	Null	Terrestrial
47907	Null	Terrestrial
47908	Null	Terrestrial
47909	Null	Terrestrial
47910	Null	Terrestrial
47911	Null	Terrestrial
47912	Null	Terrestrial
47913	Null	Terrestrial
47914	Null	Terrestrial
47915	Null	Terrestrial
47916	Null	Terrestrial
47917	Null	Terrestrial
47918	Null	Terrestrial
47919	Null	Terrestrial
47920	Null	Terrestrial
47921	Null	Terrestrial
47922	Null	Terrestrial
47923	Null	Terrestrial
47924	Null	Terrestrial
47925	Null	Terrestrial
47926	Invasive	Terrestrial
47927	Null	Terrestrial
47928	Null	Terrestrial
47929	Null	Terrestrial
47930	Null	Terrestrial
47931	Null	Terrestrial
47932	Invasive	Terrestrial
47933	Null	Terrestrial
47934	Null	Terrestrial
47935	Null	Terrestrial
47936	Null	Terrestrial
47937	Null	Terrestrial
47938	Null	Terrestrial
47939	Null	Terrestrial
47940	Null	Terrestrial
47941	Null	Terrestrial
47942	Null	Terrestrial
47943	Null	Terrestrial
47944	Null	Terrestrial
47945	Null	Terrestrial
