id	isInvasive	habitat
165000	invasive	terrestrial
165001	invasive	terrestrial
165002	invasive	terrestrial
165003	invasive	terrestrial
165004	invasive	terrestrial
165005	invasive	terrestrial
165006	invasive	terrestrial
165007	invasive	terrestrial
165008	null	brackish|marine
165009	invasive	terrestrial
165010	invasive	terrestrial
165011	invasive	terrestrial
165012	invasive	terrestrial
165013	invasive	terrestrial
165014	invasive	terrestrial
165015	invasive	terrestrial
165016	invasive	terrestrial
165017	invasive	terrestrial
165018	invasive	terrestrial
165019	null	host
165020	invasive	terrestrial
165021	invasive	terrestrial
165022	invasive	terrestrial
165023	null	terrestrial
165024	null	terrestrial
165025	invasive	terrestrial
165026	invasive	terrestrial
165027	invasive	terrestrial
165028	invasive	terrestrial
165029	invasive	terrestrial
165030	invasive	host
165031	null	marine
165032	null	marine
165033	null	marine
165034	null	marine
165035	null	marine
165036	null	terrestrial
165037	null	freshwater
165038	null	marine
165039	null	marine
165040	invasive	terrestrial
165041	null	marine
165042	null	freshwater|brackish|marine
165043	invasive	terrestrial
165044	invasive	terrestrial
165045	null	marine
165046	invasive	terrestrial
165047	null	freshwater|brackish|marine
165048	null	marine
165049	null	terrestrial
165050	null	marine
165051	invasive	freshwater
165052	invasive	terrestrial
165053	null	marine
165054	invasive	terrestrial
165055	invasive	terrestrial
165056	null	marine
165057	invasive	marine
165058	null	brackish|marine
165059	null	terrestrial
165060	null	terrestrial
165061	null	terrestrial
165062	invasive	terrestrial
165063	invasive	terrestrial
165064	invasive	terrestrial
165065	invasive	terrestrial
165066	null	marine
165067	invasive	terrestrial
165068	invasive	terrestrial
165069	invasive	terrestrial
165070	null	marine
165071	null	marine
165072	null	marine
165073	invasive	terrestrial
165074	null	terrestrial
165075	null	marine
165076	null	marine
165077	null	marine
165078	null	marine
165079	invasive	freshwater
165080	invasive	terrestrial
165081	invasive	terrestrial
165082	null	marine
165083	null	freshwater
165084	null	marine
165085	invasive	terrestrial
165086	null	marine
165087	invasive	terrestrial
165088	invasive	terrestrial
165089	invasive	terrestrial
165090	invasive	terrestrial
165091	invasive	terrestrial
165092	invasive	terrestrial
165093	null	marine
165094	null	terrestrial
165095	null	marine
165096	null	marine
165097	invasive	terrestrial
165098	null	terrestrial
165099	null	terrestrial
165100	null	terrestrial
165101	null	terrestrial
165102	null	marine
165103	null	terrestrial
165104	null	marine
165105	null	marine
