id	countryCode	occurrenceStatus	establishmentMeans
65000	NG	Present	Alien
65001	NG	Present	Alien
65002	NG	Present	Alien
65003	NG	Present	Alien
65004	NG	Present	Cryptogenic|Uncertain
65005	NG	Present	Alien
65006	NG	Present	Alien
65007	NG	Present	Alien
65008	NG	Present	Alien
65009	NG	Present	Alien
65010	NG	Present	Alien
65011	NG	Present	Alien
65012	NG	Present	Alien
65013	NG	Present	Alien
65014	NG	Present	Alien
65015	NG	Present	Cryptogenic|Uncertain
65016	NG	Present	Alien
65017	NG	Present	Alien
65018	NG	Present	Alien
65019	NG	Present	Alien
65020	NG	Present	Alien
65021	NG	Present	Alien
65022	NG	Present	Alien
65023	NG	Present	Alien
65024	NG	Present	Alien
65025	NG	Present	Alien
65026	NG	Present	Alien
65027	NG	Present	Alien
65028	NG	Present	Alien
65029	NG	Present	Alien
65030	NG	Present	Alien
65031	NG	Present	Alien
65032	NG	Present	Alien
65033	NG	Present	Alien
65034	NG	Present	Alien
65035	NG	Present	Cryptogenic|Uncertain
65036	NG	Present	Alien
65037	NG	Present	Alien
65038	NG	Present	Alien
65039	NG	Present	Alien
65040	NG	Present	Alien
65041	NG	Present	Alien
65042	NG	Present	Alien
65043	NG	Present	Alien
65044	NG	Present	Alien
65045	NG	Present	Alien
65046	NG	Present	Alien
65047	NG	Present	Alien
65048	NG	Present	Alien
65049	NG	Present	Alien
65050	NG	Present	Alien
65051	NG	Present	Alien
65052	NG	Present	Alien
65053	NG	Present	Alien
65054	NG	Present	Alien
65055	NG	Present	Alien
65056	NG	Present	Alien
65057	NG	Present	Alien
65058	NG	Present	Alien
65059	NG	Present	Alien
65060	NG	Present	Alien
65061	NG	Present	Alien
65062	NG	Present	Alien
65063	NG	Present	Alien
65064	NG	Present	Alien
65065	NG	Present	Alien
65066	NG	Present	Alien
65067	NG	Present	Alien
65068	NG	Present	Alien
65069	NG	Present	Alien
65070	NG	Present	Alien
65071	NG	Present	Alien
65072	NG	Present	Alien
65073	NG	Present	Alien
65074	NG	Present	Alien
65075	NG	Present	Alien
65076	NG	Present	Alien
65077	NG	Present	Alien
65078	NG	Present	Alien
65079	NG	Present	Alien
65080	NG	Present	Alien
65081	NG	Present	Alien
65082	NG	Present	Alien
65083	NG	Present	Alien
65084	NG	Present	Alien
65085	NG	Present	Alien
65086	NG	Present	Alien
65087	NG	Present	Alien
65088	NG	Present	Alien
65089	NG	Present	Alien
65090	NG	Present	Alien
65091	NG	Present	Alien
65092	NG	Present	Alien
65093	NG	Present	Alien
65094	NG	Present	Alien
65095	NG	Present	Alien
65096	NG	Present	Alien
65097	NG	Present	Cryptogenic|Uncertain
65098	NG	Present	Cryptogenic|Uncertain
65099	NG	Present	Alien
65100	NG	Present	Alien
65101	NG	Present	Alien
65102	NG	Present	Alien
65103	NG	Present	Alien
65104	NG	Present	Alien
65105	NG	Present	Alien
65106	NG	Present	Alien
65107	NG	Present	Alien
65108	NG	Present	Alien
65109	NG	Present	Alien
65110	NG	Present	Cryptogenic|Uncertain
65111	NG	Present	Alien
65112	NG	Present	Alien
65113	NG	Present	Alien
65114	NG	Present	Alien
65115	NG	Present	Alien
65116	NG	Present	Alien
65117	NG	Present	Alien
65118	NG	Present	Alien
65119	NG	Present	Alien
65120	NG	Present	Alien
65121	NG	Present	Alien
65122	NG	Present	Alien
65123	NG	Present	Alien
65124	NG	Present	Alien
65125	NG	Present	Alien
65126	NG	Present	Alien
65127	NG	Present	Alien
65128	NG	Present	Alien
65129	NG	Present	Alien
65130	NG	Present	Alien
65131	NG	Present	Alien
65132	NG	Present	Alien
65133	NG	Present	Alien
65134	NG	Present	Alien
65135	NG	Present	Alien
65136	NG	Present	Alien
65137	NG	Present	Alien
65138	NG	Present	Alien
65139	NG	Present	Alien
65140	NG	Present	Cryptogenic|Uncertain
