id	isInvasive	habitat
65000	Null	Terrestrial
65001	Null	Terrestrial
65002	Null	Terrestrial
65003	Null	Terrestrial
65004	Null	Terrestrial
65005	Invasive	Terrestrial
65006	Invasive	Terrestrial|Freshwater
65007	Invasive	Terrestrial
65008	Null	Terrestrial
65009	Null	Terrestrial
65010	Null	Terrestrial
65011	Null	Terrestrial
65012	Invasive	Terrestrial
65013	Invasive	Terrestrial|Freshwater
65014	Null	Terrestrial
65015	Null	Terrestrial|Freshwater
65016	Invasive	Terrestrial
65017	Null	Terrestrial
65018	Null	Terrestrial
65019	Invasive	Terrestrial
65020	Invasive	Terrestrial
65021	Null	Terrestrial
65022	Null	Terrestrial
65023	Null	Terrestrial
65024	Null	Terrestrial
65025	Null	Freshwater|Brackish|Marine
65026	Null	Terrestrial
65027	Null	Terrestrial
65028	Null	Terrestrial
65029	Invasive	Terrestrial
65030	Null	Terrestrial
65031	Null	Terrestrial
65032	Null	Terrestrial
65033	Null	Terrestrial
65034	Null	Terrestrial
65035	Null	Terrestrial
65036	Null	Freshwater
65037	Invasive	Terrestrial
65038	Null	Terrestrial
65039	Null	Terrestrial
65040	Null	Freshwater|Brackish
65041	Invasive	Terrestrial
65042	Null	Terrestrial
65043	Null	Terrestrial
65044	Null	Terrestrial
65045	Invasive	Terrestrial
65046	Null	Freshwater
65047	Invasive	Host
65048	Null	Terrestrial
65049	Null	Terrestrial
65050	Null	Terrestrial|Freshwater
65051	Null	Freshwater|Brackish
65052	Null	Terrestrial
65053	Null	Freshwater
65054	Null	Terrestrial
65055	Invasive	Freshwater
65056	Null	Terrestrial
65057	Null	Terrestrial
65058	Null	Terrestrial
65059	Null	Terrestrial
65060	Null	Terrestrial
65061	Null	Terrestrial
65062	Null	Terrestrial
65063	Null	Terrestrial
65064	Null	Terrestrial
65065	Null	Terrestrial
65066	Null	Terrestrial
65067	Null	Terrestrial
65068	Invasive	Terrestrial
65069	Null	Marine
65070	Null	Freshwater
65071	Null	Freshwater
65072	Invasive	Terrestrial
65073	Null	Terrestrial
65074	Invasive	Terrestrial|Freshwater
65075	Null	Terrestrial
65076	Null	Terrestrial
65077	Null	Freshwater|Brackish
65078	Null	Terrestrial
65079	Null	Terrestrial
65080	Null	Terrestrial
65081	Null	Host
65082	Null	Terrestrial
65083	Null	Terrestrial
65084	Null	Terrestrial
65085	Null	Terrestrial
65086	Null	Freshwater
65087	Invasive	Terrestrial
65088	Invasive	Terrestrial
65089	Invasive	Terrestrial
65090	Invasive	Terrestrial
65091	Null	Terrestrial
65092	Null	Terrestrial
65093	Invasive	Terrestrial
65094	Invasive	Brackish
65095	Null	Terrestrial
65096	Null	Freshwater|Brackish
65097	Invasive	Terrestrial|Freshwater
65098	Null	Terrestrial
65099	Null	Terrestrial
65100	Invasive	Terrestrial
65101	Null	Terrestrial
65102	Null	Terrestrial
65103	Null	Terrestrial
65104	Null	Freshwater
65105	Null	Terrestrial
65106	Null	Terrestrial
65107	Null	Terrestrial
65108	Invasive	Freshwater
65109	Null	Terrestrial
65110	Null	Host
65111	Null	Freshwater|Brackish
65112	Null	Freshwater
65113	Invasive	Terrestrial
65114	Null	Terrestrial
65115	Null	Terrestrial
65116	Null	Terrestrial
65117	Invasive	Terrestrial
65118	Null	Terrestrial
65119	Null	Terrestrial
65120	Null	Terrestrial
65121	Null	Terrestrial
65122	Null	Terrestrial
65123	Invasive	Terrestrial
65124	Null	Terrestrial
65125	Null	Terrestrial
65126	Null	Terrestrial
65127	Null	Terrestrial
65128	Null	Terrestrial
65129	Invasive	Terrestrial
65130	Invasive	Terrestrial
65131	Invasive	Terrestrial
65132	Null	Terrestrial
65133	Invasive	Freshwater
65134	Invasive	Host
65135	Null	Freshwater
65136	Invasive	Terrestrial
65137	Null	Terrestrial
65138	Invasive	Terrestrial
65139	Null	Terrestrial
65140	Null	Terrestrial
