id	locationID	countryCode	occurrenceStatus	establishmentMeans
42910	North Macedonia	MK	Present	Alien
42911	North Macedonia	MK	Present	Alien
42920	North Macedonia	MK	Present	Alien
42928	North Macedonia	MK	Present	Alien
42912	North Macedonia	MK	Present	Alien
42922	North Macedonia	MK	Present	Alien
42923	North Macedonia	MK	Present	Alien
42931	North Macedonia	MK	Present	Alien
42932	North Macedonia	MK	Present	Alien
42935	North Macedonia	MK	Present	Alien
42936	North Macedonia	MK	Present	Alien
42951	North Macedonia	MK	Present	Alien
42966	North Macedonia	MK	Present	Alien
42968	North Macedonia	MK	Present	Alien
42970	North Macedonia	MK	Present	Alien
42956	North Macedonia	MK	Present	Alien
42948	North Macedonia	MK	Present	Alien
42950	North Macedonia	MK	Present	Alien
42954	North Macedonia	MK	Present	Alien
42945	North Macedonia	MK	Present	Alien
42927	North Macedonia	MK	Present	Alien
42939	North Macedonia	MK	Present	Alien
42921	North Macedonia	MK	Present	Alien
42946	North Macedonia	MK	Present	Alien
42924	North Macedonia	MK	Present	Alien
42955	North Macedonia	MK	Present	Alien
42925	North Macedonia	MK	Present	Alien
42926	North Macedonia	MK	Present	Alien
42941	North Macedonia	MK	Present	Alien
42919	North Macedonia	MK	Present	Alien
42914	North Macedonia	MK	Present	Alien
42937	North Macedonia	MK	Present	Alien
42963	North Macedonia	MK	Present	Alien
42930	North Macedonia	MK	Present	Alien
42969	North Macedonia	MK	Present	Alien
42964	North Macedonia	MK	Present	Alien
42942	North Macedonia	MK	Present	Alien
42915	North Macedonia	MK	Present	Alien
42947	North Macedonia	MK	Present	Alien
42949	North Macedonia	MK	Present	Alien
42913	North Macedonia	MK	Present	Alien
42943	North Macedonia	MK	Present	Alien
42938	North Macedonia	MK	Present	Alien
42917	North Macedonia	MK	Present	Alien
42952	North Macedonia	MK	Present	Alien
42961	North Macedonia	MK	Present	Alien
42962	North Macedonia	MK	Present	Alien
42953	North Macedonia	MK	Present	Alien
42960	North Macedonia	MK	Present	Alien
42916	North Macedonia	MK	Present	Alien
42929	North Macedonia	MK	Present	Alien
42957	North Macedonia	MK	Present	Alien
42958	North Macedonia	MK	Present	Alien
42967	North Macedonia	MK	Present	Alien
42933	North Macedonia	MK	Present	Alien
42940	North Macedonia	MK	Present	Alien
42908	North Macedonia	MK	Present	Alien
42944	North Macedonia	MK	Present	Alien
42918	North Macedonia	MK	Present	Alien
42909	North Macedonia	MK	Present	Alien
42965	North Macedonia	MK	Present	Alien
42959	North Macedonia	MK	Present	Alien
42934	North Macedonia	MK	Present	Alien
