id	countryCode	occurrenceStatus	establishmentMeans
27440	MP	Present	Alien
27441	MP	Present	Alien
27442	MP	Present	Alien
27443	MP	Present	Alien
27444	MP	Present	Alien
27445	MP	Present	Alien
27446	MP	Present	Alien
27447	MP	Present	Alien
27448	MP	Present	Alien
27449	MP	Present	Alien
27450	MP	Present	Alien
27451	MP	Present	Alien
27452	MP	Present	Alien
27453	MP	Present	Alien
27454	MP	Present	Alien
27455	MP	Present	Alien
27456	MP	Present	Alien
27457	MP	Present	Alien
27458	MP	Present	Alien
27459	MP	Present	Alien
27460	MP	Present	Alien
27461	MP	Present	Alien
27462	MP	Present	Alien
27463	MP	Present	Alien
27464	MP	Present	Alien
27465	MP	Present	Alien
27466	MP	Present	Alien
27467	MP	Present	Alien
27468	MP	Present	Alien
27469	MP	Present	Alien
27470	MP	Present	Alien
27471	MP	Present	Alien
27472	MP	Present	Alien
27473	MP	Present	Alien
27474	MP	Present	Alien
27475	MP	Present	Alien
27476	MP	Present	Alien
27477	MP	Present	Alien
27478	MP	Present	Alien
27479	MP	Present	Alien
27480	MP	Present	Alien
27481	MP	Present	Alien
27482	MP	Present	Alien
27483	MP	Present	Alien
27484	MP	Present	Alien
27485	MP	Present	Alien
27486	MP	Present	Alien
27487	MP	Present	Alien
27488	MP	Present	Alien
27489	MP	Present	Alien
27490	MP	Present	Alien
27491	MP	Present	Alien
27492	MP	Present	Alien
27493	MP	Present	Alien
27494	MP	Present	Alien
27495	MP	Present	Alien
27496	MP	Present	Alien
27497	MP	Present	Alien
27498	MP	Present	Alien
27499	MP	Present	Alien
27500	MP	Present	Alien
27501	MP	Present	Alien
27502	MP	Present	Alien
27503	MP	Present	Alien
27504	MP	Present	Alien
27505	MP	Present	Alien
27506	MP	Present	Alien
27507	MP	Present	Alien
27508	MP	Present	Alien
27509	MP	Present	Alien
27510	MP	Present	Alien
27511	MP	Present	Alien
27512	MP	Present	Alien
27513	MP	Present	Alien
27514	MP	Present	Alien
27515	MP	Present	Alien
27516	MP	Present	Alien
27517	MP	Present	Alien
27518	MP	Present	Alien
27519	MP	Present	Alien
27520	MP	Present	Alien
27521	MP	Present	Alien
27522	MP	Present	Alien
27523	MP	Present	Alien
27524	MP	Present	Alien
27525	MP	Present	Alien
27526	MP	Present	Alien
27527	MP	Present	Alien
27528	MP	Present	Alien
27529	MP	Present	Alien
27530	MP	Present	Alien
27531	MP	Present	Alien
27532	MP	Present	Alien
27533	MP	Present	Alien
27534	MP	Present	Alien
27535	MP	Present	Alien
27536	MP	Present	Alien
27537	MP	Present	Alien
27538	MP	Present	Alien
27539	MP	Present	Alien
27540	MP	Present	Alien
27541	MP	Present	Alien
27542	MP	Present	Alien
27543	MP	Present	Alien
27544	MP	Present	Alien
27545	MP	Present	Alien
27546	MP	Present	Alien
27547	MP	Present	Alien
27548	MP	Present	Alien
27549	MP	Present	Alien
27550	MP	Present	Alien
27551	MP	Present	Alien
27552	MP	Present	Alien
27553	MP	Present	Alien
27554	MP	Present	Alien
27555	MP	Present	Alien
27556	MP	Present	Alien
27557	MP	Present	Alien
27558	MP	Present	Alien
27559	MP	Present	Alien
27560	MP	Present	Alien
27561	MP	Present	Alien
27562	MP	Present	Alien
27563	MP	Present	Alien
27564	MP	Present	Alien
27565	MP	Present	Alien
27566	MP	Present	Alien
27567	MP	Present	Alien
27568	MP	Present	Alien
27569	MP	Present	Alien
27570	MP	Present	Alien
27571	MP	Present	Alien
27572	MP	Present	Alien
27573	MP	Present	Alien
27574	MP	Present	Alien
27575	MP	Present	Alien
27576	MP	Present	Alien
27577	MP	Present	Alien
27578	MP	Present	Alien
27579	MP	Present	Alien
27580	MP	Present	Alien
27581	MP	Present	Alien
27582	MP	Present	Alien
27583	MP	Present	Alien
27584	MP	Present	Alien
27585	MP	Present	Alien
27586	MP	Present	Alien
27587	MP	Present	Alien
27588	MP	Present	Alien
27589	MP	Present	Alien
27590	MP	Present	Alien
27591	MP	Present	Alien
27592	MP	Present	Alien
27593	MP	Present	Alien
27594	MP	Present	Alien
27595	MP	Present	Alien
27596	MP	Present	Alien
27597	MP	Present	Alien
27598	MP	Present	Alien
27599	MP	Present	Alien
27600	MP	Present	Alien
27601	MP	Present	Alien
27602	MP	Present	Alien
27603	MP	Present	Alien
27604	MP	Present	Alien
27605	MP	Present	Alien
27606	MP	Present	Alien
27607	MP	Present	Alien
27608	MP	Present	Alien
27609	MP	Present	Alien
27610	MP	Present	Alien
27611	MP	Present	Alien
27612	MP	Present	Alien
27613	MP	Present	Alien
27614	MP	Present	Alien
27615	MP	Present	Alien
27616	MP	Present	Alien
27617	MP	Present	Alien
27618	MP	Present	Alien
27619	MP	Present	Alien
27620	MP	Present	Alien
27621	MP	Present	Alien
27622	MP	Present	Alien
27623	MP	Present	Alien
27624	MP	Present	Alien
27625	MP	Present	Alien
27626	MP	Present	Alien
27627	MP	Present	Alien
27628	MP	Present	Alien
27629	MP	Present	Alien
27630	MP	Present	Alien
27631	MP	Present	Alien
27632	MP	Present	Alien
27633	MP	Present	Alien
27634	MP	Present	Alien
27635	MP	Present	Alien
27636	MP	Present	Alien
27637	MP	Present	Alien
27638	MP	Present	Alien
27639	MP	Present	Alien
27640	MP	Present	Alien
27641	MP	Present	Alien
27642	MP	Present	Alien
27643	MP	Present	Alien
27644	MP	Present	Alien
27645	MP	Present	Alien
27646	MP	Present	Alien
27647	MP	Present	Alien
27648	MP	Present	Alien
27649	MP	Present	Alien
27650	MP	Present	Alien
27651	MP	Present	Alien
27652	MP	Present	Alien
27653	MP	Present	Alien
27654	MP	Present	Alien
27655	MP	Present	Alien
27656	MP	Present	Alien
27657	MP	Present	Alien
27658	MP	Present	Alien
27659	MP	Present	Alien
27660	MP	Present	Alien
27661	MP	Present	Alien
27662	MP	Present	Alien
27663	MP	Present	Alien
27664	MP	Present	Alien
27665	MP	Present	Alien
27666	MP	Present	Alien
27667	MP	Present	Alien
27668	MP	Present	Alien
27669	MP	Present	Alien
27670	MP	Present	Alien
27671	MP	Present	Alien
27672	MP	Present	Alien
27673	MP	Present	Alien
27674	MP	Present	Alien
27675	MP	Present	Alien
27676	MP	Present	Alien
27677	MP	Present	Alien
27678	MP	Present	Alien
27679	MP	Present	Alien
27680	MP	Present	Alien
27681	MP	Present	Alien
27682	MP	Present	Alien
27683	MP	Present	Alien
27684	MP	Present	Alien
27685	MP	Present	Alien
27686	MP	Present	Alien
27687	MP	Present	Alien
27688	MP	Present	Alien
27689	MP	Present	Alien
27690	MP	Present	Alien
27691	MP	Present	Alien
27692	MP	Present	Alien
27693	MP	Present	Alien
27694	MP	Present	Alien
27695	MP	Present	Alien
27696	MP	Present	Alien
27697	MP	Present	Alien
27698	MP	Present	Alien
27699	MP	Present	Alien
27700	MP	Present	Alien
27701	MP	Present	Alien
27702	MP	Present	Alien
27703	MP	Present	Alien
27704	MP	Present	Alien
27705	MP	Present	Alien
27706	MP	Present	Alien
27707	MP	Present	Alien
27708	MP	Present	Alien
27709	MP	Present	Alien
27710	MP	Present	Alien
27711	MP	Present	Alien
27712	MP	Present	Alien
27713	MP	Present	Alien
27714	MP	Present	Alien
27715	MP	Present	Alien
27716	MP	Present	Alien
27717	MP	Present	Alien
27718	MP	Present	Alien
27719	MP	Present	Alien
27720	MP	Present	Alien
27721	MP	Present	Alien
27722	MP	Present	Alien
27723	MP	Present	Alien
27724	MP	Present	Alien
27725	MP	Present	Alien
27726	MP	Present	Alien
27727	MP	Present	Alien
27728	MP	Present	Alien
27729	MP	Present	Alien
27730	MP	Present	Alien
27731	MP	Present	Alien
27732	MP	Present	Alien
27733	MP	Present	Alien
27734	MP	Present	Alien
27735	MP	Present	Alien
27736	MP	Present	Alien
27737	MP	Present	Alien
27738	MP	Present	Alien
27739	MP	Present	Alien
27740	MP	Present	Alien
27741	MP	Present	Alien
27742	MP	Present	Alien
27743	MP	Present	Alien
27744	MP	Present	Alien
27745	MP	Present	Alien
27746	MP	Present	Alien
27747	MP	Present	Alien
27748	MP	Present	Alien
27749	MP	Present	Alien
27750	MP	Present	Alien
27751	MP	Present	Alien
27752	MP	Present	Alien
27753	MP	Present	Alien
27754	MP	Present	Alien
27755	MP	Present	Alien
27756	MP	Present	Alien
27757	MP	Present	Alien
27758	MP	Present	Alien
27759	MP	Present	Alien
27760	MP	Present	Alien
27761	MP	Present	Alien
27762	MP	Present	Alien
27763	MP	Present	Alien
27764	MP	Present	Alien
27765	MP	Present	Alien
27766	MP	Present	Alien
27767	MP	Present	Alien
27768	MP	Present	Alien
27769	MP	Present	Alien
27770	MP	Present	Alien
27771	MP	Present	Alien
27772	MP	Present	Alien
27773	MP	Present	Alien
27774	MP	Present	Alien
27775	MP	Present	Alien
27776	MP	Present	Alien
27777	MP	Present	Alien
27778	MP	Present	Alien
27779	MP	Present	Alien
27780	MP	Present	Alien
27781	MP	Present	Alien
27782	MP	Present	Alien
27783	MP	Present	Alien
27784	MP	Present	Alien
27785	MP	Present	Alien
27786	MP	Present	Alien
27787	MP	Present	Alien
27788	MP	Present	Alien
27789	MP	Present	Alien
27790	MP	Present	Alien
27791	MP	Present	Alien
27792	MP	Present	Alien
27793	MP	Present	Alien
27794	MP	Present	Alien
27795	MP	Present	Alien
27796	MP	Present	Alien
27797	MP	Present	Alien
27798	MP	Present	Alien
27799	MP	Present	Alien
27800	MP	Present	Alien
27801	MP	Present	Alien
27802	MP	Present	Alien
27803	MP	Present	Alien
27804	MP	Present	Alien
27805	MP	Present	Alien
27806	MP	Present	Alien
27807	MP	Present	Alien
27808	MP	Present	Alien
27809	MP	Present	Alien
27810	MP	Present	Alien
27811	MP	Present	Alien
27812	MP	Present	Alien
27813	MP	Present	Alien
27814	MP	Present	Alien
27815	MP	Present	Alien
27816	MP	Present	Alien
27817	MP	Present	Alien
27818	MP	Present	Alien
