id	isInvasive	habitat
27992	Null	Terrestrial
27993	Null	Terrestrial
27994	Null	Terrestrial
27995	Null	Terrestrial
27996	Null	Terrestrial
27997	Null	Terrestrial
27998	Null	Terrestrial
27999	Yes	Terrestrial
28000	Null	Terrestrial
28001	Null	Terrestrial
28002	Yes	Terrestrial
28003	Yes	Terrestrial
28004	Null	Terrestrial
28005	Yes	Terrestrial
28006	Null	Terrestrial
28007	Null	Terrestrial
28008	Null	Freshwater
28009	Null	Terrestrial
28010	Yes	Terrestrial
28011	Null	Terrestrial
28012	Null	Terrestrial
28013	Null	Terrestrial
28014	Null	Terrestrial
28015	Null	Terrestrial
28016	Yes	Terrestrial
28017	Yes	Terrestrial
28018	Null	Terrestrial
28019	Yes	Terrestrial
28020	Null	Terrestrial
28021	Yes	Terrestrial
28022	Yes	Terrestrial
28023	Null	Terrestrial
28024	Null	Terrestrial
28025	Yes	Terrestrial
28026	Yes	Terrestrial
28027	Null	Terrestrial
28028	Yes	Terrestrial
28029	Null	Terrestrial
28030	Null	Freshwater
28031	Null	Terrestrial
28032	Null	Freshwater|Brackish
28033	Null	Freshwater|Brackish
28034	Null	Freshwater|Brackish
28035	Null	Freshwater|Brackish
28036	Null	Terrestrial
28037	Null	Terrestrial
28038	Null	Terrestrial
28039	Null	Terrestrial
28040	Yes	Terrestrial
28041	Yes	Terrestrial
28042	Null	Terrestrial
28043	Null	Terrestrial
28044	Null	Freshwater
28045	Null	Terrestrial
28046	Yes	Terrestrial
28047	Yes	Terrestrial
28048	Null	Terrestrial
28049	Null	Terrestrial
28050	Null	Terrestrial
28051	Null	Terrestrial
28052	Null	Terrestrial
28053	Null	Terrestrial
28054	Yes	Terrestrial|Freshwater
28055	Null	Terrestrial
28056	Yes	Terrestrial
28057	Null	Freshwater|Brackish
28058	Yes	Terrestrial
28059	Yes	Terrestrial
28060	Null	Terrestrial|Freshwater|Brackish
28061	Null	Terrestrial
28062	Null	Terrestrial
28063	Null	Freshwater
28064	Null	Freshwater
28065	Null	Terrestrial|Freshwater|Brackish
28066	Null	Terrestrial
28067	Yes	Terrestrial
28068	Yes	Terrestrial
28069	Null	Terrestrial
28070	Null	Terrestrial
28071	Null	Terrestrial
28072	Null	Terrestrial
28073	Null	Terrestrial
28074	Yes	Terrestrial
28075	Yes	Terrestrial
28076	Yes	Terrestrial
28077	Yes	Terrestrial
28078	Yes	Terrestrial
28079	Null	Terrestrial
28080	Yes	Terrestrial
28081	Null	Terrestrial
28082	Null	Freshwater
28083	Null	Terrestrial
28084	Yes	Terrestrial
28085	Null	Freshwater|Brackish|Marine
28086	Null	Freshwater
28087	Null	Freshwater|Brackish
28088	Null	Freshwater|Brackish
28089	Null	Terrestrial
28090	Yes	Terrestrial
28091	Yes	Terrestrial|Freshwater
28092	Null	Terrestrial
28093	Yes	Terrestrial|Freshwater
28094	Null	Terrestrial
28095	Null	Terrestrial
28096	Null	Terrestrial
28097	Yes	Terrestrial|Freshwater
28098	Yes	Terrestrial|Freshwater
28099	Null	Terrestrial
28100	Null	Terrestrial
28101	Null	Terrestrial
28102	Null	Terrestrial
28103	Null	Freshwater
28104	Null	Terrestrial
28105	Null	Terrestrial
28106	Yes	Freshwater
28107	Null	Terrestrial
28108	Null	Terrestrial
28109	Null	Freshwater
28110	Null	Terrestrial
28111	Yes	Terrestrial
28112	Null	Terrestrial
28113	Null	Terrestrial
28114	Null	Terrestrial
28115	Null	Terrestrial
28116	Null	Terrestrial
28117	Null	Terrestrial
28118	Null	Terrestrial
28119	Null	Terrestrial
28120	Null	Freshwater|Brackish|Marine
28121	Null	Terrestrial
28122	Null	Freshwater
28123	Null	Terrestrial
28124	Null	Terrestrial
28125	Null	Terrestrial
28126	Yes	Terrestrial
28127	Yes	Terrestrial
28128	Yes	Terrestrial
28129	Yes	Terrestrial
28130	Yes	Terrestrial
28131	Null	Terrestrial
28132	Null	Terrestrial
28133	Null	Freshwater
28134	Null	Terrestrial
28135	Yes	Terrestrial
28136	Null	Terrestrial
28137	Null	Terrestrial
28138	Null	Terrestrial
28139	Null	Terrestrial
28140	Yes	Terrestrial|Freshwater|Brackish
28141	Null	Terrestrial
28142	Null	Terrestrial
28143	Null	Terrestrial
28144	Null	Terrestrial
28145	Null	Terrestrial
28146	Yes	Terrestrial
