id	isInvasive	habitat
168000	Null	Terrestrial
168001	Null	Terrestrial
168002	Null	Terrestrial
168003	Invasive	Terrestrial|Freshwater
168004	Null	Terrestrial
168005	Null	Terrestrial
168006	Null	Terrestrial
168007	Null	Terrestrial
168008	Invasive	Terrestrial
168009	Null	Terrestrial
168010	Null	Terrestrial
168011	Null	Marine
168012	Null	Terrestrial
168013	Null	Terrestrial
168014	Invasive	Terrestrial
168015	Null	Terrestrial
168016	Null	Terrestrial
168017	Null	Marine
168018	Null	Marine
168019	Null	Terrestrial
168020	Null	Terrestrial
168021	Null	Terrestrial
168022	Null	Terrestrial
168023	Null	Terrestrial
168024	Null	Host
168025	Null	Terrestrial
168026	Null	Terrestrial
168027	Null	Terrestrial
168028	Null	Terrestrial
168029	Null	Host
168030	Null	Terrestrial
168031	Null	Marine
168032	Null	Marine
168033	Null	Terrestrial
168034	Null	Terrestrial
168035	Null	Terrestrial
168036	Null	Freshwater
168037	Null	Terrestrial
168038	Null	Terrestrial
168039	Invasive	Terrestrial
168040	Null	Terrestrial
168041	Null	Terrestrial
168042	Null	Terrestrial
168043	Null	Terrestrial
168044	Null	Terrestrial
168045	Null	Freshwater
168046	Null	Terrestrial
168047	Null	Freshwater
168048	Null	Freshwater
168049	Null	Freshwater
168050	Null	Freshwater
168051	Null	Terrestrial
168052	Null	Terrestrial
168053	Null	Terrestrial
168054	Null	Terrestrial
168055	Null	Freshwater
168056	Null	Terrestrial
168057	Null	Terrestrial
168058	Null	Terrestrial
168059	Null	Freshwater
168060	Invasive	Terrestrial
168061	Null	Marine
168062	Null	Terrestrial
168063	Null	Terrestrial
168064	Null	Terrestrial
168065	Null	Terrestrial
168066	Invasive	Terrestrial
168067	Null	Freshwater
168068	Null	Terrestrial
168069	Invasive	Terrestrial
168070	Null	Terrestrial
168071	Invasive	Terrestrial|Freshwater
168072	Null	Terrestrial|Freshwater
168073	Null	Freshwater
168074	Null	Freshwater|Brackish
168075	Null	Terrestrial
168076	Null	Terrestrial
168077	Null	Terrestrial
168078	Null	Terrestrial
168079	Invasive	Terrestrial
168080	Null	Marine
168081	Null	Marine
168082	Null	Terrestrial
168083	Null	Terrestrial
168084	Null	Terrestrial
168085	Null	Terrestrial
168086	Null	Terrestrial
168087	Null	Terrestrial
168088	Null	Marine
168089	Null	Terrestrial
168090	Null	Freshwater
168091	Null	Freshwater
168092	Null	Freshwater
168093	Null	Terrestrial
168094	Null	Terrestrial|Freshwater
168095	Null	Terrestrial|Freshwater
168096	Null	Terrestrial|Freshwater
168097	Null	Terrestrial
168098	Null	Terrestrial
168099	Null	Terrestrial
168100	Null	Terrestrial
168101	Null	Terrestrial
168102	Null	Terrestrial
168103	Null	Terrestrial
168104	Null	Terrestrial
168105	Null	Terrestrial
168106	Null	Terrestrial
168107	Null	Terrestrial
168108	Invasive	Terrestrial
168109	Null	Terrestrial
168110	Null	Terrestrial
168111	Invasive	Terrestrial
168112	Null	Terrestrial
168113	Null	Terrestrial
168114	Null	Terrestrial
168115	Null	Marine
168116	Null	Terrestrial
168117	Invasive	Freshwater
168118	Null	Terrestrial
168119	Null	Freshwater
168120	Invasive	Freshwater|Brackish
168121	Null	Freshwater
168122	Null	Freshwater
168123	Null	Terrestrial
168124	Invasive	Terrestrial
168125	Invasive	Terrestrial
168126	Null	Terrestrial
168127	Null	Terrestrial
168128	Null	Terrestrial
168129	Null	Terrestrial
168130	Null	Terrestrial
168131	Null	Terrestrial
168132	Null	Terrestrial
168133	Null	Terrestrial
168134	Null	Terrestrial
168135	Null	Terrestrial
168136	Null	Terrestrial
168137	Null	Terrestrial
168138	Null	Freshwater
168139	Null	Freshwater
168140	Null	Terrestrial
168141	Null	Terrestrial
168142	Invasive	Terrestrial
168143	Null	Marine
168144	Null	Terrestrial
168145	Null	Terrestrial
168146	Null	Terrestrial
168147	Null	Freshwater
168148	Invasive	Freshwater
168149	Null	Terrestrial
168150	Null	Terrestrial
168151	Null	Terrestrial
168152	Null	Terrestrial
168153	Null	Freshwater
168154	Invasive	Terrestrial
168155	Null	Terrestrial
168156	Null	Terrestrial
168157	Null	Terrestrial
168158	Null	Marine
168159	Null	Freshwater
168160	Null	Terrestrial
168161	Invasive	Terrestrial
168162	Null	Terrestrial
168163	Null	Terrestrial
168164	Null	Terrestrial
168165	Invasive	Freshwater
168166	Null	Terrestrial
168167	Null	Terrestrial
168168	Null	Terrestrial
168169	Null	Terrestrial
168170	Null	Terrestrial
168171	Null	Terrestrial
168172	Null	Terrestrial
168173	Null	Freshwater
168174	Null	Freshwater
168175	Null	Terrestrial
168176	Null	Freshwater
168177	Null	Freshwater
168178	Null	Freshwater
168179	Null	Freshwater|Brackish
168180	Null	Freshwater
168181	Null	Terrestrial
168182	Null	Terrestrial
168183	Null	Terrestrial
168184	Null	Terrestrial
168185	Null	Marine
168186	Null	Terrestrial
168187	Null	Terrestrial
168188	Null	Terrestrial
168189	Null	Terrestrial
168190	Null	Marine
168191	Null	Terrestrial
168192	Null	Freshwater
168193	Null	Freshwater
168194	Null	Freshwater
168195	Null	Terrestrial
168196	Null	Terrestrial
168197	Null	Host
168198	Null	Terrestrial
168199	Null	Marine
168200	Null	Marine
168201	Null	Marine
168202	Null	Marine
168203	Null	Freshwater
168204	Null	Freshwater
168205	Null	Freshwater
168206	Null	Terrestrial
168207	Null	Freshwater
168208	Null	Terrestrial
168209	Null	Freshwater
168210	Invasive	Terrestrial
168211	Null	Terrestrial
168212	Invasive	Terrestrial
168213	Null	Marine
168214	Invasive	Host
168215	Null	Terrestrial|Freshwater
168216	Null	Freshwater
168217	Null	Marine
168218	Null	Terrestrial
168219	Null	Terrestrial
168220	Null	Terrestrial
168221	Invasive	Terrestrial
168222	Invasive	Terrestrial
168223	Null	Terrestrial
168224	Null	Terrestrial
168225	Invasive	Terrestrial
168226	Null	Freshwater
168227	Null	Terrestrial
168228	Null	Terrestrial
168229	Null	Terrestrial
168230	Null	Brackish|Marine
168231	Null	Terrestrial
168232	Null	Terrestrial
168233	Null	Terrestrial
168234	Null	Terrestrial
168235	Null	Terrestrial
168236	Null	Terrestrial
168237	Null	Terrestrial
168238	Null	Terrestrial
168239	Null	Terrestrial
168240	Null	Terrestrial
168241	Null	Terrestrial
168242	Null	Terrestrial
168243	Null	Marine
168244	Null	Marine
168245	Null	Marine
168246	Null	Terrestrial
168247	Invasive	Terrestrial
168248	Invasive	Terrestrial
168249	Null	Terrestrial
168250	Null	Terrestrial
168251	Null	Terrestrial
168252	Null	Terrestrial
168253	Null	Terrestrial
168254	Null	Terrestrial
168255	Invasive	Terrestrial
168256	Null	Freshwater|Brackish
168257	Null	Terrestrial|Freshwater
168258	Null	Marine
168259	Null	Terrestrial
168260	Null	Terrestrial
168261	Null	Terrestrial
168262	Invasive	Terrestrial
168263	Null	Terrestrial
168264	Null	Terrestrial
