id	isInvasive	habitat
103000	Null	Terrestrial
103001	Null	Terrestrial
103002	Null	Terrestrial
103003	Null	Terrestrial
103004	Null	Terrestrial
103005	Invasive	Terrestrial
103006	Null	Terrestrial
103007	Null	Terrestrial
103008	Invasive	Terrestrial
103009	Invasive	Marine
103010	Invasive	Terrestrial
103011	Invasive	Terrestrial
103012	Null	Terrestrial
103013	Invasive	Terrestrial
103014	Invasive	Terrestrial
103015	Null	Terrestrial
103016	Null	Terrestrial
103017	Invasive	Terrestrial
103018	Invasive	Terrestrial
103019	Null	Terrestrial
103020	Invasive	Terrestrial
103021	Null	Terrestrial
103022	Null	Terrestrial
103023	Null	Terrestrial
103024	Null	Terrestrial
103025	Invasive	Terrestrial
103026	Invasive	Terrestrial|Freshwater
103027	Null	Terrestrial
103028	Invasive	Terrestrial
103029	Null	Terrestrial
103030	Invasive	Terrestrial
103031	Invasive	Terrestrial
103032	Invasive	Terrestrial
103033	Null	Terrestrial
103034	Invasive	Terrestrial
103035	Null	Freshwater|Brackish
103036	Null	Terrestrial
103037	Null	Terrestrial
103038	Null	Terrestrial
103039	Null	Terrestrial
103040	Invasive	Terrestrial
103041	Invasive	Terrestrial
103042	Null	Terrestrial
103043	Invasive	Terrestrial
103044	Invasive	Terrestrial
103045	Null	Terrestrial
103046	Invasive	Terrestrial
103047	Null	Terrestrial
103048	Invasive	Terrestrial
103049	Null	Terrestrial
103050	Null	Terrestrial
103051	Null	Terrestrial
103052	Null	Terrestrial
103053	Null	Terrestrial
103054	Invasive	Terrestrial
103055	Null	Terrestrial
103056	Invasive	Terrestrial
103057	Invasive	Terrestrial
103058	Invasive	Terrestrial
103059	Invasive	Terrestrial
103060	Null	Terrestrial
103061	Null	Terrestrial
103062	Invasive	Terrestrial
103063	Invasive	Terrestrial
103064	Null	Terrestrial
103065	Null	Terrestrial
103066	Null	Terrestrial
103067	Null	Terrestrial
103068	Null	Terrestrial
103069	Null	Terrestrial
103070	Null	Terrestrial
103071	Null	Terrestrial
103072	Null	Terrestrial
103073	Null	Terrestrial
103074	Invasive	Terrestrial
103075	Null	Terrestrial
103076	Null	Terrestrial
103077	Invasive	Terrestrial
103078	Invasive	Terrestrial
103079	Invasive	Freshwater
103080	Null	Terrestrial
103081	Null	Freshwater|Brackish
103082	Invasive	Terrestrial
103083	Invasive	Terrestrial
103084	Invasive	Terrestrial
103085	Invasive	Terrestrial
103086	Invasive	Terrestrial
103087	Null	Freshwater
103088	Null	Terrestrial
103089	Invasive	Terrestrial
103090	Invasive	Terrestrial
103091	Invasive	Terrestrial
103092	Invasive	Terrestrial
103093	Invasive	Terrestrial
103094	Null	Terrestrial
103095	Null	Terrestrial
103096	Null	Terrestrial
103097	Null	Terrestrial
103098	Invasive	Terrestrial
103099	Invasive	Terrestrial
103100	Invasive	Terrestrial
103101	Null	Terrestrial
103102	Null	Terrestrial
103103	Invasive	Terrestrial
103104	Invasive	Terrestrial
103105	Null	Terrestrial
103106	Invasive	Terrestrial
103107	Null	Terrestrial
103108	Invasive	Terrestrial
103109	Null	Terrestrial
103110	Invasive	Terrestrial
103111	Null	Terrestrial
103112	Null	Terrestrial
103113	Null	Terrestrial
103114	Invasive	Terrestrial
103115	Invasive	Terrestrial|Freshwater
103116	Null	Terrestrial
103117	Null	Terrestrial
103118	Null	Terrestrial
103119	Invasive	Terrestrial
103120	Null	Terrestrial|Freshwater
103121	Null	Terrestrial|Freshwater
103122	Invasive	Terrestrial|Freshwater
103123	Invasive	Terrestrial|Freshwater
103124	Invasive	Terrestrial|Freshwater
103125	Invasive	Freshwater|Brackish
103126	Null	Terrestrial
103127	Invasive	Terrestrial
103128	Invasive	Terrestrial
103129	Invasive	Terrestrial
103130	Invasive	Terrestrial
103131	Null	Terrestrial
103132	Null	Terrestrial
103133	Invasive	Terrestrial
103134	Invasive	Terrestrial
103135	Null	Terrestrial
103136	Invasive	Terrestrial
103137	Invasive	Terrestrial
103138	Invasive	Terrestrial
103139	Null	Host
103140	Null	Terrestrial
103141	Invasive	Terrestrial
103142	Invasive	Terrestrial
103143	Null	Terrestrial
103144	Null	Terrestrial
103145	Invasive	Terrestrial
103146	Invasive	Terrestrial
103147	Invasive	Terrestrial
103148	Invasive	Terrestrial
103149	Null	Terrestrial
103150	Null	Terrestrial
103151	Invasive	Freshwater
103152	Null	Terrestrial
103153	Invasive	Terrestrial
103154	Invasive	Terrestrial
103155	Invasive	Terrestrial
103156	Null	Terrestrial
103157	Null	Terrestrial
103158	Null	Terrestrial
103159	Null	Terrestrial
103160	Null	Terrestrial
103161	Null	Terrestrial
103162	Null	Terrestrial
103163	Null	Terrestrial
103164	Null	Terrestrial
103165	Null	Terrestrial
103166	Null	Terrestrial
103167	Null	Terrestrial
103168	Null	Terrestrial
103169	Null	Terrestrial
103170	Null	Terrestrial
103171	Null	Terrestrial
103172	Invasive	Terrestrial
103173	Invasive	Terrestrial
103174	Null	Terrestrial
103175	Null	Terrestrial
103176	Null	Terrestrial
103177	Null	Terrestrial
103178	Null	Terrestrial
103179	Null	Terrestrial
103180	Null	Terrestrial|Freshwater
103181	Null	Terrestrial
103182	Null	Terrestrial
103183	Null	Terrestrial
103184	Invasive	Freshwater|Brackish
103185	Invasive	Freshwater|Brackish
103186	Invasive	Terrestrial
103187	Invasive	Terrestrial
103188	Null	Terrestrial
103189	Null	Terrestrial
103190	Invasive	Terrestrial
103191	Null	Terrestrial
103192	Invasive	Terrestrial
103193	Null	Freshwater
103194	Null	Freshwater
103195	Invasive	Terrestrial
103196	Invasive	Terrestrial
103197	Invasive	Terrestrial
103198	Invasive	Terrestrial
103199	Invasive	Terrestrial
103200	Invasive	Terrestrial
103201	Null	Terrestrial
103202	Invasive	Terrestrial
103203	Null	Terrestrial
103204	Invasive	Terrestrial|Freshwater
103205	Null	Terrestrial
103206	Invasive	Terrestrial
103207	Null	Terrestrial
103208	Null	Terrestrial
103209	Null	Terrestrial
103210	Invasive	Terrestrial
103211	Null	Terrestrial
103212	Null	Terrestrial
103213	Null	Terrestrial
103214	Invasive	Terrestrial|Freshwater
103215	Invasive	Terrestrial|Freshwater
103216	Invasive	terrestrial
103217	Null	Terrestrial
103218	Null	Terrestrial
103219	Null	Terrestrial|Freshwater
103220	Null	Freshwater
103221	Null	Terrestrial
103222	Null	Terrestrial
103223	Invasive	Terrestrial
103224	Null	Freshwater
103225	Null	Terrestrial
103226	Null	Terrestrial
103227	Invasive	Terrestrial
103228	Invasive	Terrestrial|Freshwater
103229	Invasive	Terrestrial|Freshwater
103230	Null	Terrestrial
103231	Null	Terrestrial
103232	Null	Host
103233	Invasive	Terrestrial
103234	Invasive	Terrestrial
103235	Null	Terrestrial
103236	Invasive	Terrestrial
103237	Invasive	Terrestrial
103238	Null	Terrestrial
103239	Invasive	Terrestrial
103240	Null	Terrestrial
103241	Invasive	Terrestrial
103242	Invasive	Terrestrial
103243	Null	Terrestrial
103244	Null	Terrestrial
103245	Invasive	Terrestrial
103246	Invasive	Terrestrial
103247	Invasive	Terrestrial
103248	Invasive	Terrestrial
103249	Invasive	Terrestrial
103250	Null	Terrestrial
