id	locationID	countryCode	occurrenceStatus	establishmentMeans
100000	Peru	PE	Present	Alien
100001	Peru	PE	Present	Alien
100002	Peru	PE	Present	Alien
100003	Peru	PE	Present	Alien
100004	Peru	PE	Present	Alien
100005	Peru	PE	Present	Alien
100006	Peru	PE	Present	Alien
100007	Peru	PE	Present	Alien
100008	Peru	PE	Present	Alien
100009	Peru	PE	Present	Alien
100010	Peru	PE	Present	Alien
100011	Peru	PE	Present	Alien
100012	Peru	PE	Present	Alien
100013	Peru	PE	Present	Alien
100014	Peru	PE	Present	Alien
100015	Peru	PE	Present	Alien
100016	Peru	PE	Present	Alien
100017	Peru	PE	Present	Alien
100018	Peru	PE	Present	Alien
100019	Peru	PE	Present	Alien
100020	Peru	PE	Present	Alien
100021	Peru	PE	Present	Alien
100022	Peru	PE	Present	Alien
100023	Peru	PE	Present	Alien
100024	Peru	PE	Present	Alien
100025	Peru	PE	Present	Alien
100026	Peru	PE	Present	Alien
100027	Peru	PE	Present	Alien
100028	Peru	PE	Present	Alien
100029	Peru	PE	Present	Alien
100030	Peru	PE	Present	Alien
100031	Peru	PE	Present	Alien
100032	Peru	PE	Present	Alien
100033	Peru	PE	Present	Alien
100034	Peru	PE	Present	Alien
100035	Peru	PE	Present	Alien
100036	Peru	PE	Present	Alien
100037	Peru	PE	Present	Alien
100038	Peru	PE	Present	Alien
100039	Peru	PE	Present	Alien
100040	Peru	PE	Present	Alien
100041	Peru	PE	Present	Alien
100042	Peru	PE	Present	Alien
100043	Peru	PE	Present	Alien
100044	Peru	PE	Present	Alien
100045	Peru	PE	Present	Alien
100046	Peru	PE	Present	Alien
100047	Peru	PE	Present	Alien
100048	Peru	PE	Present	Alien
100049	Peru	PE	Present	Alien
100050	Peru	PE	Present	Alien
100051	Peru	PE	Present	Alien
100052	Peru	PE	Present	Alien
100053	Peru	PE	Present	Alien
100054	Peru	PE	Present	Alien
100055	Peru	PE	Present	Alien
100056	Peru	PE	Present	Alien
100057	Peru	PE	Present	Alien
100058	Peru	PE	Present	Alien
100059	Peru	PE	Present	Alien
100060	Peru	PE	Present	Alien
100061	Peru	PE	Present	Alien
100062	Peru	PE	Present	Alien
100063	Peru	PE	Present	Alien
100064	Peru	PE	Present	Alien
100065	Peru	PE	Present	Alien
100066	Peru	PE	Present	Alien
100067	Peru	PE	Present	Alien
100068	Peru	PE	Present	Alien
100069	Peru	PE	Present	Alien
100070	Peru	PE	Present	Alien
100071	Peru	PE	Present	Alien
100072	Peru	PE	Present	Alien
100073	Peru	PE	Present	Alien
100074	Peru	PE	Present	Alien
100075	Peru	PE	Present	Alien
100076	Peru	PE	Present	Alien
100077	Peru	PE	Present	Alien
100078	Peru	PE	Present	Alien
100079	Peru	PE	Present	Alien
100080	Peru	PE	Present	Alien
100081	Peru	PE	Present	Alien
100082	Peru	PE	Present	Alien
100083	Peru	PE	Present	Alien
100084	Peru	PE	Present	Alien
100085	Peru	PE	Present	Alien
100086	Peru	PE	Present	Alien
100087	Peru	PE	Present	Alien
100088	Peru	PE	Present	Alien
100089	Peru	PE	Present	Alien
100090	Peru	PE	Present	Alien
100091	Peru	PE	Present	Alien
100092	Peru	PE	Present	Alien
100093	Peru	PE	Present	Alien
100094	Peru	PE	Present	Alien
100095	Peru	PE	Present	Alien
100096	Peru	PE	Present	Alien
100097	Peru	PE	Present	Alien
100098	Peru	PE	Present	Alien
100099	Peru	PE	Present	Alien
100100	Peru	PE	Present	Alien
100101	Peru	PE	Present	Alien
100102	Peru	PE	Present	Alien
100103	Peru	PE	Present	Alien
100104	Peru	PE	Present	Alien
100105	Peru	PE	Present	Alien
100106	Peru	PE	Present	Alien
100107	Peru	PE	Present	Alien
100108	Peru	PE	Present	Alien
100109	Peru	PE	Present	Alien
100110	Peru	PE	Present	Alien
100111	Peru	PE	Present	Alien
100112	Peru	PE	Present	Alien
100113	Peru	PE	Present	Alien
100114	Peru	PE	Present	Alien
100115	Peru	PE	Present	Alien
100116	Peru	PE	Present	Alien
100117	Peru	PE	Present	Alien
100118	Peru	PE	Present	Alien
100119	Peru	PE	Present	Alien
100120	Peru	PE	Present	Alien
100121	Peru	PE	Present	Alien
100122	Peru	PE	Present	Alien
100123	Peru	PE	Present	Alien
100124	Peru	PE	Present	Alien
100125	Peru	PE	Present	Alien
100126	Peru	PE	Present	Alien
100127	Peru	PE	Present	Alien
100128	Peru	PE	Present	Alien
100129	Peru	PE	Present	Alien
100130	Peru	PE	Present	Alien
100131	Peru	PE	Present	Alien
100132	Peru	PE	Present	Alien
100133	Peru	PE	Present	Alien
100134	Peru	PE	Present	Alien
100135	Peru	PE	Present	Alien
100136	Peru	PE	Present	Alien
100137	Peru	PE	Present	Alien
100138	Peru	PE	Present	Alien
100139	Peru	PE	Present	Alien
100140	Peru	PE	Present	Alien
100141	Peru	PE	Present	Alien
100142	Peru	PE	Present	Alien
100143	Peru	PE	Present	Alien
100144	Peru	PE	Present	Alien
100145	Peru	PE	Present	Alien
100146	Peru	PE	Present	Alien
100147	Peru	PE	Present	Alien
100148	Peru	PE	Present	Alien
100149	Peru	PE	Present	Alien
100150	Peru	PE	Present	Alien
100151	Peru	PE	Present	Alien
100152	Peru	PE	Present	Alien
100153	Peru	PE	Present	Alien
100154	Peru	PE	Present	Alien
100155	Peru	PE	Present	Alien
100156	Peru	PE	Present	Alien
100157	Peru	PE	Present	Alien
100158	Peru	PE	Present	Alien
100159	Peru	PE	Present	Alien
100160	Peru	PE	Present	Alien
100161	Peru	PE	Present	Alien
100162	Peru	PE	Present	Alien
100163	Peru	PE	Present	Alien
100164	Peru	PE	Present	Alien
100165	Peru	PE	Present	Alien
100166	Peru	PE	Present	Alien
100167	Peru	PE	Present	Alien
100168	Peru	PE	Present	Alien
100169	Peru	PE	Present	Alien
100170	Peru	PE	Present	Alien
100171	Peru	PE	Present	Alien
100172	Peru	PE	Present	Alien
100173	Peru	PE	Present	Alien
100174	Peru	PE	Present	Alien
100175	Peru	PE	Present	Alien
100176	Peru	PE	Present	Alien
100177	Peru	PE	Present	Alien
100178	Peru	PE	Present	Alien
100179	Peru	PE	Present	Alien
100180	Peru	PE	Present	Alien
100181	Peru	PE	Present	Alien
100182	Peru	PE	Present	Alien
100183	Peru	PE	Present	Alien
100184	Peru	PE	Present	Alien
100185	Peru	PE	Present	Alien
100186	Peru	PE	Present	Alien
100187	Peru	PE	Present	Alien
100188	Peru	PE	Present	Alien
100189	Peru	PE	Present	Alien
100190	Peru	PE	Present	Alien
100191	Peru	PE	Present	Alien
100192	Peru	PE	Present	Alien
100193	Peru	PE	Present	Alien
100194	Peru	PE	Present	Alien
100195	Peru	PE	Present	Alien
100196	Peru	PE	Present	Alien
100197	Peru	PE	Present	Alien
100198	Peru	PE	Present	Alien
100199	Peru	PE	Present	Alien
100200	Peru	PE	Present	Alien
100201	Peru	PE	Present	Alien
100202	Peru	PE	Present	Alien
100203	Peru	PE	Present	Alien
100204	Peru	PE	Present	Alien
100205	Peru	PE	Present	Alien
100206	Peru	PE	Present	Alien
100207	Peru	PE	Present	Alien
100208	Peru	PE	Present	Alien
100209	Peru	PE	Present	Alien
100210	Peru	PE	Present	Alien
100211	Peru	PE	Present	Alien
100212	Peru	PE	Present	Alien
100213	Peru	PE	Present	Alien
100214	Peru	PE	Present	Alien
100215	Peru	PE	Present	Alien
100216	Peru	PE	Present	Alien
100217	Peru	PE	Present	Alien
100218	Peru	PE	Present	Alien
100219	Peru	PE	Present	Alien
100220	Peru	PE	Present	Alien
100221	Peru	PE	Present	Alien
100222	Peru	PE	Present	Alien
100223	Peru	PE	Present	Alien
100224	Peru	PE	Present	Alien
100225	Peru	PE	Present	Alien
100226	Peru	PE	Present	Alien
100227	Peru	PE	Present	Alien
100228	Peru	PE	Present	Alien
100229	Peru	PE	Present	Alien
100230	Peru	PE	Present	Alien
100231	Peru	PE	Present	Alien
100232	Peru	PE	Present	Alien
100233	Peru	PE	Present	Alien
100234	Peru	PE	Present	Alien
100235	Peru	PE	Present	Alien
100236	Peru	PE	Present	Alien
100237	Peru	PE	Present	Alien
100238	Peru	PE	Present	Alien
100239	Peru	PE	Present	Alien
100240	Peru	PE	Present	Alien
100241	Peru	PE	Present	Alien
100242	Peru	PE	Present	Alien
100243	Peru	PE	Present	Alien
100244	Peru	PE	Present	Alien
100245	Peru	PE	Present	Alien
100246	Peru	PE	Present	Alien
100247	Peru	PE	Present	Alien
100248	Peru	PE	Present	Alien
100249	Peru	PE	Present	Alien
100250	Peru	PE	Present	Alien
100251	Peru	PE	Present	Alien
100252	Peru	PE	Present	Alien
100253	Peru	PE	Present	Alien
100254	Peru	PE	Present	Alien
100255	Peru	PE	Present	Alien
100256	Peru	PE	Present	Alien
100257	Peru	PE	Present	Alien
100258	Peru	PE	Present	Alien
100259	Peru	PE	Present	Alien
100260	Peru	PE	Present	Alien
100261	Peru	PE	Present	Alien
100262	Peru	PE	Present	Alien
100263	Peru	PE	Present	Alien
100264	Peru	PE	Present	Alien
100265	Peru	PE	Present	Alien
100266	Peru	PE	Present	Alien
100267	Peru	PE	Present	Alien
100268	Peru	PE	Present	Alien
100269	Peru	PE	Present	Alien
100270	Peru	PE	Present	Alien
100271	Peru	PE	Present	Alien
100272	Peru	PE	Present	Alien
100273	Peru	PE	Present	Alien
100274	Peru	PE	Present	Alien
100275	Peru	PE	Present	Alien
100276	Peru	PE	Present	Alien
100277	Peru	PE	Present	Alien
100278	Peru	PE	Present	Alien
100279	Peru	PE	Present	Alien
100280	Peru	PE	Present	Alien
100281	Peru	PE	Present	Alien
100282	Peru	PE	Present	Alien
100283	Peru	PE	Present	Alien
100284	Peru	PE	Present	Alien
100285	Peru	PE	Present	Alien
100286	Peru	PE	Present	Alien
100287	Peru	PE	Present	Alien
100288	Peru	PE	Present	Alien
100289	Peru	PE	Present	Alien
100290	Peru	PE	Present	Alien
100291	Peru	PE	Present	Alien
100292	Peru	PE	Present	Alien
100293	Peru	PE	Present	Alien
100294	Peru	PE	Present	Alien
100295	Peru	PE	Present	Alien
100296	Peru	PE	Present	Alien
100297	Peru	PE	Present	Alien
100298	Peru	PE	Present	Alien
100299	Peru	PE	Present	Alien
100300	Peru	PE	Present	Alien
100301	Peru	PE	Present	Alien
100302	Peru	PE	Present	Alien
100303	Peru	PE	Present	Alien
100304	Peru	PE	Present	Alien
100305	Peru	PE	Present	Alien
100306	Peru	PE	Present	Alien
100307	Peru	PE	Present	Alien
100308	Peru	PE	Present	Alien
100309	Peru	PE	Present	Alien
100310	Peru	PE	Present	Alien
100311	Peru	PE	Present	Alien
100312	Peru	PE	Present	Alien
100313	Peru	PE	Present	Alien
100314	Peru	PE	Present	Alien
100315	Peru	PE	Present	Alien
100316	Peru	PE	Present	Alien
100317	Peru	PE	Present	Alien
100318	Peru	PE	Present	Alien
100319	Peru	PE	Present	Alien
100320	Peru	PE	Present	Alien
100321	Peru	PE	Present	Alien
100322	Peru	PE	Present	Alien
100323	Peru	PE	Present	Alien
100324	Peru	PE	Present	Alien
100325	Peru	PE	Present	Alien
100326	Peru	PE	Present	Alien
100327	Peru	PE	Present	Alien
100328	Peru	PE	Present	Alien
100329	Peru	PE	Present	Alien
100330	Peru	PE	Present	Alien
100331	Peru	PE	Present	Alien
100332	Peru	PE	Present	Alien
100333	Peru	PE	Present	Alien
100334	Peru	PE	Present	Alien
100335	Peru	PE	Present	Alien
100336	Peru	PE	Present	Alien
100337	Peru	PE	Present	Alien
100338	Peru	PE	Present	Alien
100339	Peru	PE	Present	Alien
100340	Peru	PE	Present	Alien
100341	Peru	PE	Present	Alien
100342	Peru	PE	Present	Alien
100343	Peru	PE	Present	Alien
100344	Peru	PE	Present	Alien
100345	Peru	PE	Present	Alien
100346	Peru	PE	Present	Alien
100347	Peru	PE	Present	Alien
100348	Peru	PE	Present	Alien
100349	Peru	PE	Present	Alien
100350	Peru	PE	Present	Alien
100351	Peru	PE	Present	Alien
100352	Peru	PE	Present	Alien
100353	Peru	PE	Present	Alien
100354	Peru	PE	Present	Alien
100355	Peru	PE	Present	Alien
100356	Peru	PE	Present	Alien
100357	Peru	PE	Present	Alien
100358	Peru	PE	Present	Alien
100359	Peru	PE	Present	Alien
100360	Peru	PE	Present	Alien
100361	Peru	PE	Present	Alien
100362	Peru	PE	Present	Alien
100363	Peru	PE	Present	Alien
100364	Peru	PE	Present	Alien
100365	Peru	PE	Present	Alien
100366	Peru	PE	Present	Alien
100367	Peru	PE	Present	Alien
100368	Peru	PE	Present	Alien
100369	Peru	PE	Present	Alien
100370	Peru	PE	Present	Alien
100371	Peru	PE	Present	Alien
100372	Peru	PE	Present	Alien
100373	Peru	PE	Present	Alien
100374	Peru	PE	Present	Alien
100375	Peru	PE	Present	Alien
100376	Peru	PE	Present	Alien
100377	Peru	PE	Present	Alien
100378	Peru	PE	Present	Alien
100379	Peru	PE	Present	Alien
100380	Peru	PE	Present	Alien
100381	Peru	PE	Present	Alien
100382	Peru	PE	Present	Alien
100383	Peru	PE	Present	Alien
100384	Peru	PE	Present	Alien
100385	Peru	PE	Present	Alien
100386	Peru	PE	Present	Alien
100387	Peru	PE	Present	Alien
100388	Peru	PE	Present	Alien
100389	Peru	PE	Present	Alien
100390	Peru	PE	Present	Alien
100391	Peru	PE	Present	Alien
100392	Peru	PE	Present	Alien
100393	Peru	PE	Present	Alien
100394	Peru	PE	Present	Alien
100395	Peru	PE	Present	Alien
100396	Peru	PE	Present	Alien
100397	Peru	PE	Present	Alien
100398	Peru	PE	Present	Alien
100399	Peru	PE	Present	Alien
100400	Peru	PE	Present	Alien
100401	Peru	PE	Present	Alien
100402	Peru	PE	Present	Alien
100403	Peru	PE	Present	Alien
100404	Peru	PE	Present	Alien
100405	Peru	PE	Present	Alien
100406	Peru	PE	Present	Alien
100407	Peru	PE	Present	Alien
100408	Peru	PE	Present	Alien
100409	Peru	PE	Present	Alien
100410	Peru	PE	Present	Alien
100411	Peru	PE	Present	Alien
100412	Peru	PE	Present	Alien
100413	Peru	PE	Present	Alien
100414	Peru	PE	Present	Alien
100415	Peru	PE	Present	Alien
100416	Peru	PE	Present	Alien
100417	Peru	PE	Present	Alien
100418	Peru	PE	Present	Alien
100419	Peru	PE	Present	Alien
100420	Peru	PE	Present	Alien
100421	Peru	PE	Present	Alien
100422	Peru	PE	Present	Alien
100423	Peru	PE	Present	Alien
100424	Peru	PE	Present	Alien
100425	Peru	PE	Present	Alien
100426	Peru	PE	Present	Alien
100427	Peru	PE	Present	Alien
100428	Peru	PE	Present	Alien
100429	Peru	PE	Present	Alien
100430	Peru	PE	Present	Alien
100431	Peru	PE	Present	Alien
100432	Peru	PE	Present	Alien
100433	Peru	PE	Present	Alien
100434	Peru	PE	Present	Alien
100435	Peru	PE	Present	Alien
