id	isInvasive	habitat
17500	invasive	Terrestrial
17501	invasive	Terrestrial
17502	invasive	Terrestrial
17503	null	Terrestrial
17504	invasive	Terrestrial
17505	null	Terrestrial
17506	null	Terrestrial
17507	invasive	Terrestrial
17508	null	Terrestrial
17509	invasive	Terrestrial
17510	null	Terrestrial
17511	invasive	Terrestrial
17512	null	Terrestrial
17513	invasive	Terrestrial
17514	null	Terrestrial
17515	null	Terrestrial
17516	invasive	Terrestrial
17517	null	Terrestrial
17518	invasive	Terrestrial
17519	invasive	Terrestrial
17520	null	Terrestrial
17521	null	Terrestrial
17522	invasive	Terrestrial
17523	null	Terrestrial
17524	null	Terrestrial
17525	invasive	Terrestrial
17526	invasive	Terrestrial
17527	null	Terrestrial
17528	null	Terrestrial
17529	invasive	Terrestrial
17530	null	Terrestrial
17531	null	Terrestrial
17532	null	Terrestrial
17533	invasive	Terrestrial
17534	invasive	Terrestrial
17535	invasive	Terrestrial
17536	invasive	Terrestrial
17537	invasive	Terrestrial
17538	null	Terrestrial|Freshwater
17539	invasive	Terrestrial
17540	invasive	Terrestrial
17541	invasive	Terrestrial
17542	invasive	Terrestrial|Freshwater
17543	invasive	Terrestrial
17544	null	Terrestrial
17545	invasive	Terrestrial
17546	invasive	Terrestrial
17547	null	Terrestrial
17548	invasive	Terrestrial
17549	invasive	Terrestrial
17550	invasive	Terrestrial
17551	null	Terrestrial
17552	null	Terrestrial
17553	invasive	Terrestrial
17554	invasive	Terrestrial
17555	invasive	Terrestrial
17556	null	Terrestrial
17557	invasive	Terrestrial
17558	invasive	Terrestrial|Freshwater
17559	invasive	Terrestrial
17560	invasive	Terrestrial
17561	invasive	Terrestrial
17562	invasive	Terrestrial
17563	null	Terrestrial
17564	null	Terrestrial
17565	invasive	Terrestrial
17566	invasive	Terrestrial
17567	null	Terrestrial
17568	invasive	Terrestrial
17569	invasive	Terrestrial
17570	null	Terrestrial
17571	null	Terrestrial
17572	null	Terrestrial
17573	invasive	Terrestrial
17574	invasive	Terrestrial
17575	null	Terrestrial
17576	invasive	Terrestrial
17577	invasive	Terrestrial
17578	null	Terrestrial
17579	invasive	Terrestrial
17580	invasive	Terrestrial
17581	invasive	Terrestrial
17582	invasive	Terrestrial
17583	invasive	Terrestrial
17584	invasive	Terrestrial
17585	invasive	Terrestrial
17586	invasive	Terrestrial
17587	null	Terrestrial
17588	invasive	Terrestrial
17589	invasive	Terrestrial
17590	invasive	Terrestrial
17591	invasive	Terrestrial
17592	invasive	Terrestrial
17593	invasive	Terrestrial
17594	invasive	Terrestrial
17595	invasive	Terrestrial
17596	null	Terrestrial
17597	null	Terrestrial
17598	invasive	Terrestrial
17599	invasive	Terrestrial
17600	invasive	Terrestrial
17601	invasive	Terrestrial
17602	invasive	Terrestrial
17603	invasive	Terrestrial
17604	invasive	Terrestrial
17605	invasive	Terrestrial
17606	invasive	Terrestrial
17607	null	Terrestrial
17608	invasive	Terrestrial
17609	invasive	Terrestrial
17610	invasive	Terrestrial
17611	null	Terrestrial
17612	null	Terrestrial
17613	invasive	Terrestrial
17614	invasive	Terrestrial
17615	invasive	Terrestrial
17616	null	Terrestrial
17617	invasive	Terrestrial
17618	invasive	Terrestrial
17619	null	Terrestrial
17620	null	Terrestrial
17621	null	Terrestrial
17622	invasive	Terrestrial
17623	invasive	Terrestrial
17624	null	Terrestrial
17625	null	Terrestrial
17626	invasive	Terrestrial
17627	invasive	Terrestrial
17628	invasive	Terrestrial
