id	isInvasive	habitat
21526	Yes	Terrestrial
21527	Yes	Terrestrial
21528	Yes	Terrestrial
21529	Yes	Terrestrial
21530	Yes	Terrestrial
21531	Yes	Terrestrial
21532	Yes	Marine
21533	Yes	Terrestrial
21534	Yes	Terrestrial
21535	Yes	Terrestrial
21536	Yes	Terrestrial
21537	Yes	Terrestrial
21538	Yes	Terrestrial
21539	Yes	Terrestrial
21540	Yes	Terrestrial
21541	Yes	Terrestrial
21542	Yes	Terrestrial
21543	Yes	Terrestrial
21544	Yes	Terrestrial
21545	Yes	Terrestrial
21546	Yes	Terrestrial
21547	Yes	Terrestrial
21548	Yes	Terrestrial
21549	Null	Terrestrial
21550	Null	Terrestrial
21551	Null	Terrestrial
21552	Null	Terrestrial
21553	Null	Terrestrial
21554	Null	Terrestrial
21555	Null	Terrestrial
21556	Null	Terrestrial
21557	Null	Terrestrial
21558	Null	Terrestrial
21559	Null	Terrestrial
21560	Null	Terrestrial
21561	Null	Terrestrial
21562	Null	Terrestrial
21563	Null	Terrestrial
21564	Null	Terrestrial
21565	Null	Terrestrial
21566	Null	Terrestrial
21567	Null	Terrestrial
21568	Null	Terrestrial
21569	Null	Terrestrial
21570	Null	Terrestrial
21571	Null	Terrestrial
21572	Null	Terrestrial
21573	Null	Terrestrial
21574	Null	Terrestrial
21575	Null	Terrestrial
21576	Null	Terrestrial
21577	Null	Terrestrial
21578	Null	Terrestrial
21579	Null	Terrestrial
21580	Null	Terrestrial
21581	Null	Terrestrial
21582	Null	Terrestrial
21583	Null	Terrestrial
21584	Null	Terrestrial
21585	Null	Terrestrial
21586	Null	Terrestrial
21587	Null	Terrestrial
21588	Null	Terrestrial
21589	Null	Terrestrial
21590	Null	Terrestrial
21591	Null	Terrestrial
21592	Null	Terrestrial
21593	Null	Terrestrial
21594	Null	Terrestrial
21595	Null	Terrestrial
21596	Null	Terrestrial
21597	Null	Terrestrial
21598	Null	Terrestrial
21599	Null	Terrestrial
21600	Null	Terrestrial
21601	Null	Terrestrial
21602	Null	Terrestrial
21603	Null	Terrestrial
21604	Null	Terrestrial
21605	Null	Terrestrial
21606	Null	Terrestrial
21607	Null	Terrestrial
21608	Null	Terrestrial
21609	Null	Terrestrial
21610	Null	Terrestrial
21611	Null	Terrestrial
21612	Null	Terrestrial
21613	Null	Terrestrial
21614	Null	Terrestrial
21615	Null	Terrestrial
21616	Null	Terrestrial
21617	Null	Terrestrial
21618	Null	Terrestrial
21619	Null	Terrestrial
21620	Null	Terrestrial
21621	Null	Terrestrial
21622	Null	Terrestrial
21623	Null	Terrestrial
21624	Null	Terrestrial
21625	Null	Terrestrial
21626	Null	Terrestrial
21627	Null	Terrestrial
21628	Null	Terrestrial
21629	Null	Terrestrial
21630	Null	Terrestrial
21631	Null	Terrestrial
21632	Null	Terrestrial
21633	Null	Terrestrial
21634	Null	Terrestrial
21635	Null	Terrestrial
21636	Null	Terrestrial
21637	Null	Terrestrial
21638	Null	Terrestrial|Freshwater
21639	Null	Terrestrial|Freshwater
21640	Null	Terrestrial|Freshwater
21641	Null	Terrestrial|Freshwater
21642	Null	Terrestrial|Freshwater
21643	Null	Terrestrial|Freshwater
21644	Null	Terrestrial|Freshwater
21645	Null	Terrestrial
21646	Null	Terrestrial
21647	Null	Terrestrial
21648	Null	Terrestrial
21649	Null	Terrestrial
21650	Null	Terrestrial
21651	Null	Terrestrial
21652	Null	Terrestrial
21653	Null	Terrestrial
21654	Null	Terrestrial
21655	Null	Terrestrial
21656	Null	Terrestrial
21657	Null	Terrestrial
21658	Null	Terrestrial
21659	Null	Terrestrial
21660	Null	Freshwater
21661	Null	Terrestrial
21662	Null	Terrestrial|Freshwater
21663	Null	Terrestrial|Freshwater
21664	Null	Terrestrial
21665	Null	Terrestrial
21666	Null	Terrestrial
21667	Null	Terrestrial
21668	Null	Terrestrial
21669	Null	Terrestrial
21670	Null	Terrestrial
21671	Null	Terrestrial
21672	Null	Terrestrial
21673	Null	Terrestrial
21674	Null	Terrestrial
21675	Null	Terrestrial
21676	Null	Terrestrial
21677	Null	Terrestrial
21678	Null	Terrestrial
21679	Null	Terrestrial
21680	Null	Terrestrial
21681	Null	Terrestrial
21682	Null	Terrestrial|Freshwater
21683	Null	Terrestrial|Freshwater
21684	Null	Terrestrial
21685	Null	Terrestrial
21686	Null	Terrestrial
21687	Null	Terrestrial
21688	Null	Terrestrial|Freshwater
21689	Null	Terrestrial
21690	Null	Terrestrial
21691	Null	Terrestrial
21692	Null	Terrestrial
21693	Null	Terrestrial
21694	Null	Terrestrial
21695	Null	Terrestrial
21696	Null	Terrestrial
21697	Null	Terrestrial
21698	Null	Terrestrial
21699	Null	Terrestrial
21700	Null	Terrestrial
21701	Null	Terrestrial
21702	Null	Terrestrial
21703	Null	Terrestrial
21704	Null	Terrestrial
21705	Null	Terrestrial
21706	Null	Terrestrial
21707	Null	Terrestrial
21708	Null	Terrestrial
21709	Null	Terrestrial
21710	Null	Terrestrial
21711	Null	Terrestrial
21712	Null	Terrestrial
21713	Null	Terrestrial
21714	Null	Terrestrial
21715	Null	Terrestrial
21716	Null	Terrestrial
21717	Null	Terrestrial
21718	Null	Terrestrial|Freshwater
21719	Null	Terrestrial|Freshwater
21720	Null	Terrestrial
21721	Null	Terrestrial
21722	Null	Terrestrial
21723	Null	Terrestrial
21724	Null	Terrestrial
21725	Null	Terrestrial
21726	Null	Terrestrial
21727	Null	Terrestrial
21728	Null	Terrestrial
21729	Null	Terrestrial
21730	Null	Terrestrial
21731	Null	Terrestrial
21732	Null	Terrestrial
21733	Null	Terrestrial
21734	Null	Terrestrial
21735	Null	Terrestrial
21736	Null	Terrestrial
21737	Null	Terrestrial
21738	Null	Terrestrial
21739	Null	Terrestrial
21740	Null	Terrestrial
21741	Null	Terrestrial
21742	Null	Terrestrial
21743	Null	Terrestrial
21744	Null	Terrestrial
21745	Null	Terrestrial
21746	Null	Terrestrial
21747	Null	Terrestrial
21748	Null	Terrestrial
21749	Null	Terrestrial
21750	Null	Freshwater|Brackish
21751	Null	Terrestrial|Freshwater
21752	Null	Terrestrial
21753	Null	Terrestrial
21754	Null	Terrestrial
21755	Null	Terrestrial
21756	Null	Terrestrial
21757	Null	Terrestrial
21758	Null	Terrestrial
21759	Null	Terrestrial
21760	Null	Terrestrial
21761	Null	Terrestrial
21762	Null	Terrestrial
21763	Null	Terrestrial
21764	Null	Terrestrial
21765	Null	Terrestrial
21766	Null	Terrestrial
21767	Null	Terrestrial
21768	Null	Terrestrial
21769	Null	Terrestrial
21770	Null	Terrestrial
21771	Null	Terrestrial
21772	Null	Terrestrial
21773	Null	Terrestrial
21774	Null	Terrestrial
21775	Null	Terrestrial
21776	Null	Terrestrial
21777	Null	Terrestrial
21778	Null	Terrestrial
21779	Null	Terrestrial
21780	Null	Terrestrial
21781	Null	Terrestrial
21782	Null	Terrestrial
21783	Null	Terrestrial
21784	Null	Terrestrial
21785	Null	Terrestrial
21786	Null	Terrestrial
21787	Null	Terrestrial
21788	Null	Terrestrial
21789	Null	Terrestrial
21790	Null	Terrestrial
21791	Null	Terrestrial
21792	Null	Terrestrial
21793	Null	Terrestrial
21794	Null	Terrestrial
21795	Null	Terrestrial
21796	Null	Terrestrial
21797	Null	Terrestrial
21798	Null	Terrestrial
21799	Null	Terrestrial
21800	Null	Terrestrial
21801	Null	Terrestrial
21802	Null	Terrestrial
21803	Null	Terrestrial
21804	Null	Terrestrial
21805	Null	Terrestrial
21806	Null	Terrestrial
21807	Null	Terrestrial
21808	Null	Terrestrial
21809	Null	Terrestrial
21810	Null	Terrestrial
21811	Null	Terrestrial
21812	Null	Terrestrial
21813	Null	Terrestrial
21814	Null	Terrestrial
21815	Null	Terrestrial
21816	Null	Terrestrial
21817	Null	Terrestrial
21818	Null	Terrestrial
21819	Null	Terrestrial
21820	Null	Terrestrial
21821	Null	Terrestrial
21822	Null	Terrestrial
21823	Null	Terrestrial
21824	Null	Terrestrial
21825	Null	Terrestrial
21826	Null	Terrestrial
21827	Null	Terrestrial
21828	Null	Terrestrial
21829	Null	Terrestrial
21830	Null	Terrestrial
21831	Null	Terrestrial
21832	Null	Terrestrial
21833	Null	Terrestrial
21834	Null	Terrestrial
21835	Null	Terrestrial
21836	Null	Terrestrial
21837	Null	Terrestrial
21838	Null	Terrestrial
21839	Null	Terrestrial
21840	Null	Terrestrial
21841	Null	Terrestrial|Freshwater
21842	Null	Terrestrial
21843	Null	Terrestrial
21844	Null	Terrestrial
21845	Null	Terrestrial
21846	Null	Terrestrial
21847	Null	Terrestrial
21848	Null	Terrestrial
21849	Null	Terrestrial
21850	Null	Terrestrial
21851	Null	Terrestrial
21852	Null	Terrestrial
21853	Null	Terrestrial
21854	Null	Terrestrial
