id	countryCode	occurrenceStatus	establishmentMeans
6540	RU	present	alien
6541	RU	present	alien
6542	RU	present	alien
6543	RU	present	alien
6544	RU	present	alien
6545	RU	present	alien
6546	RU	present	alien
6547	RU	present	alien
6548	RU	present	alien
6549	RU	present	alien
6550	RU	present	alien
6551	RU	present	alien
6552	RU	present	alien
6553	RU	present	alien
6554	RU	present	alien
6555	RU	present	alien
6556	RU	present	alien
6557	RU	present	alien
6558	RU	present	alien
6559	RU	present	alien
6560	RU	present	alien
6561	RU	present	alien
6562	RU	present	alien
6563	RU	present	alien
6564	RU	present	alien
6565	RU	present	alien
6566	RU	present	alien
6567	RU	present	alien
6568	RU	present	alien
6569	RU	present	alien
6570	RU	present	alien
6571	RU	present	alien
6572	RU	present	alien
6573	RU	present	alien
6574	RU	present	alien
6575	RU	present	alien
6576	RU	present	alien
6577	RU	present	alien
6578	RU	present	alien
6579	RU	present	alien
6580	RU	present	alien
6581	RU	present	alien
6582	RU	present	alien
6583	RU	present	alien
6584	RU	present	alien
6585	RU	present	alien
6586	RU	present	alien
6587	RU	present	alien
6588	RU	present	alien
6589	RU	present	alien
6590	RU	present	alien
6591	RU	present	alien
6592	RU	present	alien
6593	RU	present	alien
6594	RU	present	alien
6595	RU	present	alien
6596	RU	present	alien
6597	RU	present	alien
6598	RU	present	alien
6599	RU	present	alien
6600	RU	present	alien
6601	RU	present	alien
6602	RU	present	alien
6603	RU	present	alien
6604	RU	present	alien
6605	RU	present	alien
6606	RU	present	alien
6607	RU	present	alien
6608	RU	present	alien
6609	RU	present	alien
6610	RU	present	alien
6611	RU	present	alien
6612	RU	present	alien
6613	RU	present	alien
6614	RU	present	alien
6615	RU	present	alien
6616	RU	present	alien
6617	RU	present	alien
6618	RU	present	alien
6619	RU	present	alien
6620	RU	present	alien
6621	RU	present	alien
6622	RU	present	alien
6623	RU	present	alien
6624	RU	present	alien
6625	RU	present	alien
6626	RU	present	alien
6627	RU	present	alien
6628	RU	present	alien
6629	RU	present	alien
6630	RU	present	alien
6631	RU	present	alien
6632	RU	present	alien
6633	RU	present	alien
6634	RU	present	alien
6635	RU	present	alien
6636	RU	present	alien
6637	RU	present	alien
6638	RU	present	alien
6639	RU	present	alien
6640	RU	present	alien
6641	RU	present	alien
6642	RU	present	alien
6643	RU	present	alien
6644	RU	present	alien
6645	RU	present	alien
6646	RU	present	alien
6647	RU	present	alien
6648	RU	present	alien
6649	RU	present	alien
6650	RU	present	alien
6651	RU	present	alien
6652	RU	present	alien
6653	RU	present	alien
6654	RU	present	alien
6655	RU	present	alien
6656	RU	present	alien
6657	RU	present	alien
6658	RU	present	alien
6659	RU	present	alien
6660	RU	present	alien
6661	RU	present	alien
6662	RU	present	alien
6663	RU	present	alien
6664	RU	present	alien
6665	RU	present	alien
6666	RU	present	alien
6667	RU	present	alien
6668	RU	present	alien
6669	RU	present	alien
6670	RU	present	alien
6671	RU	present	alien
6672	RU	present	alien
6673	RU	present	alien
6674	RU	present	alien
6675	RU	present	alien
6676	RU	present	alien
6677	RU	present	alien
6678	RU	present	alien
6679	RU	present	alien
6680	RU	present	alien
6681	RU	present	alien
6682	RU	present	alien
6683	RU	present	alien
6684	RU	present	alien
6685	RU	present	alien
6686	RU	present	alien
6687	RU	present	alien
6688	RU	present	alien
6689	RU	present	alien
6690	RU	present	alien
6691	RU	present	alien
6692	RU	present	alien
6693	RU	present	alien
6694	RU	present	alien
6695	RU	present	alien
6696	RU	present	alien
6697	RU	present	alien
6698	RU	present	alien
6699	RU	present	alien
6700	RU	present	alien
6701	RU	present	alien
6702	RU	present	alien
6703	RU	present	alien
6704	RU	present	alien
6705	RU	present	alien
6706	RU	present	alien
6707	RU	present	alien
6708	RU	present	alien
6709	RU	present	alien
6710	RU	present	alien
6711	RU	present	alien
6712	RU	present	alien
6713	RU	present	alien
6714	RU	present	alien
6715	RU	present	alien
6716	RU	present	alien
6717	RU	present	alien
6718	RU	present	alien
6719	RU	present	alien
6720	RU	present	alien
6721	RU	present	alien
6722	RU	present	alien
6723	RU	present	alien
6724	RU	present	alien
6725	RU	present	alien
6726	RU	present	alien
6727	RU	present	alien
6728	RU	present	alien
6729	RU	present	alien
6730	RU	present	alien
6731	RU	present	alien
6732	RU	present	alien
6733	RU	present	alien
6734	RU	present	alien
6735	RU	present	alien
6736	RU	present	alien
6737	RU	present	alien
6738	RU	present	alien
6739	RU	present	alien
6740	RU	present	alien
6741	RU	present	alien
6742	RU	present	alien
6743	RU	present	alien
6744	RU	present	alien
6745	RU	present	alien
6746	RU	present	alien
6747	RU	present	alien
6748	RU	present	alien
6749	RU	present	alien
6750	RU	present	alien
6751	RU	present	alien
6752	RU	present	alien
6753	RU	present	alien
6754	RU	present	alien
6755	RU	present	alien
6756	RU	present	alien
6757	RU	present	alien
6758	RU	present	alien
6759	RU	present	alien
6760	RU	present	alien
6761	RU	present	alien
6762	RU	present	alien
6763	RU	present	alien
6764	RU	present	alien
6765	RU	present	alien
6766	RU	present	alien
6767	RU	present	alien
6768	RU	present	alien
6769	RU	present	alien
6770	RU	present	alien
6771	RU	present	alien
6772	RU	present	alien
6773	RU	present	alien
6774	RU	present	alien
6775	RU	present	alien
6776	RU	present	alien
6777	RU	present	alien
6778	RU	present	alien
6779	RU	present	alien
6780	RU	present	alien
6781	RU	present	alien
6782	RU	present	alien
6783	RU	present	alien
6784	RU	present	alien
6785	RU	present	alien
6786	RU	present	alien
6787	RU	present	alien
6788	RU	present	alien
6789	RU	present	alien
6790	RU	present	alien
6791	RU	present	alien
6792	RU	present	alien
6793	RU	present	alien
6794	RU	present	alien
6795	RU	present	alien
6796	RU	present	alien
6797	RU	present	alien
6798	RU	present	alien
6799	RU	present	alien
6800	RU	present	alien
6801	RU	present	alien
6802	RU	present	alien
6803	RU	present	alien
6804	RU	present	alien
6805	RU	present	alien
6806	RU	present	alien
6807	RU	present	alien
6808	RU	present	alien
6809	RU	present	alien
6810	RU	present	alien
6811	RU	present	alien
6812	RU	present	alien
6813	RU	present	alien
6814	RU	present	alien
6815	RU	present	alien
6816	RU	present	alien
6817	RU	present	alien
6818	RU	present	alien
6819	RU	present	alien
6820	RU	present	alien
6821	RU	present	alien
6822	RU	present	alien
6823	RU	present	alien
6824	RU	present	alien
6825	RU	present	alien
6826	RU	present	alien
6827	RU	present	alien
6828	RU	present	alien
6829	RU	present	alien
6830	RU	present	alien
6831	RU	present	alien
6832	RU	present	alien
6833	RU	present	alien
6834	RU	present	alien
6835	RU	present	alien
6836	RU	present	alien
6837	RU	present	alien
6838	RU	present	alien
6839	RU	present	alien
6840	RU	present	alien
6841	RU	present	alien
6842	RU	present	alien
6843	RU	present	alien
6844	RU	present	alien
6845	RU	present	alien
6846	RU	present	alien
6847	RU	present	alien
6848	RU	present	alien
6849	RU	present	alien
6850	RU	present	alien
6851	RU	present	alien
6852	RU	present	alien
6853	RU	present	alien
6854	RU	present	alien
6855	RU	present	alien
6856	RU	present	alien
6857	RU	present	alien
6858	RU	present	alien
6859	RU	present	alien
6860	RU	present	alien
6861	RU	present	alien
6862	RU	present	alien
6863	RU	present	alien
6864	RU	present	alien
6865	RU	present	alien
6866	RU	present	alien
6867	RU	present	alien
6868	RU	present	alien
6869	RU	present	alien
6870	RU	present	alien
6871	RU	present	alien
6872	RU	present	alien
6873	RU	present	alien
6874	RU	present	alien
6875	RU	present	alien
6876	RU	present	alien
6877	RU	present	alien
6878	RU	present	alien
6879	RU	present	alien
6880	RU	present	alien
6881	RU	present	alien
6882	RU	present	alien
6883	RU	present	alien
6884	RU	present	alien
6885	RU	present	alien
6886	RU	present	alien
6887	RU	present	alien
6888	RU	present	alien
6889	RU	present	alien
6890	RU	present	alien
6891	RU	present	alien
6892	RU	present	alien
6893	RU	present	alien
6894	RU	present	alien
6895	RU	present	alien
6896	RU	present	alien
6897	RU	present	alien
6898	RU	present	alien
6899	RU	present	alien
6900	RU	present	alien
6901	RU	present	alien
6902	RU	present	alien
6903	RU	present	alien
6904	RU	present	alien
6905	RU	present	alien
6906	RU	present	alien
6907	RU	present	alien
6908	RU	present	alien
6909	RU	present	alien
6910	RU	present	alien
6911	RU	present	alien
6912	RU	present	alien
6913	RU	present	alien
6914	RU	present	alien
6915	RU	present	alien
6916	RU	present	alien
6917	RU	present	alien
6918	RU	present	alien
6919	RU	present	alien
6920	RU	present	alien
6921	RU	present	alien
6922	RU	present	alien
6923	RU	present	alien
6924	RU	present	alien
6925	RU	present	alien
6926	RU	present	alien
6927	RU	present	alien
6928	RU	present	alien
6929	RU	present	alien
6930	RU	present	alien
6931	RU	present	alien
6932	RU	present	alien
6933	RU	present	alien
6934	RU	present	alien
6935	RU	present	alien
