id	isInvasive	habitat
12281	null	freshwater
12178	invasive	host
12284	invasive	marine
12253	null	marine
12254	null	marine
12172	invasive	terrestrial
12173	invasive	terrestrial
12176	invasive	terrestrial
12200	invasive	terrestrial
12179	invasive	terrestrial
12180	invasive	terrestrial
12182	invasive	terrestrial
12184	invasive	terrestrial
12186	invasive	terrestrial
12187	invasive	terrestrial
12188	invasive	terrestrial
12190	invasive	terrestrial
12194	invasive	terrestrial
12195	invasive	terrestrial
12199	invasive	terrestrial
12202	invasive	terrestrial
12204	invasive	terrestrial
12205	invasive	terrestrial
12208	invasive	terrestrial
12210	invasive	terrestrial
12212	invasive	terrestrial
12214	invasive	terrestrial
12215	invasive	terrestrial
12217	invasive	terrestrial
12218	invasive	terrestrial
12219	invasive	terrestrial
12220	invasive	terrestrial
12221	invasive	terrestrial
12223	invasive	terrestrial
12225	invasive	terrestrial
12226	invasive	terrestrial
12244	invasive	terrestrial
12229	invasive	terrestrial
12232	invasive	terrestrial
12233	invasive	terrestrial
12235	invasive	terrestrial
12236	invasive	terrestrial
12239	invasive	terrestrial
12241	invasive	terrestrial
12245	invasive	terrestrial
12246	invasive	terrestrial
12247	invasive	terrestrial
12251	invasive	terrestrial
12252	invasive	terrestrial
12255	invasive	terrestrial
12256	invasive	terrestrial
12258	invasive	terrestrial
12259	invasive	terrestrial
12260	invasive	terrestrial
12262	invasive	terrestrial
12263	invasive	terrestrial
12264	invasive	terrestrial
12268	invasive	terrestrial
12271	invasive	terrestrial
12274	invasive	terrestrial
12275	invasive	terrestrial
12280	invasive	terrestrial
12183	invasive	terrestrial
12174	null	terrestrial
12175	null	terrestrial
12177	null	terrestrial
12181	null	terrestrial
12185	null	terrestrial
12189	null	terrestrial
12191	null	terrestrial
12193	null	terrestrial
12197	null	terrestrial
12198	null	terrestrial
12201	null	terrestrial
12203	null	terrestrial
12206	null	terrestrial
12207	null	terrestrial
12211	null	terrestrial
12213	null	terrestrial
12216	null	terrestrial
12222	null	terrestrial
12224	null	terrestrial
12227	null	terrestrial
12228	null	terrestrial
12230	null	terrestrial
12231	null	terrestrial
12234	null	terrestrial
12237	null	terrestrial
12238	null	terrestrial
12242	null	terrestrial
12243	null	terrestrial
12192	null	terrestrial
12248	null	terrestrial
12249	null	terrestrial
12196	null	terrestrial
12250	null	terrestrial
12282	null	terrestrial
12257	null	terrestrial
12261	null	terrestrial
12265	null	terrestrial
12266	null	terrestrial
12267	null	terrestrial
12269	null	terrestrial
12270	null	terrestrial
12272	null	terrestrial
12273	null	terrestrial
12276	null	terrestrial
12277	null	terrestrial
12278	null	terrestrial
12279	null	terrestrial
12283	null	terrestrial
12285	null	terrestrial
12286	null	terrestrial
12287	null	terrestrial
12209	invasive	terrestrial|freshwater
12240	null	terrestrial|freshwater
