id	locality	countryCode	occurrenceStatus	establishmentMeans
20278	Saint Barthelemy	BL	Present	Alien
20279	Saint Barthelemy	BL	Present	Alien
20280	Saint Barthelemy	BL	Present	Alien
20281	Saint Barthelemy	BL	Present	Alien
20282	Saint Barthelemy	BL	Present	Alien
20283	Saint Barthelemy	BL	Present	Alien
20284	Saint Barthelemy	BL	Present	Alien
20285	Saint Barthelemy	BL	Present	Alien
20286	Saint Barthelemy	BL	Present	Alien
20287	Saint Barthelemy	BL	Present	Alien
20288	Saint Barthelemy	BL	Present	Alien
20289	Saint Barthelemy	BL	Present	Alien
20290	Saint Barthelemy	BL	Present	Alien
20291	Saint Barthelemy	BL	Present	Alien
20292	Saint Barthelemy	BL	Present	Alien
20293	Saint Barthelemy	BL	Present	Alien
20294	Saint Barthelemy	BL	Present	Alien
20295	Saint Barthelemy	BL	Present	Alien
20296	Saint Barthelemy	BL	Present	Alien
20297	Saint Barthelemy	BL	Present	Alien
20298	Saint Barthelemy	BL	Present	Alien
20299	Saint Barthelemy	BL	Present	Alien
20300	Saint Barthelemy	BL	Present	Alien
20301	Saint Barthelemy	BL	Present	Alien
20302	Saint Barthelemy	BL	Present	Alien
20303	Saint Barthelemy	BL	Present	Alien
20304	Saint Barthelemy	BL	Present	Alien
20305	Saint Barthelemy	BL	Present	Alien
20306	Saint Barthelemy	BL	Present	Alien
20307	Saint Barthelemy	BL	Present	Alien
20308	Saint Barthelemy	BL	Present	Alien
20309	Saint Barthelemy	BL	Present	Alien
20310	Saint Barthelemy	BL	Present	Alien
20311	Saint Barthelemy	BL	Present	Alien
20312	Saint Barthelemy	BL	Present	Alien
20313	Saint Barthelemy	BL	Present	Alien
20314	Saint Barthelemy	BL	Present	Alien
20315	Saint Barthelemy	BL	Present	Alien
20316	Saint Barthelemy	BL	Present	Alien
20317	Saint Barthelemy	BL	Present	Alien
20318	Saint Barthelemy	BL	Present	Alien
20319	Saint Barthelemy	BL	Present	Alien
20320	Saint Barthelemy	BL	Present	Alien
20321	Saint Barthelemy	BL	Present	Alien
20322	Saint Barthelemy	BL	Present	Alien
20323	Saint Barthelemy	BL	Present	Alien
20324	Saint Barthelemy	BL	Present	Alien
20325	Saint Barthelemy	BL	Present	Alien
20326	Saint Barthelemy	BL	Present	Alien
20327	Saint Barthelemy	BL	Present	Alien
20328	Saint Barthelemy	BL	Present	Alien
20329	Saint Barthelemy	BL	Present	Alien
20330	Saint Barthelemy	BL	Present	Alien
20331	Saint Barthelemy	BL	Present	Alien
20332	Saint Barthelemy	BL	Present	Alien
20333	Saint Barthelemy	BL	Present	Alien
20334	Saint Barthelemy	BL	Present	Alien
20335	Saint Barthelemy	BL	Present	Alien
20336	Saint Barthelemy	BL	Present	Alien
20337	Saint Barthelemy	BL	Present	Alien
20338	Saint Barthelemy	BL	Present	Alien
20339	Saint Barthelemy	BL	Present	Alien
20340	Saint Barthelemy	BL	Present	Alien
20341	Saint Barthelemy	BL	Present	Alien
20342	Saint Barthelemy	BL	Present	Alien
20343	Saint Barthelemy	BL	Present	Alien
20344	Saint Barthelemy	BL	Present	Alien
20345	Saint Barthelemy	BL	Present	Alien
20346	Saint Barthelemy	BL	Present	Alien
20347	Saint Barthelemy	BL	Present	Alien
20348	Saint Barthelemy	BL	Present	Alien
20349	Saint Barthelemy	BL	Present	Alien
20350	Saint Barthelemy	BL	Present	Alien
20351	Saint Barthelemy	BL	Present	Alien
20352	Saint Barthelemy	BL	Present	Alien
20353	Saint Barthelemy	BL	Present	Alien
20354	Saint Barthelemy	BL	Present	Alien
20355	Saint Barthelemy	BL	Present	Alien
20356	Saint Barthelemy	BL	Present	Alien
20357	Saint Barthelemy	BL	Present	Alien
20358	Saint Barthelemy	BL	Present	Alien
20359	Saint Barthelemy	BL	Present	Alien
20360	Saint Barthelemy	BL	Present	Alien
20361	Saint Barthelemy	BL	Present	Alien
20362	Saint Barthelemy	BL	Present	Alien
20363	Saint Barthelemy	BL	Present	Alien
20364	Saint Barthelemy	BL	Present	Alien
20365	Saint Barthelemy	BL	Present	Alien
20366	Saint Barthelemy	BL	Present	Alien
20367	Saint Barthelemy	BL	Present	Alien
20368	Saint Barthelemy	BL	Present	Alien
20369	Saint Barthelemy	BL	Present	Alien
20370	Saint Barthelemy	BL	Present	Alien
20371	Saint Barthelemy	BL	Present	Alien
20372	Saint Barthelemy	BL	Present	Alien
20373	Saint Barthelemy	BL	Present	Alien
20374	Saint Barthelemy	BL	Present	Alien
20375	Saint Barthelemy	BL	Present	Alien
20376	Saint Barthelemy	BL	Present	Alien
20377	Saint Barthelemy	BL	Present	Alien
20378	Saint Barthelemy	BL	Present	Alien
20379	Saint Barthelemy	BL	Present	Alien
20380	Saint Barthelemy	BL	Present	Alien
20381	Saint Barthelemy	BL	Present	Alien
20382	Saint Barthelemy	BL	Present	Alien
20383	Saint Barthelemy	BL	Present	Alien
20384	Saint Barthelemy	BL	Present	Alien
20385	Saint Barthelemy	BL	Present	Alien
20386	Saint Barthelemy	BL	Present	Alien
20387	Saint Barthelemy	BL	Present	Alien
20388	Saint Barthelemy	BL	Present	Alien
20389	Saint Barthelemy	BL	Present	Alien
20390	Saint Barthelemy	BL	Present	Alien
20391	Saint Barthelemy	BL	Present	Alien
20392	Saint Barthelemy	BL	Present	Alien
20393	Saint Barthelemy	BL	Present	Alien
20394	Saint Barthelemy	BL	Present	Alien
20395	Saint Barthelemy	BL	Present	Alien
20396	Saint Barthelemy	BL	Present	Alien
20397	Saint Barthelemy	BL	Present	Alien
20398	Saint Barthelemy	BL	Present	Alien
20399	Saint Barthelemy	BL	Present	Alien
20400	Saint Barthelemy	BL	Present	Alien
20401	Saint Barthelemy	BL	Present	Alien
20402	Saint Barthelemy	BL	Present	Alien
20403	Saint Barthelemy	BL	Present	Alien
20404	Saint Barthelemy	BL	Present	Alien
20405	Saint Barthelemy	BL	Present	Alien
20406	Saint Barthelemy	BL	Present	Alien
20407	Saint Barthelemy	BL	Present	Alien
20408	Saint Barthelemy	BL	Present	Alien
20409	Saint Barthelemy	BL	Present	Alien
20410	Saint Barthelemy	BL	Present	Alien
20411	Saint Barthelemy	BL	Present	Alien
20412	Saint Barthelemy	BL	Present	Alien
20413	Saint Barthelemy	BL	Present	Alien
20414	Saint Barthelemy	BL	Present	Alien
20415	Saint Barthelemy	BL	Present	Alien
20416	Saint Barthelemy	BL	Present	Alien
20417	Saint Barthelemy	BL	Present	Alien
20418	Saint Barthelemy	BL	Present	Alien
20419	Saint Barthelemy	BL	Present	Alien
20420	Saint Barthelemy	BL	Present	Alien
20421	Saint Barthelemy	BL	Present	Alien
20422	Saint Barthelemy	BL	Present	Alien
20423	Saint Barthelemy	BL	Present	Alien
20424	Saint Barthelemy	BL	Present	Alien
20425	Saint Barthelemy	BL	Present	Alien
20426	Saint Barthelemy	BL	Present	Alien
20427	Saint Barthelemy	BL	Present	Alien
20428	Saint Barthelemy	BL	Present	Alien
20429	Saint Barthelemy	BL	Present	Alien
20430	Saint Barthelemy	BL	Present	Alien
20431	Saint Barthelemy	BL	Present	Alien
20432	Saint Barthelemy	BL	Present	Alien
20433	Saint Barthelemy	BL	Present	Alien
20434	Saint Barthelemy	BL	Present	Alien
20435	Saint Barthelemy	BL	Present	Alien
20436	Saint Barthelemy	BL	Present	Alien
20437	Saint Barthelemy	BL	Present	Alien
20438	Saint Barthelemy	BL	Present	Alien
20439	Saint Barthelemy	BL	Present	Alien
20440	Saint Barthelemy	BL	Present	Alien
20441	Saint Barthelemy	BL	Present	Alien
20442	Saint Barthelemy	BL	Present	Alien
20443	Saint Barthelemy	BL	Present	Alien
20444	Saint Barthelemy	BL	Present	Alien
20445	Saint Barthelemy	BL	Present	Alien
20446	Saint Barthelemy	BL	Present	Alien
20447	Saint Barthelemy	BL	Present	Alien
20448	Saint Barthelemy	BL	Present	Alien
20449	Saint Barthelemy	BL	Present	Alien
20450	Saint Barthelemy	BL	Present	Alien
20451	Saint Barthelemy	BL	Present	Alien
20452	Saint Barthelemy	BL	Present	Alien
20453	Saint Barthelemy	BL	Present	Alien
20454	Saint Barthelemy	BL	Present	Alien
20455	Saint Barthelemy	BL	Present	Alien
20456	Saint Barthelemy	BL	Present	Alien
20457	Saint Barthelemy	BL	Present	Alien
20458	Saint Barthelemy	BL	Present	Alien
