id	isInvasive	habitat
108750	Null	Terrestrial
108751	Null	Terrestrial
108752	Null	Terrestrial
108753	Null	Terrestrial
108754	Null	Marine
108755	Invasive	Terrestrial
108756	Invasive	Terrestrial
108757	Null	Terrestrial
108758	Null	Terrestrial
108759	Null	Terrestrial
108760	Null	Terrestrial
108761	Null	Terrestrial|Freshwater
108762	Invasive	Terrestrial
108763	Null	Host
108764	Null	Terrestrial
108765	Invasive	Terrestrial
108766	Invasive	Freshwater
108767	Invasive	Freshwater
108768	Invasive	Terrestrial
108769	Invasive	Terrestrial
108770	Null	Terrestrial
108771	Null	Terrestrial
108772	Null	Terrestrial
108773	Invasive	Host
108774	Null	Terrestrial
108775	Invasive	Terrestrial|Freshwater
108776	Null	Terrestrial
108777	Null	Terrestrial
108778	Null	Terrestrial
108779	Null	Terrestrial
108780	Null	Terrestrial
108781	Null	Terrestrial
108782	Null	Terrestrial|Freshwater
108783	Null	Terrestrial
108784	Invasive	Terrestrial
108785	Null	Terrestrial|Freshwater
108786	Null	Terrestrial
108787	Null	Terrestrial
108788	Null	Terrestrial
108789	Null	Terrestrial
108790	Null	Terrestrial
108791	Invasive	Freshwater
108792	Null	Terrestrial
108793	Null	Terrestrial
108794	Null	Terrestrial
108795	Null	Terrestrial
108796	Null	Terrestrial
108797	Null	Terrestrial
108798	Null	Terrestrial
108799	Null	Terrestrial
108800	Null	Terrestrial
108801	Null	Terrestrial
108802	Null	Terrestrial
108803	Null	Terrestrial
108804	Null	Terrestrial
108805	Null	Marine
108806	Invasive	Terrestrial
108807	Invasive	Host
108808	Invasive	Terrestrial
108809	Null	Terrestrial
108810	Null	Terrestrial
108811	Null	Terrestrial
108812	Null	Terrestrial
108813	Invasive	Terrestrial
108814	Null	Terrestrial
108815	Invasive	Terrestrial
108816	Invasive	Terrestrial
108817	Null	Host
108818	Null	Marine
108819	Null	Terrestrial
108820	Null	Terrestrial
108821	Invasive	Terrestrial
108822	Null	Terrestrial
108823	Null	Terrestrial
108824	Invasive	Terrestrial
108825	Null	Terrestrial
108826	Null	Brackish|Marine
108827	Invasive	Freshwater
108828	Invasive	Host
108829	Invasive	Freshwater
108830	Invasive	Freshwater
108831	Invasive	Terrestrial
108832	Invasive	Terrestrial|Freshwater
108833	Null	Terrestrial
108834	Invasive	Terrestrial
108835	Invasive	Terrestrial
108836	Null	Terrestrial
108837	Invasive	Marine
108838	Null	Terrestrial
108839	Null	Terrestrial
108840	Null	Terrestrial
108841	Invasive	Freshwater
108842	Null	Terrestrial
108843	Invasive	Freshwater|Brackish
108844	Invasive	Freshwater
108845	Invasive	Terrestrial
108846	Invasive	Terrestrial
108847	Null	Terrestrial
108848	Null	Terrestrial
108849	Null	Terrestrial
108850	Null	Terrestrial
108851	Null	Terrestrial
108852	Null	Terrestrial
108853	Null	Terrestrial
108854	Invasive	Freshwater
108855	Null	Terrestrial
108856	Null	Terrestrial
108857	Null	Terrestrial
108858	Null	Terrestrial
108859	Null	Terrestrial
108860	Null	Terrestrial
108861	Null	Terrestrial
108862	Null	Terrestrial
108863	Invasive	Terrestrial
108864	Null	Terrestrial
108865	Null	Terrestrial
108866	Invasive	Terrestrial
108867	Null	Terrestrial
108868	Null	Terrestrial
108869	Null	Terrestrial
108870	Null	Terrestrial
108871	Null	Terrestrial
108872	Null	Terrestrial
108873	Invasive	Terrestrial|Freshwater
108874	Invasive	Terrestrial|Freshwater
108875	Null	Terrestrial
108876	Invasive	Terrestrial
108877	Invasive	Terrestrial
108878	Null	Terrestrial
