id	locationID	countryCode	occurrenceStatus	establishmentMeans
108500	Sierra Leone	SL	Present	Alien
108501	Sierra Leone	SL	Present	Alien
108502	Sierra Leone	SL	Present	Alien
108503	Sierra Leone	SL	Present	Alien
108504	Sierra Leone	SL	Present	Alien
108505	Sierra Leone	SL	Present	Alien
108506	Sierra Leone	SL	Present	Alien
108507	Sierra Leone	SL	Present	Alien
108508	Sierra Leone	SL	Present	Alien
108509	Sierra Leone	SL	Present	Alien
108510	Sierra Leone	SL	Present	Alien
108511	Sierra Leone	SL	Present	Alien
108512	Sierra Leone	SL	Present	Alien
108513	Sierra Leone	SL	Present	Alien
108514	Sierra Leone	SL	Present	Alien
108515	Sierra Leone	SL	Present	Alien
108516	Sierra Leone	SL	Present	Alien
108517	Sierra Leone	SL	Present	Alien
108518	Sierra Leone	SL	Present	Alien
108519	Sierra Leone	SL	Present	Alien
108520	Sierra Leone	SL	Present	Alien
108521	Sierra Leone	SL	Present	Alien
108522	Sierra Leone	SL	Present	Alien
108523	Sierra Leone	SL	Present	Alien
108524	Sierra Leone	SL	Present	Alien
108525	Sierra Leone	SL	Present	Alien
108526	Sierra Leone	SL	Present	Alien
108527	Sierra Leone	SL	Present	Alien
108528	Sierra Leone	SL	Present	Alien
108529	Sierra Leone	SL	Present	Alien
108530	Sierra Leone	SL	Present	Alien
108531	Sierra Leone	SL	Present	Alien
108532	Sierra Leone	SL	Present	Alien
108533	Sierra Leone	SL	Present	Alien
108534	Sierra Leone	SL	Present	Alien
108535	Sierra Leone	SL	Present	Alien
108536	Sierra Leone	SL	Present	Alien
108537	Sierra Leone	SL	Present	Alien
108538	Sierra Leone	SL	Present	Alien
108539	Sierra Leone	SL	Present	Alien
108540	Sierra Leone	SL	Present	Alien
108541	Sierra Leone	SL	Present	Alien
108542	Sierra Leone	SL	Present	Alien
108543	Sierra Leone	SL	Present	Alien
108544	Sierra Leone	SL	Present	Alien
108545	Sierra Leone	SL	Present	Alien
108546	Sierra Leone	SL	Present	Alien
108547	Sierra Leone	SL	Present	Alien
108548	Sierra Leone	SL	Present	Alien
108549	Sierra Leone	SL	Present	Alien
108550	Sierra Leone	SL	Present	Alien
108551	Sierra Leone	SL	Present	Alien
108552	Sierra Leone	SL	Present	Alien
108553	Sierra Leone	SL	Present	Alien
108554	Sierra Leone	SL	Present	Alien
108555	Sierra Leone	SL	Present	Alien
108556	Sierra Leone	SL	Present	Alien
108557	Sierra Leone	SL	Present	Alien
108558	Sierra Leone	SL	Present	Alien
108559	Sierra Leone	SL	Present	Alien
108560	Sierra Leone	SL	Present	Alien
108561	Sierra Leone	SL	Present	Alien
108562	Sierra Leone	SL	Present	Alien
108563	Sierra Leone	SL	Present	Alien
108564	Sierra Leone	SL	Present	Alien
108565	Sierra Leone	SL	Present	Alien
108566	Sierra Leone	SL	Present	Alien
108567	Sierra Leone	SL	Present	Alien
108568	Sierra Leone	SL	Present	Alien
108569	Sierra Leone	SL	Present	Alien
108570	Sierra Leone	SL	Present	Alien
108571	Sierra Leone	SL	Present	Alien
108572	Sierra Leone	SL	Present	Alien
108573	Sierra Leone	SL	Present	Alien
108574	Sierra Leone	SL	Present	Alien
108575	Sierra Leone	SL	Present	Alien
108576	Sierra Leone	SL	Present	Alien
108577	Sierra Leone	SL	Present	Alien
108578	Sierra Leone	SL	Present	Alien
108579	Sierra Leone	SL	Present	Alien
108580	Sierra Leone	SL	Present	Alien
108581	Sierra Leone	SL	Present	Alien
108582	Sierra Leone	SL	Present	Alien
108583	Sierra Leone	SL	Present	Alien
108584	Sierra Leone	SL	Present	Alien
108585	Sierra Leone	SL	Present	Alien
108586	Sierra Leone	SL	Present	Alien
108587	Sierra Leone	SL	Present	Alien
108588	Sierra Leone	SL	Present	Alien
108589	Sierra Leone	SL	Present	Alien
108590	Sierra Leone	SL	Present	Alien
108591	Sierra Leone	SL	Present	Alien
108592	Sierra Leone	SL	Present	Alien
108593	Sierra Leone	SL	Present	Alien
108594	Sierra Leone	SL	Present	Alien
108595	Sierra Leone	SL	Present	Alien
108596	Sierra Leone	SL	Present	Alien
108597	Sierra Leone	SL	Present	Alien
108598	Sierra Leone	SL	Present	Alien
108599	Sierra Leone	SL	Present	Alien
108600	Sierra Leone	SL	Present	Alien
108601	Sierra Leone	SL	Present	Alien
108602	Sierra Leone	SL	Present	Alien
108603	Sierra Leone	SL	Present	Alien
108604	Sierra Leone	SL	Present	Alien
108605	Sierra Leone	SL	Present	Alien
108606	Sierra Leone	SL	Present	Alien
