id	isInvasive	habitat
12409	invasive	host
12446	invasive	marine
12480	invasive	marine
12481	invasive	marine
12498	invasive	marine
12499	invasive	marine
12457	invasive	terrestrial
12401	invasive	terrestrial
12402	invasive	terrestrial
12403	invasive	terrestrial
12406	invasive	terrestrial
12407	invasive	terrestrial
12408	invasive	terrestrial
12428	invasive	terrestrial
12410	invasive	terrestrial
12411	invasive	terrestrial
12412	invasive	terrestrial
12415	invasive	terrestrial
12417	invasive	terrestrial
12418	invasive	terrestrial
12419	invasive	terrestrial
12421	invasive	terrestrial
12422	invasive	terrestrial
12423	invasive	terrestrial
12424	invasive	terrestrial
12429	invasive	terrestrial
12432	invasive	terrestrial
12433	invasive	terrestrial
12436	invasive	terrestrial
12438	invasive	terrestrial
12439	invasive	terrestrial
12440	invasive	terrestrial
12441	invasive	terrestrial
12442	invasive	terrestrial
12443	invasive	terrestrial
12445	invasive	terrestrial
12448	invasive	terrestrial
12450	invasive	terrestrial
12451	invasive	terrestrial
12454	invasive	terrestrial
12456	invasive	terrestrial
12458	invasive	terrestrial
12472	invasive	terrestrial
12459	invasive	terrestrial
12465	invasive	terrestrial
12466	invasive	terrestrial
12467	invasive	terrestrial
12468	invasive	terrestrial
12469	invasive	terrestrial
12474	invasive	terrestrial
12475	invasive	terrestrial
12476	invasive	terrestrial
12478	invasive	terrestrial
12479	invasive	terrestrial
12482	invasive	terrestrial
12483	invasive	terrestrial
12485	invasive	terrestrial
12486	invasive	terrestrial
12487	invasive	terrestrial
12489	invasive	terrestrial
12490	invasive	terrestrial
12491	invasive	terrestrial
12492	invasive	terrestrial
12495	invasive	terrestrial
12496	invasive	terrestrial
12413	invasive	terrestrial
12501	invasive	terrestrial
12400	null	terrestrial
12404	null	terrestrial
12405	null	terrestrial
12416	null	terrestrial
12420	null	terrestrial
12425	null	terrestrial
12426	null	terrestrial
12427	null	terrestrial
12430	null	terrestrial
12434	null	terrestrial
12435	null	terrestrial
12444	null	terrestrial
12447	null	terrestrial
12449	null	terrestrial
12452	null	terrestrial
12453	null	terrestrial
12455	null	terrestrial
12460	null	terrestrial
12461	null	terrestrial
12462	null	terrestrial
12463	null	terrestrial
12464	null	terrestrial
12470	null	terrestrial
12471	null	terrestrial
12473	null	terrestrial
12477	null	terrestrial
12484	null	terrestrial
12488	null	terrestrial
12493	null	terrestrial
12494	null	terrestrial
12497	null	terrestrial
12500	null	terrestrial
12414	invasive	terrestrial|freshwater
12431	invasive	terrestrial|freshwater
12437	invasive	terrestrial|freshwater
