id	isInvasive	habitat
93100	Null	Terrestrial
93101	Invasive	Terrestrial
93102	Null	Terrestrial
93103	Null	Terrestrial
93104	Null	Terrestrial
93105	Null	Terrestrial
93106	Null	Terrestrial
93107	Null	Terrestrial
93108	Null	Terrestrial
93109	Invasive	Terrestrial
93110	Null	Terrestrial
93111	Null	Terrestrial
93112	Null	Terrestrial
93113	Null	Terrestrial
93114	Null	Terrestrial
93115	Null	Terrestrial
93116	Null	Terrestrial
93117	Null	Terrestrial
93118	Null	Terrestrial
93119	Null	Terrestrial
93120	Null	Terrestrial
93121	Null	Terrestrial
93122	Invasive	Terrestrial
93123	Invasive	Host
93124	Null	Terrestrial
93125	Null	Terrestrial
93126	Null	Terrestrial
93127	Null	Host
93128	Null	Terrestrial
93129	Null	Terrestrial
93130	Null	Terrestrial
93131	Null	Terrestrial
93132	Null	Terrestrial
93133	Invasive	Terrestrial
93134	Null	Terrestrial
93135	Null	Terrestrial
93136	Null	Terrestrial
93137	Invasive	Terrestrial
93138	Invasive	Terrestrial
93139	Null	Terrestrial
93140	Null	Terrestrial
93141	Null	Terrestrial
93142	Null	Terrestrial
93143	Invasive	Terrestrial
93144	Null	Terrestrial
93145	Null	Terrestrial
93146	Null	Terrestrial
93147	Null	Terrestrial
93148	Null	Terrestrial
93149	Invasive	Terrestrial
93150	Null	Terrestrial
93151	Null	Terrestrial
93152	Null	Terrestrial
93153	Null	Terrestrial
93154	Null	Terrestrial
93155	Null	Terrestrial
93156	Invasive	Host
93157	Invasive	Terrestrial
93158	Null	Terrestrial
93159	Null	Terrestrial
