id	isInvasive	habitat
9219	null	terrestrial
9220	null	terrestrial
9221	null	terrestrial
9222	null	terrestrial
9223	invasive	terrestrial
9224	null	terrestrial
9225	invasive	terrestrial
9226	invasive	terrestrial
9227	invasive	terrestrial
9228	invasive	terrestrial
9229	null	terrestrial
9230	null	terrestrial
9231	null	terrestrial
9232	invasive	terrestrial
9233	invasive	terrestrial
9234	invasive	terrestrial
9235	invasive	terrestrial
9236	invasive	terrestrial
9237	invasive	terrestrial
9238	invasive	terrestrial
9239	invasive	terrestrial
9240	null	terrestrial
9241	null	terrestrial
9242	null	terrestrial
9243	null	terrestrial
9244	null	terrestrial
9245	null	terrestrial
9246	null	terrestrial
9247	null	host
9248	null	marine
9249	null	terrestrial
9250	invasive	terrestrial
9251	null	terrestrial
9252	null	terrestrial
9253	null	terrestrial
9254	null	terrestrial
9255	null	terrestrial
9256	invasive	terrestrial
9257	null	terrestrial
9258	null	terrestrial
9259	null	terrestrial
9260	null	terrestrial
9261	null	terrestrial
9262	null	terrestrial
9263	null	terrestrial
9264	null	terrestrial
9265	null	terrestrial
9266	null	terrestrial
9267	null	terrestrial|freshwater
9268	null	terrestrial
9269	null	terrestrial
9270	null	terrestrial
9271	null	terrestrial
9272	null	terrestrial
9273	null	terrestrial
9274	null	terrestrial
9275	null	terrestrial
9276	null	terrestrial
9277	null	terrestrial
9278	null	terrestrial
9279	null	terrestrial
9280	null	terrestrial
9281	null	freshwater
9282	invasive	terrestrial
9283	null	terrestrial
9284	null	terrestrial|freshwater
9285	null	terrestrial|freshwater
9286	invasive	terrestrial
9287	null	terrestrial
9288	null	terrestrial
9289	null	terrestrial
9290	null	terrestrial
9291	null	terrestrial
9292	null	terrestrial
9293	null	terrestrial
9294	invasive	terrestrial|freshwater
9295	null	terrestrial
9296	null	terrestrial
9297	invasive	terrestrial
9298	invasive	terrestrial
9299	null	terrestrial
9300	null	terrestrial
9301	null	terrestrial
9302	null	terrestrial
9303	null	terrestrial
9304	null	terrestrial
9305	invasive	terrestrial
9306	null	terrestrial
9307	invasive	terrestrial
9308	null	terrestrial
9309	invasive	terrestrial
9310	invasive	terrestrial
9311	null	terrestrial
9312	null	terrestrial
9313	null	terrestrial
9314	invasive	terrestrial
9315	null	terrestrial
9316	null	terrestrial
9317	null	terrestrial
9318	null	terrestrial
9319	null	terrestrial
9320	null	terrestrial
9321	invasive	terrestrial
9322	null	terrestrial
9323	null	terrestrial
9324	invasive	terrestrial
9325	null	terrestrial
9326	invasive	terrestrial
9327	invasive	terrestrial
9328	invasive	terrestrial
9329	invasive	terrestrial
9330	null	terrestrial
9331	null	terrestrial
9332	null	terrestrial
9333	null	terrestrial
9334	invasive	terrestrial
9335	null	terrestrial
9336	null	terrestrial
9337	null	terrestrial
9338	null	terrestrial
9339	null	terrestrial
9340	invasive	terrestrial
9341	null	terrestrial
9342	null	terrestrial
9343	null	terrestrial
9344	null	terrestrial
9345	invasive	terrestrial
9346	invasive	terrestrial
9347	invasive	terrestrial
9348	null	terrestrial
9349	null	terrestrial
9350	null	terrestrial
9351	null	marine
9352	invasive	marine
9353	null	terrestrial
9354	invasive	terrestrial
9355	null	freshwater
9356	null	terrestrial
9357	null	terrestrial
9358	null	terrestrial
9359	null	terrestrial
9360	invasive	terrestrial
9361	null	terrestrial
9362	null	terrestrial
9363	null	terrestrial
9364	null	terrestrial
9365	null	terrestrial
9366	null	terrestrial
9367	null	terrestrial
9368	null	terrestrial
9369	null	terrestrial
9370	null	terrestrial
9371	null	terrestrial
9372	null	terrestrial
9373	null	terrestrial
9374	null	terrestrial
9375	invasive	terrestrial
9376	null	terrestrial
9377	null	terrestrial
9378	null	terrestrial
9379	null	terrestrial
9380	null	terrestrial
9381	null	terrestrial
9382	null	terrestrial
9383	null	terrestrial
9384	null	terrestrial
9385	null	terrestrial
9386	null	terrestrial
9387	invasive	terrestrial
9388	null	terrestrial
9389	null	terrestrial
9390	null	terrestrial
9391	null	marine
9392	null	terrestrial
9393	null	marine
9394	null	brackish|marine
9395	null	terrestrial
9396	null	terrestrial
9397	null	terrestrial
9398	null	terrestrial
9399	null	terrestrial
9400	null	terrestrial
9401	null	terrestrial
9402	null	terrestrial
9403	null	terrestrial
9404	null	terrestrial
9405	null	terrestrial
9406	null	terrestrial|freshwater
9407	null	terrestrial
9408	null	terrestrial
9409	null	terrestrial
9410	null	terrestrial
9411	null	terrestrial
9412	invasive	terrestrial
9413	null	terrestrial
9414	null	terrestrial
9415	null	terrestrial
9416	null	marine
9417	null	terrestrial
9418	null	terrestrial
9419	null	terrestrial
9420	null	terrestrial
9421	null	terrestrial
9422	null	terrestrial
9423	null	terrestrial
9424	null	marine
9425	null	terrestrial
9426	null	terrestrial
9427	null	terrestrial
9428	null	terrestrial
9429	null	terrestrial
9430	null	freshwater
9431	null	marine
9432	null	terrestrial
9433	null	terrestrial
9434	null	terrestrial
9435	null	terrestrial
9436	null	terrestrial
9437	null	terrestrial
9438	invasive	terrestrial
9439	null	terrestrial
9440	invasive	terrestrial
9441	null	terrestrial
9442	null	terrestrial
9443	null	terrestrial
9444	null	terrestrial
9445	invasive	terrestrial
9446	invasive	terrestrial
9447	null	terrestrial|freshwater
9448	null	terrestrial
9449	null	terrestrial
9450	invasive	terrestrial
9451	null	terrestrial
9452	null	terrestrial
9453	null	terrestrial
9454	null	terrestrial
9455	invasive	terrestrial
9456	null	marine
9457	null	marine
9458	null	terrestrial
9459	null	marine
9460	null	marine
9461	null	terrestrial
9462	null	terrestrial
9463	null	terrestrial
9464	null	terrestrial
9465	null	terrestrial
9466	null	terrestrial
9467	null	terrestrial
9468	null	terrestrial
9469	null	terrestrial
9470	null	terrestrial
9471	invasive	terrestrial
9472	null	terrestrial
9473	null	terrestrial
9474	invasive	terrestrial
9475	null	terrestrial
9476	null	terrestrial
9477	null	terrestrial
9478	null	terrestrial
9479	null	terrestrial
9480	null	terrestrial
9481	null	terrestrial
9482	null	terrestrial
9483	null	terrestrial
9484	null	terrestrial
9485	null	terrestrial
9486	null	terrestrial
9487	null	freshwater
9488	invasive	freshwater
9489	invasive	freshwater
9490	invasive	freshwater
9491	null	terrestrial
9492	null	host
9493	null	terrestrial
9494	invasive	marine
9495	invasive	terrestrial
9496	null	terrestrial
9497	null	terrestrial
9498	null	marine
9499	null	marine
9500	null	terrestrial
9501	null	terrestrial
9502	null	terrestrial
9503	invasive	terrestrial
9504	null	terrestrial
9505	null	terrestrial
9506	null	terrestrial
9507	null	terrestrial
9508	null	terrestrial
9509	null	terrestrial
9510	null	terrestrial
9511	invasive	terrestrial
9512	null	terrestrial
9513	null	terrestrial
9514	null	terrestrial
9515	null	terrestrial
9516	null	terrestrial
9517	null	terrestrial
9518	null	terrestrial
9519	null	terrestrial
9520	null	terrestrial
9521	null	terrestrial
9522	null	terrestrial
9523	null	terrestrial
9524	null	terrestrial
9525	null	host
9526	null	terrestrial
9527	null	terrestrial
9528	null	terrestrial
9529	null	terrestrial
9530	null	terrestrial
9531	null	terrestrial
9532	invasive	marine
9533	null	terrestrial
9534	null	terrestrial
9535	null	terrestrial
9536	null	terrestrial
9537	null	terrestrial
9538	invasive	terrestrial
9539	null	terrestrial
9540	null	terrestrial
9541	null	host
9542	null	marine
9543	null	terrestrial
9544	null	terrestrial
9545	null	terrestrial
9546	null	terrestrial
9547	null	terrestrial
9548	null	terrestrial
9549	null	terrestrial
9550	null	terrestrial
9551	null	terrestrial
9552	null	terrestrial
9553	null	terrestrial
9554	null	terrestrial
9555	null	terrestrial
9556	null	terrestrial
9557	null	terrestrial
9558	null	terrestrial
9559	null	terrestrial
9560	null	terrestrial
9561	null	terrestrial
9562	null	terrestrial
9563	null	terrestrial
9564	null	terrestrial
9565	null	terrestrial
9566	null	terrestrial
9567	null	terrestrial
9568	null	terrestrial
9569	null	terrestrial
9570	null	terrestrial
9571	null	terrestrial
9572	null	terrestrial
9573	null	terrestrial
9574	null	terrestrial
9575	null	terrestrial
9576	null	terrestrial
9577	null	terrestrial
9578	null	terrestrial
9579	null	terrestrial
9580	invasive	terrestrial
9581	null	terrestrial
9582	null	terrestrial
9583	null	terrestrial
9584	null	terrestrial
9585	null	terrestrial
9586	invasive	terrestrial
9587	null	terrestrial
9588	null	marine
9589	null	marine
9590	null	marine
9591	null	terrestrial
9592	null	freshwater
9593	null	terrestrial
9594	invasive	terrestrial
9595	invasive	terrestrial
9596	null	terrestrial
9597	null	marine
9598	null	terrestrial
9599	null	terrestrial
9600	null	terrestrial
9601	null	terrestrial
9602	null	terrestrial
9603	null	terrestrial
9604	null	terrestrial
9605	invasive	terrestrial
9606	null	terrestrial
9607	null	terrestrial
9608	null	terrestrial
9609	null	terrestrial
9610	null	terrestrial
9611	null	terrestrial
9612	null	terrestrial
9613	invasive	terrestrial
9614	null	terrestrial
9615	null	terrestrial
9616	null	terrestrial
9617	null	terrestrial
9618	invasive	terrestrial
9619	null	terrestrial
9620	invasive	terrestrial
9621	null	terrestrial
9622	null	terrestrial
9623	invasive	terrestrial
9624	null	terrestrial
9625	null	terrestrial
9626	null	marine
9627	null	marine
9628	null	marine
9629	null	terrestrial
9630	invasive	freshwater
9631	null	terrestrial
9632	null	marine
9633	null	terrestrial
9634	null	terrestrial
9635	null	terrestrial
9636	invasive	terrestrial
9637	null	terrestrial
9638	null	terrestrial
9639	invasive	terrestrial
9640	null	terrestrial
9641	null	terrestrial|freshwater
9642	null	terrestrial|freshwater
9643	null	terrestrial|freshwater
9644	null	terrestrial|freshwater
9645	null	terrestrial
9646	null	terrestrial
9647	null	terrestrial
9648	null	terrestrial
9649	null	terrestrial
9650	invasive	terrestrial
9651	null	terrestrial
9652	null	terrestrial
9653	null	terrestrial
9654	null	terrestrial
9655	invasive	terrestrial
9656	invasive	terrestrial
9657	null	terrestrial
9658	invasive	terrestrial
9659	null	marine
9660	null	terrestrial
9661	null	terrestrial
9662	null	terrestrial
9663	null	terrestrial
9664	null	terrestrial
9665	null	terrestrial
9666	null	terrestrial
9667	null	terrestrial
9668	null	terrestrial
9669	null	terrestrial
9670	null	terrestrial
9671	null	terrestrial
9672	null	terrestrial
9673	null	terrestrial
9674	null	terrestrial
9675	null	terrestrial
9676	null	terrestrial
9677	null	terrestrial
9678	invasive	terrestrial
9679	null	marine
9680	null	terrestrial
9681	null	terrestrial
9682	null	terrestrial
9683	null	terrestrial
9684	null	terrestrial
