id	locality	countryCode	occurrenceStatus	establishmentMeans	pathway	eventDate
15000	Svalbard	NO	Present	Alien	Unaided: natural dispersal across borders of invasive alien organisms	NA
15001	Svalbard	NO	Present	Alien	Transport - Contaminant: contaminated bait	1897
15002	Svalbard	NO	Present	Alien	Transport - Contaminant: contaminant on plants (except parasites, species transported by host/vector)	1897
15003	Svalbard	NO	Present	Alien	Transport - Contaminant: contaminated bait	1957
15004	Svalbard	NO	Present	Alien	Transport - stowaway: people and their luggage/equipment (in particular tourism)	1957
15005	Svalbard	NO	Present	Alien	Transport - Contaminant: contaminated bait	1939
15006	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15007	Svalbard	NO	Present	Alien	Corridors: interconnected waterways/basins/seas	NA
15008	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat ballast water	NA
15009	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15010	Svalbard	NO	Present	Alien	Transport - Contaminant: contaminated bait	NA
15011	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15012	Svalbard	NO	Present	Alien	Corridors: interconnected waterways/basins/seas	NA
15013	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15014	Svalbard	NO	Present	Alien	Corridors: interconnected waterways/basins/seas	NA
15015	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15016	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat ballast water	NA
15017	Svalbard	NO	Present	Alien	Transport - stowaway: other means of transport	NA
15018	Svalbard	NO	Present	Alien	Transport - stowaway: organic packing material, in particular wood packaging	NA
15019	Svalbard	NO	Present	Alien	Corridors: interconnected waterways/basins/seas	NA
15020	Svalbard	NO	Present	Alien	Transport - Contaminant: contaminated bait	1935
15021	Svalbard	NO	Present	Alien	Transport - Contaminant: contaminant on plants (except parasites, species transported by host/vector)	1935
15022	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15023	Svalbard	NO	Present	Alien	Corridors: interconnected waterways/basins/seas	NA
15024	Svalbard	NO	Present	Alien	Unaided: natural dispersal across borders of invasive alien organisms	NA
15025	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat ballast water	NA
15026	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat ballast water	1999
15027	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	1999
15028	Svalbard	NO	Present	Alien	Corridors: interconnected waterways/basins/seas	1999
15029	Svalbard	NO	Present	Alien	Transport - Contaminant: contaminated bait	1920
15030	Svalbard	NO	Present	Alien	Transport - stowaway: other means of transport	1920
15031	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat ballast water	NA
15032	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15033	Svalbard	NO	Present	Alien	Corridors: interconnected waterways/basins/seas	NA
15034	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat ballast water	NA
15035	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15036	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15037	Svalbard	NO	Present	Alien	Corridors: interconnected waterways/basins/seas	NA
15038	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat ballast water	NA
15039	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15040	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15041	Svalbard	NO	Present	Alien	Transport - Contaminant: contaminated bait	1923
15042	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
15043	Svalbard	NO	Present	Alien	Corridors: interconnected waterways/basins/seas	NA
15044	Svalbard	NO	Present	Alien	Transport - stowaway: ship/boat hull fouling	NA
