id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	taxonomicStatus	modified
15000	15000	Acartia tonsa Dana, 1849		Animalia	Arthropoda	Copepoda	Calanoida	Acartiidae	SPECIES	ACCEPTED	2023
15001	15001	Achillea millefolium L.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED	2023
15002	15002	Achillea millefolium L.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	SPECIES	ACCEPTED	2023
15003	15003	Alchemilla subcrenata Buser		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	SPECIES	ACCEPTED	2023
15004	15004	Alchemilla subcrenata Buser		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	SPECIES	ACCEPTED	2023
15005	15005	Alchemilla wichurae (Buser) Stefansson		Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	SPECIES	ACCEPTED	2023
15006	15006	Alcyonium digitatum Linnaeus, 1758		Animalia	Cnidaria	Anthozoa	Malacalcyonacea	Alcyoniidae	SPECIES	ACCEPTED	2023
15007	15007	Alcyonium digitatum Linnaeus, 1758		Animalia	Cnidaria	Anthozoa	Malacalcyonacea	Alcyoniidae	SPECIES	ACCEPTED	2023
15008	15008	Amphibalanus improvisus (Darwin, 1854)		Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	SPECIES	ACCEPTED	2023
15009	15009	Amphibalanus improvisus (Darwin, 1854)		Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	SPECIES	ACCEPTED	2023
15010	15010	Anthriscus sylvestris (L.) Hoffm.		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	SPECIES	ACCEPTED	2023
15011	15011	Ascidiella aspersa (Müller, 1776)		Animalia	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	SPECIES	ACCEPTED	2023
15012	15012	Ascidiella aspersa (Müller, 1776)		Animalia	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	SPECIES	ACCEPTED	2023
15013	15013	Ascidiella scabra (Müller, 1776)		Animalia	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	SPECIES	ACCEPTED	2023
15014	15014	Ascidiella scabra (Müller, 1776)		Animalia	Chordata	Ascidiacea	Phlebobranchia	Ascidiidae	SPECIES	ACCEPTED	2023
15015	15015	Austrominius modestus (Darwin, 1854)		Animalia	Arthropoda			Elminiidae	SPECIES	ACCEPTED	2023
15016	15016	Austrominius modestus (Darwin, 1854)		Animalia	Arthropoda			Elminiidae	SPECIES	ACCEPTED	2023
15017	15017	Austrominius modestus (Darwin, 1854)		Animalia	Arthropoda			Elminiidae	SPECIES	ACCEPTED	2023
15018	15018	Austrominius modestus (Darwin, 1854)		Animalia	Arthropoda			Elminiidae	SPECIES	ACCEPTED	2023
15019	15019	Austrominius modestus (Darwin, 1854)		Animalia	Arthropoda			Elminiidae	SPECIES	ACCEPTED	2023
15020	15020	Barbarea vulgaris (L.) W.T.Aiton		Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	SPECIES	ACCEPTED	2023
15021	15021	Barbarea vulgaris (L.) W.T.Aiton		Plantae	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	SPECIES	ACCEPTED	2023
15022	15022	Botrylloides violaceus Oka, 1927		Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	SPECIES	ACCEPTED	2023
15023	15023	Botrylloides violaceus Oka, 1927		Animalia	Chordata	Ascidiacea	Stolidobranchia	Styelidae	SPECIES	ACCEPTED	2023
15024	15024	Cancer pagurus Linnaeus, 1758		Animalia	Arthropoda	Malacostraca	Decapoda	Cancridae	SPECIES	ACCEPTED	2023
15025	15025	Cancer pagurus Linnaeus, 1758		Animalia	Arthropoda	Malacostraca	Decapoda	Cancridae	SPECIES	ACCEPTED	2023
15026	15026	Caprella mutica Schurin, 1935		Animalia	Arthropoda	Malacostraca	Amphipoda	Caprellidae	SPECIES	ACCEPTED	2023
