id	isInvasive	habitat
184500	Invasive	Terrestrial
184501	Null	Terrestrial
184502	Null	Terrestrial
184503	Null	Terrestrial
184504	Null	Terrestrial
184505	Null	Terrestrial
184506	Null	Terrestrial
184507	Null	Terrestrial
184508	Null	Terrestrial
184509	Null	Terrestrial
184510	Null	Terrestrial
184511	Invasive	Terrestrial
184512	Invasive	Terrestrial
184513	Null	Terrestrial
184514	Null	Terrestrial
184515	Null	Terrestrial
184516	Null	Terrestrial
184517	Invasive	Terrestrial
184518	Null	Terrestrial
184519	Null	Terrestrial
184520	Null	Terrestrial
184521	Null	Terrestrial
184522	Null	Terrestrial
184523	Null	Terrestrial
184524	Null	Terrestrial
184525	Null	Terrestrial
184526	Null	Terrestrial
184527	Null	Freshwater|Brackish|Marine
184528	Null	Freshwater|Brackish|Marine
184529	Invasive	Terrestrial
184530	Invasive	Terrestrial
184531	Null	Terrestrial
184532	Null	Terrestrial
184533	Null	Terrestrial
184534	Null	Terrestrial
184535	Null	Terrestrial
184536	Null	Terrestrial
184537	Null	Terrestrial
184538	Null	Terrestrial
184539	Null	Terrestrial
184540	Null	Terrestrial
184541	Null	Terrestrial
184542	Null	Terrestrial
184543	Null	Terrestrial
184544	Null	Host
184545	Invasive	Host
184546	Null	Host
184547	Invasive	Host
184548	Null	Host
184549	Invasive	Host
184550	Invasive	Host
184551	Invasive	Terrestrial
184552	Null	Terrestrial
184553	Null	Terrestrial
184554	Invasive	Terrestrial
184555	Invasive	Host
184556	Null	Terrestrial
184557	Null	Terrestrial
184558	Invasive	Terrestrial
184559	Null	Terrestrial
184560	Null	Terrestrial
184561	Null	Marine
184562	Null	Terrestrial
184563	Null	Terrestrial
184564	Null	Terrestrial
184565	Null	Terrestrial
184566	Null	Terrestrial
184567	Null	Terrestrial
184568	Null	Terrestrial
184569	Null	Terrestrial
184570	Null	Terrestrial
184571	Null	Terrestrial
184572	Null	Terrestrial|Freshwater|Marine
184573	Null	Terrestrial|Freshwater|Marine
184574	Null	Terrestrial
184575	Null	Terrestrial
184576	Null	Terrestrial
184577	Null	Terrestrial
184578	Null	Terrestrial
184579	Null	Terrestrial
184580	Null	Terrestrial
184581	Invasive	Terrestrial
184582	Null	Terrestrial
184583	Null	Terrestrial
184584	Null	Terrestrial
184585	Null	Terrestrial
184586	Null	Terrestrial
184587	Null	Terrestrial
184588	Null	Terrestrial
184589	Invasive	Marine
184590	Null	Freshwater|Marine
184591	Null	Terrestrial
184592	Null	Terrestrial
184593	Null	Terrestrial
184594	Null	Terrestrial
184595	Null	Terrestrial
184596	Null	Terrestrial
184597	Null	Terrestrial
184598	Null	Terrestrial
184599	Null	Terrestrial
184600	Null	Terrestrial
184601	Invasive	Terrestrial
184602	Null	Terrestrial
184603	Null	Terrestrial
184604	Null	Terrestrial
184605	Null	Terrestrial
184606	Null	Terrestrial
184607	Null	Terrestrial
184608	Null	Terrestrial
184609	Null	Terrestrial
184610	Null	Terrestrial
184611	Invasive	Terrestrial|Freshwater|Marine
184612	Null	Terrestrial
184613	Null	Terrestrial
184614	Null	Terrestrial
184615	Null	Terrestrial
184616	Null	Terrestrial
184617	Null	Terrestrial
184618	Null	Terrestrial
184619	Null	Terrestrial
184620	Null	Terrestrial
184621	Null	Terrestrial
184622	Null	Terrestrial
184623	Null	Terrestrial
184624	Null	Terrestrial
184625	Null	Terrestrial
184626	Null	Terrestrial
184627	Null	Terrestrial
184628	Null	Terrestrial
184629	Null	Terrestrial
184630	Null	Terrestrial
