id	locationID	countryCode	occurrenceStatus	establishmentMeans
90700	Syrian Arab Republic	SY	Present	Alien
90701	Syrian Arab Republic	SY	Present	Alien
90702	Syrian Arab Republic	SY	Present	Alien
90703	Syrian Arab Republic	SY	Present	Alien
90704	Syrian Arab Republic	SY	Present	Alien
90705	Syrian Arab Republic	SY	Present	Alien
90706	Syrian Arab Republic	SY	Present	Alien
90707	Syrian Arab Republic	SY	Present	Alien
90708	Syrian Arab Republic	SY	Present	Alien
90709	Syrian Arab Republic	SY	Present	Alien
90710	Syrian Arab Republic	SY	Present	Alien
90711	Syrian Arab Republic	SY	Present	Alien
90712	Syrian Arab Republic	SY	Present	Alien
90713	Syrian Arab Republic	SY	Present	Cryptogenic|Uncertain
90714	Syrian Arab Republic	SY	Present	Alien
90715	Syrian Arab Republic	SY	Present	Alien
90716	Syrian Arab Republic	SY	Present	Alien
90717	Syrian Arab Republic	SY	Present	Alien
90718	Syrian Arab Republic	SY	Present	Alien
90719	Syrian Arab Republic	SY	Present	Alien
90720	Syrian Arab Republic	SY	Present	Alien
90721	Syrian Arab Republic	SY	Present	Alien
90722	Syrian Arab Republic	SY	Present	Alien
90723	Syrian Arab Republic	SY	Present	Cryptogenic|Uncertain
90724	Syrian Arab Republic	SY	Present	Alien
90725	Syrian Arab Republic	SY	Present	Alien
90726	Syrian Arab Republic	SY	Present	Alien
90727	Syrian Arab Republic	SY	Present	Cryptogenic|Uncertain
90728	Syrian Arab Republic	SY	Present	Alien
90729	Syrian Arab Republic	SY	Present	Alien
90730	Syrian Arab Republic	SY	Present	Alien
90731	Syrian Arab Republic	SY	Present	Alien
90732	Syrian Arab Republic	SY	Present	Alien
90733	Syrian Arab Republic	SY	Present	Alien
90734	Syrian Arab Republic	SY	Present	Alien
90735	Syrian Arab Republic	SY	Present	Cryptogenic|Uncertain
90736	Syrian Arab Republic	SY	Present	Cryptogenic|Uncertain
90737	Syrian Arab Republic	SY	Present	Alien
90738	Syrian Arab Republic	SY	Present	Alien
90739	Syrian Arab Republic	SY	Present	Alien
90740	Syrian Arab Republic	SY	Present	Alien
90741	Syrian Arab Republic	SY	Present	Alien
90742	Syrian Arab Republic	SY	Present	Alien
90743	Syrian Arab Republic	SY	Present	Alien
90744	Syrian Arab Republic	SY	Present	Alien
90745	Syrian Arab Republic	SY	Present	Alien
90746	Syrian Arab Republic	SY	Present	Alien
90747	Syrian Arab Republic	SY	Present	Alien
90748	Syrian Arab Republic	SY	Present	Alien
90749	Syrian Arab Republic	SY	Present	Alien
90750	Syrian Arab Republic	SY	Present	Alien
90751	Syrian Arab Republic	SY	Present	Alien
90752	Syrian Arab Republic	SY	Present	Alien
90753	Syrian Arab Republic	SY	Present	Alien
90754	Syrian Arab Republic	SY	Present	Alien
90755	Syrian Arab Republic	SY	Present	Alien
90756	Syrian Arab Republic	SY	Present	Alien
90757	Syrian Arab Republic	SY	Present	Alien
90758	Syrian Arab Republic	SY	Present	Alien
90759	Syrian Arab Republic	SY	Present	Alien
90760	Syrian Arab Republic	SY	Present	Alien
90761	Syrian Arab Republic	SY	Present	Alien
90762	Syrian Arab Republic	SY	Present	Alien
90763	Syrian Arab Republic	SY	Present	Alien
90764	Syrian Arab Republic	SY	Present	Alien
90765	Syrian Arab Republic	SY	Present	Alien
90766	Syrian Arab Republic	SY	Present	Cryptogenic|Uncertain
90767	Syrian Arab Republic	SY	Present	Alien
90768	Syrian Arab Republic	SY	Present	Alien
90769	Syrian Arab Republic	SY	Present	Alien
90770	Syrian Arab Republic	SY	Present	Alien
90771	Syrian Arab Republic	SY	Present	Alien
90772	Syrian Arab Republic	SY	Present	Alien
90773	Syrian Arab Republic	SY	Present	Alien
90774	Syrian Arab Republic	SY	Present	Alien
90775	Syrian Arab Republic	SY	Present	Alien
90776	Syrian Arab Republic	SY	Present	Alien
90777	Syrian Arab Republic	SY	Present	Alien
90778	Syrian Arab Republic	SY	Present	Alien
90779	Syrian Arab Republic	SY	Present	Alien
90780	Syrian Arab Republic	SY	Present	Alien
90781	Syrian Arab Republic	SY	Present	Alien
90782	Syrian Arab Republic	SY	Present	Alien
90783	Syrian Arab Republic	SY	Present	Alien
90784	Syrian Arab Republic	SY	Present	Alien
90785	Syrian Arab Republic	SY	Present	Alien
90786	Syrian Arab Republic	SY	Present	Alien
90787	Syrian Arab Republic	SY	Present	Alien
90788	Syrian Arab Republic	SY	Present	Alien
90789	Syrian Arab Republic	SY	Present	Alien
90790	Syrian Arab Republic	SY	Present	Alien
90791	Syrian Arab Republic	SY	Present	Alien
90792	Syrian Arab Republic	SY	Present	Alien
90793	Syrian Arab Republic	SY	Present	Alien
90794	Syrian Arab Republic	SY	Present	Alien
90795	Syrian Arab Republic	SY	Present	Alien
90796	Syrian Arab Republic	SY	Present	Alien
90797	Syrian Arab Republic	SY	Present	Alien
90798	Syrian Arab Republic	SY	Present	Alien
90799	Syrian Arab Republic	SY	Present	Alien
90800	Syrian Arab Republic	SY	Present	Alien
90801	Syrian Arab Republic	SY	Present	Alien
90802	Syrian Arab Republic	SY	Present	Alien
90803	Syrian Arab Republic	SY	Present	Alien
90804	Syrian Arab Republic	SY	Present	Alien
90805	Syrian Arab Republic	SY	Present	Cryptogenic|Uncertain
90806	Syrian Arab Republic	SY	Present	Alien
90807	Syrian Arab Republic	SY	Present	Alien
90808	Syrian Arab Republic	SY	Present	Alien
90809	Syrian Arab Republic	SY	Present	Alien
90810	Syrian Arab Republic	SY	Present	Alien
90811	Syrian Arab Republic	SY	Present	Alien
90812	Syrian Arab Republic	SY	Present	Alien
90813	Syrian Arab Republic	SY	Present	Alien
90814	Syrian Arab Republic	SY	Present	Alien
90815	Syrian Arab Republic	SY	Present	Alien
90816	Syrian Arab Republic	SY	Present	Alien
90817	Syrian Arab Republic	SY	Present	Alien
90818	Syrian Arab Republic	SY	Present	Alien
90819	Syrian Arab Republic	SY	Present	Alien
90820	Syrian Arab Republic	SY	Present	Alien
90821	Syrian Arab Republic	SY	Present	Alien
90822	Syrian Arab Republic	SY	Present	Alien
90823	Syrian Arab Republic	SY	Present	Cryptogenic|Uncertain
90824	Syrian Arab Republic	SY	Present	Cryptogenic|Uncertain
90825	Syrian Arab Republic	SY	Present	Alien
90826	Syrian Arab Republic	SY	Present	Alien
90827	Syrian Arab Republic	SY	Present	Alien
90828	Syrian Arab Republic	SY	Present	Alien
90829	Syrian Arab Republic	SY	Present	Alien
90830	Syrian Arab Republic	SY	Present	Alien
90831	Syrian Arab Republic	SY	Present	Alien
90832	Syrian Arab Republic	SY	Present	Alien
90833	Syrian Arab Republic	SY	Present	Alien
90834	Syrian Arab Republic	SY	Present	Alien
90835	Syrian Arab Republic	SY	Present	Alien
90836	Syrian Arab Republic	SY	Present	Alien
90837	Syrian Arab Republic	SY	Present	Alien
