id	locationID	countryCode	occurrenceStatus	establishmentMeans
108100	Togo	TG	Present	Alien
108101	Togo	TG	Present	Alien
108102	Togo	TG	Present	Alien
108103	Togo	TG	Present	Alien
108104	Togo	TG	Present	Alien
108105	Togo	TG	Present	Alien
108106	Togo	TG	Present	Alien
108107	Togo	TG	Present	Alien
108108	Togo	TG	Present	Alien
108109	Togo	TG	Present	Alien
108110	Togo	TG	Present	Alien
108111	Togo	TG	Present	Alien
108112	Togo	TG	Present	Alien
108113	Togo	TG	Present	Alien
108114	Togo	TG	Present	Alien
108115	Togo	TG	Present	Alien
108116	Togo	TG	Present	Alien
108117	Togo	TG	Present	Alien
108118	Togo	TG	Present	Alien
108119	Togo	TG	Present	Alien
108120	Togo	TG	Present	Alien
108121	Togo	TG	Present	Alien
108122	Togo	TG	Present	Alien
108123	Togo	TG	Present	Alien
108124	Togo	TG	Present	Alien
108125	Togo	TG	Present	Alien
108126	Togo	TG	Present	Alien
108127	Togo	TG	Present	Alien
108128	Togo	TG	Present	Alien
108129	Togo	TG	Present	Alien
108130	Togo	TG	Present	Alien
108131	Togo	TG	Present	Alien
108132	Togo	TG	Present	Alien
108133	Togo	TG	Present	Alien
108134	Togo	TG	Present	Alien
108135	Togo	TG	Present	Alien
108136	Togo	TG	Present	Alien
108137	Togo	TG	Present	Alien
108138	Togo	TG	Present	Alien
108139	Togo	TG	Present	Alien
108140	Togo	TG	Present	Alien
108141	Togo	TG	Present	Alien
108142	Togo	TG	Present	Alien
108143	Togo	TG	Present	Alien
108144	Togo	TG	Present	Alien
108145	Togo	TG	Present	Alien
108146	Togo	TG	Present	Alien
108147	Togo	TG	Present	Alien
108148	Togo	TG	Present	Alien
108149	Togo	TG	Present	Alien
108150	Togo	TG	Present	Alien
108151	Togo	TG	Present	Alien
108152	Togo	TG	Present	Alien
108153	Togo	TG	Present	Alien
108154	Togo	TG	Present	Alien
108155	Togo	TG	Present	Alien
108156	Togo	TG	Present	Alien
108157	Togo	TG	Present	Alien
108158	Togo	TG	Present	Alien
108159	Togo	TG	Present	Alien
108160	Togo	TG	Present	Alien
108161	Togo	TG	Present	Alien
108162	Togo	TG	Present	Alien
108163	Togo	TG	Present	Alien
108164	Togo	TG	Present	Alien
108165	Togo	TG	Present	Alien
108166	Togo	TG	Present	Alien
108167	Togo	TG	Present	Alien
108168	Togo	TG	Present	Alien
108169	Togo	TG	Present	Alien
108170	Togo	TG	Present	Alien
108171	Togo	TG	Present	Alien
108172	Togo	TG	Present	Alien
108173	Togo	TG	Present	Alien
108174	Togo	TG	Present	Alien
108175	Togo	TG	Present	Alien
108176	Togo	TG	Present	Alien
108177	Togo	TG	Present	Alien
108178	Togo	TG	Present	Alien
108179	Togo	TG	Present	Alien
108180	Togo	TG	Present	Alien
108181	Togo	TG	Present	Alien
108182	Togo	TG	Present	Alien
108183	Togo	TG	Present	Alien
108184	Togo	TG	Present	Alien
108185	Togo	TG	Present	Alien
108186	Togo	TG	Present	Alien
108187	Togo	TG	Present	Alien
108188	Togo	TG	Present	Alien
108189	Togo	TG	Present	Alien
108190	Togo	TG	Present	Alien
108191	Togo	TG	Present	Alien
108192	Togo	TG	Present	Alien
108193	Togo	TG	Present	Alien
108194	Togo	TG	Present	Alien
108195	Togo	TG	Present	Alien
108196	Togo	TG	Present	Alien
