id	isInvasive	habitat
108100	Null	Terrestrial
108101	Invasive	Terrestrial
108102	Null	Terrestrial
108103	Null	Terrestrial
108104	Null	Terrestrial
108105	Invasive	Host
108106	Null	Host
108107	Null	Terrestrial
108108	Null	Terrestrial
108109	Invasive	Terrestrial
108110	Invasive	Terrestrial
108111	Null	Terrestrial
108112	Null	Terrestrial
108113	Null	Terrestrial
108114	Null	Terrestrial
108115	Null	Terrestrial
108116	Null	Terrestrial
108117	Null	Terrestrial
108118	Null	Terrestrial
108119	Null	Terrestrial
108120	Null	Terrestrial
108121	Null	Terrestrial
108122	Null	Terrestrial
108123	Null	Terrestrial
108124	Null	Terrestrial
108125	Null	Terrestrial
108126	Invasive	Terrestrial
108127	Null	Terrestrial
108128	Null	Terrestrial
108129	Null	Terrestrial
108130	Null	Terrestrial
108131	Invasive	Terrestrial
108132	Null	Terrestrial|Freshwater
108133	Invasive	Terrestrial|Freshwater
108134	Null	Freshwater|Brackish
108135	Null	Freshwater|Brackish
108136	Null	Terrestrial
108137	Null	Terrestrial
108138	Null	Terrestrial
108139	Null	Terrestrial
108140	Null	Terrestrial
108141	Null	Terrestrial
108142	Null	Terrestrial
108143	Null	Terrestrial
108144	Null	Terrestrial
108145	Invasive	Terrestrial
108146	Invasive	Freshwater
108147	Null	Terrestrial
108148	Null	Terrestrial
108149	Null	Terrestrial
108150	Null	Terrestrial
108151	Null	Terrestrial
108152	Null	Terrestrial
108153	Null	Terrestrial
108154	Null	Terrestrial
108155	Null	Terrestrial
108156	Null	Freshwater
108157	Null	Terrestrial
108158	Invasive	Host
108159	Null	Terrestrial
108160	Null	Terrestrial
108161	Null	Terrestrial
108162	Invasive	Terrestrial
108163	Null	Terrestrial
108164	Null	Terrestrial
108165	Invasive	Terrestrial
108166	Null	Terrestrial
108167	Null	Terrestrial
108168	Null	Terrestrial
108169	Null	Freshwater
108170	Null	Terrestrial
108171	Null	Freshwater
108172	Null	Terrestrial
108173	Null	Terrestrial
108174	Invasive	Freshwater
108175	Null	Terrestrial
108176	Invasive	Terrestrial
108177	Null	Terrestrial
108178	Null	Terrestrial
108179	Invasive	Terrestrial
108180	Null	Terrestrial
108181	Invasive	Freshwater
108182	Null	Terrestrial
108183	Null	Terrestrial
108184	Null	Terrestrial
108185	Null	Terrestrial
108186	Null	Terrestrial
108187	Null	Terrestrial
108188	Null	Terrestrial
108189	Null	Terrestrial
108190	Null	Terrestrial
108191	Invasive	Terrestrial
108192	Null	Terrestrial
108193	Null	Terrestrial
108194	Null	Terrestrial
108195	Invasive	Terrestrial
108196	Null	Terrestrial
