id	countryCode	occurrenceStatus	establishmentMeans
8803	TN	present	alien
8804	TN	present	alien
8805	TN	present	alien
8806	TN	present	alien
8807	TN	present	alien
8808	TN	present	alien
8809	TN	present	alien
8810	TN	present	alien
8811	TN	present	alien
8812	TN	present	alien
8813	TN	present	alien
8814	TN	present	alien
8815	TN	present	alien
8816	TN	present	alien
8817	TN	present	alien
8818	TN	present	alien
8819	TN	present	alien
8820	TN	present	alien
8821	TN	present	alien
8822	TN	present	alien
8823	TN	present	alien
8824	TN	present	alien
8825	TN	present	alien
8826	TN	present	alien
8827	TN	present	alien
8828	TN	present	alien
8829	TN	present	alien
8830	TN	present	alien
8831	TN	present	alien
8832	TN	present	alien
8833	TN	present	alien
8834	TN	present	alien
8835	TN	present	alien
8836	TN	present	alien
8837	TN	present	alien
8838	TN	present	alien
8839	TN	present	alien
8840	TN	present	cryptogenic|uncertain
8841	TN	present	alien
8842	TN	present	alien
8843	TN	present	alien
8844	TN	present	cryptogenic|uncertain
8845	TN	present	alien
8846	TN	present	alien
8847	TN	present	alien
8848	TN	present	alien
8849	TN	present	alien
8850	TN	present	alien
8851	TN	present	alien
8852	TN	present	alien
8853	TN	present	alien
8854	TN	present	alien
8855	TN	present	alien
8856	TN	present	alien
8857	TN	present	alien
8858	TN	present	alien
8859	TN	present	alien
8860	TN	present	alien
8861	TN	present	alien
8862	TN	present	alien
8863	TN	present	alien
8864	TN	present	alien
8865	TN	present	alien
8866	TN	present	alien
8867	TN	present	alien
8868	TN	present	alien
8869	TN	present	alien
8870	TN	present	alien
8871	TN	present	alien
8872	TN	present	alien
8873	TN	present	alien
8874	TN	present	alien
8875	TN	present	alien
8876	TN	present	alien
8877	TN	present	alien
8878	TN	present	alien
8879	TN	present	alien
8880	TN	present	alien
8881	TN	present	alien
8882	TN	present	alien
8883	TN	present	alien
8884	TN	present	alien
8885	TN	present	alien
8886	TN	present	alien
8887	TN	present	alien
8888	TN	present	alien
8889	TN	present	alien
8890	TN	present	alien
8891	TN	present	alien
8892	TN	present	alien
8893	TN	present	alien
8894	TN	present	alien
8895	TN	present	alien
8896	TN	present	alien
8897	TN	present	alien
8898	TN	present	alien
8899	TN	present	alien
8900	TN	present	alien
8901	TN	present	alien
8902	TN	present	alien
8903	TN	present	alien
8904	TN	present	alien
8905	TN	present	alien
8906	TN	present	alien
8907	TN	present	alien
8908	TN	present	alien
8909	TN	present	alien
8910	TN	present	alien
8911	TN	present	alien
8912	TN	present	alien
8913	TN	present	alien
8914	TN	present	alien
8915	TN	present	alien
8916	TN	present	alien
8917	TN	present	alien
8918	TN	present	alien
8919	TN	present	alien
8920	TN	present	alien
8921	TN	present	alien
8922	TN	present	alien
8923	TN	present	alien
8924	TN	present	alien
8925	TN	present	alien
8926	TN	present	alien
8927	TN	present	alien
8928	TN	present	alien
8929	TN	present	alien
8930	TN	present	alien
8931	TN	present	alien
8932	TN	present	alien
8933	TN	present	alien
8934	TN	present	alien
8935	TN	present	alien
8936	TN	present	alien
8937	TN	present	alien
8938	TN	present	alien
8939	TN	present	alien
8940	TN	present	alien
8941	TN	present	alien
8942	TN	present	alien
8943	TN	present	alien
8944	TN	present	alien
8945	TN	present	alien
8946	TN	present	alien
8947	TN	present	alien
8948	TN	present	alien
8949	TN	present	alien
8950	TN	present	alien
8951	TN	present	alien
8952	TN	present	alien
8953	TN	present	alien
8954	TN	present	alien
