id	isInvasive	habitat
93500	Null	Terrestrial
93501	Null	Terrestrial
93502	Invasive	Terrestrial
93503	Null	Terrestrial
93504	Null	Terrestrial
93505	Null	Terrestrial
93506	Null	Terrestrial
93507	Null	Terrestrial
93508	Null	Terrestrial
93509	Null	Marine
93510	Null	Marine
93511	Null	Marine
93512	Null	Terrestrial
93513	Null	Terrestrial
93514	Null	Terrestrial
93515	Null	Terrestrial
93516	Null	Host
93517	Null	Freshwater|Brackish|Marine
93518	Null	Terrestrial
93519	Null	Terrestrial
93520	Null	Marine
93521	Null	Marine
93522	Null	Marine
93523	Null	Marine
93524	Null	Marine
93525	Null	Marine
93526	Null	Marine
93527	Null	Marine
93528	Null	Marine
93529	Null	Marine
93530	Null	Marine
93531	Null	Terrestrial
93532	Null	Terrestrial|Freshwater
93533	Null	Marine
93534	Null	Terrestrial
93535	Null	Terrestrial
93536	Null	Marine
93537	Null	Terrestrial
93538	Null	Marine
93539	Null	Terrestrial
93540	Null	Marine
93541	Null	Terrestrial
93542	Null	Terrestrial
93543	Null	Marine
93544	Null	Freshwater|Brackish
93545	Invasive	Freshwater|Brackish
93546	Null	Terrestrial
93547	Null	Terrestrial
93548	Null	Marine
93549	Null	Marine
93550	Null	Marine
93551	Null	Marine
93552	Null	Marine
93553	Null	Terrestrial
93554	Null	Terrestrial
93555	Null	Terrestrial
93556	Null	Terrestrial
93557	Null	Terrestrial
93558	Null	Terrestrial
93559	Null	Terrestrial
93560	Null	Terrestrial
93561	Null	Terrestrial
93562	Null	Terrestrial
93563	Null	Terrestrial
93564	Null	Terrestrial
93565	Null	Terrestrial
93566	Null	Terrestrial
93567	Null	Terrestrial
93568	Null	Marine
93569	Invasive	Terrestrial
93570	Null	Terrestrial
93571	Null	Terrestrial
93572	Null	Terrestrial
93573	Null	Brackish|Marine
93574	Null	Marine
93575	Null	Marine
93576	Null	Marine
93577	Null	Marine
93578	Null	Marine
93579	Null	Marine
93580	Null	Marine
93581	Null	Marine
93582	Null	Marine
93583	Null	Marine
93584	Null	Freshwater|Brackish|Marine
93585	Null	Host
93586	Null	Freshwater
93587	Null	Marine
93588	Null	Terrestrial
93589	Null	Terrestrial
93590	Null	Terrestrial
93591	Null	Marine
93592	Null	Freshwater
93593	Null	Marine
93594	Null	Marine
93595	Null	Marine
93596	Null	Marine
93597	Null	Marine
93598	Null	Marine
93599	Null	Marine
93600	Null	Marine
93601	Invasive	Terrestrial
93602	Null	Terrestrial
93603	Null	Terrestrial
93604	Null	Terrestrial
93605	Null	Terrestrial
93606	Null	Terrestrial
93607	Null	Terrestrial
93608	Null	Terrestrial
93609	Null	Terrestrial
93610	Null	Marine
93611	Null	Marine
93612	Null	Terrestrial
93613	Null	Marine
93614	Null	Marine
93615	Null	Marine
93616	Null	Marine
93617	Null	Marine
93618	Null	Marine
93619	Null	Terrestrial
93620	Null	Terrestrial
93621	Invasive	Marine
93622	Null	Marine
93623	Invasive	Freshwater|Brackish|Marine
93624	Null	Brackish|Marine
93625	Null	Marine
93626	Null	Terrestrial
93627	Null	Freshwater
93628	Null	Brackish|Marine
93629	Null	Terrestrial
93630	Null	Terrestrial
93631	Null	Marine
93632	Null	Terrestrial
93633	Null	Terrestrial
93634	Null	Terrestrial
93635	Null	Marine
93636	Null	Marine
93637	Null	Terrestrial
93638	Null	Terrestrial
93639	Null	Terrestrial
93640	Null	Terrestrial
93641	Null	Marine
93642	Null	Marine
93643	Null	Marine
93644	Null	Marine
93645	Null	Terrestrial
93646	Null	Terrestrial
93647	Null	Terrestrial
93648	Null	Marine
93649	Null	Terrestrial
93650	Invasive	Marine
93651	Invasive	Marine
93652	Null	Marine
93653	Invasive	Terrestrial
93654	Null	Terrestrial
93655	Null	Terrestrial
93656	Null	Marine
93657	Null	Marine
93658	Null	Terrestrial
93659	Invasive	Marine
93660	Null	Terrestrial
93661	Null	Marine
93662	Null	Marine
93663	Null	Marine
93664	Null	Marine
93665	Null	Terrestrial
93666	Null	Marine
93667	Null	Marine
93668	Null	Marine
93669	Null	Terrestrial
93670	Null	Terrestrial
93671	Null	Terrestrial
93672	Null	Terrestrial
93673	Null	Terrestrial
93674	Null	Terrestrial
93675	Null	Marine
93676	Null	Marine
93677	Null	Terrestrial
93678	Null	Freshwater
93679	Null	Freshwater
93680	Invasive	Freshwater|Brackish
93681	Null	Marine
93682	Null	Marine
93683	Null	Terrestrial
93684	Null	Marine
93685	Null	Terrestrial
93686	Null	Terrestrial
