id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	taxonomicStatus
167000	167000	Abbottina rivularis (Basilewsky, 1855)		Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	SPECIES	ACCEPTED
167001	167001	Abra ovata (Philippi, 1836)	Abra segmentum (R?cluz, 1843)	Animalia	Mollusca	Bivalvia	Cardiida	Semelidae	SPECIES	SYNONYM
167002	167002	Acartia tonsa Dana, 1849		Animalia	Arthropoda	Crustacea	Calanoida	Acartiidae	SPECIES	ACCEPTED
167003	167003	Ailanthus altissima (Mill.) Swingle		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Simaroubaceae	SPECIES	ACCEPTED
167004	167004	Allotropa  burrelli Muesebeck, 1942		Animalia	Artropoda	Insecta	Hymenoptere	Platygastridae	SPECIES	ACCEPTED
167005	167005	Allotropa  convexifrons Muesebeck, 1943		Animalia	Artropoda	Insecta	Hymenoptera	Platygastridae	SPECIES	ACCEPTED
167006	167006	Amorpha fruticosa L.		Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	SPECIES	ACCEPTED
167007	167007	Amphibalanus improvisus Darwin, 1854		Animalia	Arthropoda	Maxillopoda	Sessilia	Balanidae	SPECIES	ACCEPTED
167008	167008	Arboridia hussaini Ghauri, 1963		Animalia	Artropoda	Insecta	Homoptera	Cicadelliidae	SPECIES	ACCEPTED
167009	167009	Aristichthys nobilis (Richardson, 1845)	Hypophthalmichthys nobilis (Richardson, 1845)	Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	SPECIES	SYNONYM
167010	167010	Atractosteus spatula (Lacep??de, 1803)		Animalia	Chordata	Actinopterygii	Lepisosteiformes	Lepisosteidae	SPECIES	ACCEPTED
167011	167011	Ballerus sapa (Pallas, 1814)		Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	SPECIES	ACCEPTED
167012	167012	Barentsia benedeni (Foettinger, 1887)		Animalia	Entoprocta			Barentsiidae	SPECIES	ACCEPTED
167013	167013	Bemisia tabaci Gennadius, 1889		Animalia	Artropoda	Insecta	Homoptera	Aleyrodidae	SPECIES	ACCEPTED
167014	167014	Beroe ovata Brugui??re, 1789		Animalia	Ctenophora	Nuda	Beroida	Beroidae	SPECIES	ACCEPTED
167015	167015	Carpomia pardalina (Bigot, 1891)		Animalia	Artropoda	Insecta	Diptera	Tephritidae	SPECIES	ACCEPTED
167016	167016	Channa argus (Cantor, 1842)		Animalia	Chordata	Actinopterygii	Perciformes	Channidae	SPECIES	ACCEPTED
