id	locationID	countryCode	occurrenceStatus	establishmentMeans
79500	Uganda	UG	Present	Alien
79501	Uganda	UG	Present	Alien
79502	Uganda	UG	Present	Alien
79503	Uganda	UG	Present	Alien
79504	Uganda	UG	Present	Alien
79505	Uganda	UG	Present	Alien
79506	Uganda	UG	Present	Alien
79507	Uganda	UG	Present	Alien
79508	Uganda	UG	Present	Alien
79509	Uganda	UG	Present	Alien
79510	Uganda	UG	Present	Alien
79511	Uganda	UG	Present	Alien
79512	Uganda	UG	Present	Alien
79513	Uganda	UG	Present	Alien
79514	Uganda	UG	Present	Alien
79515	Uganda	UG	Present	Alien
79516	Uganda	UG	Present	Alien
79517	Uganda	UG	Present	Alien
79518	Uganda	UG	Present	Alien
79519	Uganda	UG	Present	Alien
79520	Uganda	UG	Present	Alien
79521	Uganda	UG	Present	Alien
79522	Uganda	UG	Present	Alien
79523	Uganda	UG	Present	Alien
79524	Uganda	UG	Present	Alien
79525	Uganda	UG	Present	Alien
79526	Uganda	UG	Present	Alien
79527	Uganda	UG	Present	Alien
79528	Uganda	UG	Present	Alien
79529	Uganda	UG	Present	Alien
79530	Uganda	UG	Present	Alien
79531	Uganda	UG	Present	Alien
79532	Uganda	UG	Present	Alien
79533	Uganda	UG	Present	Alien
79534	Uganda	UG	Present	Alien
79535	Uganda	UG	Present	Alien
79536	Uganda	UG	Present	Alien
79537	Uganda	UG	Present	Alien
79538	Uganda	UG	Present	Alien
79539	Uganda	UG	Present	Alien
79540	Uganda	UG	Present	Alien
79541	Uganda	UG	Present	Alien
79542	Uganda	UG	Present	Alien
79543	Uganda	UG	Present	Alien
79544	Uganda	UG	Present	Alien
79545	Uganda	UG	Present	Alien
79546	Uganda	UG	Present	Alien
79547	Uganda	UG	Present	Cryptogenic|Uncertain
79548	Uganda	UG	Present	Alien
79549	Uganda	UG	Present	Alien
79550	Uganda	UG	Present	Alien
79551	Uganda	UG	Present	Alien
79552	Uganda	UG	Present	Alien
79553	Uganda	UG	Present	Alien
79554	Uganda	UG	Present	Alien
79555	Uganda	UG	Present	Alien
79556	Uganda	UG	Present	Alien
79557	Uganda	UG	Present	Alien
79558	Uganda	UG	Present	Alien
79559	Uganda	UG	Present	Alien
79560	Uganda	UG	Present	Alien
79561	Uganda	UG	Present	Alien
79562	Uganda	UG	Present	Alien
79563	Uganda	UG	Present	Alien
79564	Uganda	UG	Present	Alien
79565	Uganda	UG	Present	Alien
79566	Uganda	UG	Present	Alien
79567	Uganda	UG	Present	Alien
79568	Uganda	UG	Present	Alien
79569	Uganda	UG	Present	Alien
79570	Uganda	UG	Present	Alien
79571	Uganda	UG	Present	Alien
79572	Uganda	UG	Present	Alien
79573	Uganda	UG	Present	Alien
79574	Uganda	UG	Present	Alien
79575	Uganda	UG	Present	Alien
79576	Uganda	UG	Present	Alien
79577	Uganda	UG	Present	Alien
79578	Uganda	UG	Present	Alien
79579	Uganda	UG	Present	Alien
79580	Uganda	UG	Present	Alien
79581	Uganda	UG	Present	Alien
79582	Uganda	UG	Present	Alien
79583	Uganda	UG	Present	Alien
79584	Uganda	UG	Present	Alien
79585	Uganda	UG	Present	Alien
79586	Uganda	UG	Present	Alien
79587	Uganda	UG	Present	Alien
79588	Uganda	UG	Present	Alien
79589	Uganda	UG	Present	Alien
79590	Uganda	UG	Present	Alien
79591	Uganda	UG	Present	Alien
79592	Uganda	UG	Present	Alien
79593	Uganda	UG	Present	Alien
79594	Uganda	UG	Present	Alien
79595	Uganda	UG	Present	Alien
79596	Uganda	UG	Present	Alien
79597	Uganda	UG	Present	Alien
79598	Uganda	UG	Present	Alien
79599	Uganda	UG	Present	Alien
79600	Uganda	UG	Present	Alien
79601	Uganda	UG	Present	Alien
79602	Uganda	UG	Present	Alien
79603	Uganda	UG	Present	Alien
79604	Uganda	UG	Present	Alien
79605	Uganda	UG	Present	Alien
79606	Uganda	UG	Present	Alien
79607	Uganda	UG	Present	Alien
79608	Uganda	UG	Present	Alien
79609	Uganda	UG	Present	Alien
79610	Uganda	UG	Present	Alien
79611	Uganda	UG	Present	Alien
79612	Uganda	UG	Present	Alien
79613	Uganda	UG	Present	Alien
79614	Uganda	UG	Present	Alien
79615	Uganda	UG	Present	Alien
79616	Uganda	UG	Present	Alien
79617	Uganda	UG	Present	Alien
79618	Uganda	UG	Present	Alien
79619	Uganda	UG	Present	Alien
79620	Uganda	UG	Present	Alien
79621	Uganda	UG	Present	Alien
79622	Uganda	UG	Present	Alien
79623	Uganda	UG	Present	Alien
79624	Uganda	UG	Present	Alien
79625	Uganda	UG	Present	Alien
79626	Uganda	UG	Present	Alien
79627	Uganda	UG	Present	Alien
79628	Uganda	UG	Present	Alien
79629	Uganda	UG	Present	Alien
79630	Uganda	UG	Present	Alien
79631	Uganda	UG	Present	Alien
79632	Uganda	UG	Present	Alien
79633	Uganda	UG	Present	Alien
79634	Uganda	UG	Present	Alien
79635	Uganda	UG	Present	Alien
79636	Uganda	UG	Present	Alien
79637	Uganda	UG	Present	Alien
79638	Uganda	UG	Present	Alien
79639	Uganda	UG	Present	Alien
79640	Uganda	UG	Present	Alien
79641	Uganda	UG	Present	Alien
79642	Uganda	UG	Present	Alien
79643	Uganda	UG	Present	Alien
79644	Uganda	UG	Present	Alien
79645	Uganda	UG	Present	Alien
79646	Uganda	UG	Present	Alien
79647	Uganda	UG	Present	Alien
79648	Uganda	UG	Present	Alien
79649	Uganda	UG	Present	Alien
79650	Uganda	UG	Present	Alien
79651	Uganda	UG	Present	Alien
79652	Uganda	UG	Present	Alien
79653	Uganda	UG	Present	Alien
79654	Uganda	UG	Present	Alien
79655	Uganda	UG	Present	Alien
79656	Uganda	UG	Present	Alien
79657	Uganda	UG	Present	Alien
79658	Uganda	UG	Present	Alien
79659	Uganda	UG	Present	Alien
79660	Uganda	UG	Present	Alien
79661	Uganda	UG	Present	Alien
79662	Uganda	UG	Present	Alien
79663	Uganda	UG	Present	Alien
79664	Uganda	UG	Present	Alien
79665	Uganda	UG	Present	Alien
79666	Uganda	UG	Present	Alien
79667	Uganda	UG	Present	Alien
79668	Uganda	UG	Present	Alien
79669	Uganda	UG	Present	Alien
79670	Uganda	UG	Present	Alien
79671	Uganda	UG	Present	Alien
