id	isInvasive	habitat
79500	Invasive	Terrestrial
79501	Invasive	Terrestrial
79502	Null	Terrestrial
79503	Invasive	Terrestrial
79504	Null	Terrestrial
79505	Invasive	Terrestrial
79506	Null	Terrestrial
79507	Null	Terrestrial
79508	Invasive	Terrestrial
79509	Null	Terrestrial
79510	Invasive	Host
79511	Invasive	Terrestrial
79512	Null	Terrestrial
79513	Invasive	Terrestrial
79514	Null	Terrestrial
79515	Null	Terrestrial
79516	Null	Terrestrial
79517	Null	Terrestrial
79518	Invasive	Terrestrial
79519	Null	Terrestrial
79520	Null	Terrestrial
79521	Invasive	Terrestrial
79522	Invasive	Freshwater
79523	Null	Terrestrial
79524	Null	Terrestrial
79525	Null	Host
79526	Invasive	Terrestrial
79527	Invasive	Terrestrial
79528	Invasive	Terrestrial
79529	Invasive	Terrestrial
79530	Null	Terrestrial
79531	Null	Terrestrial
79532	Null	Terrestrial
79533	Null	Terrestrial
79534	Invasive	Terrestrial
79535	Invasive	Terrestrial
79536	Invasive	Terrestrial
79537	Invasive	Terrestrial
79538	Null	Terrestrial
79539	Invasive	Terrestrial
79540	Invasive	Terrestrial
79541	Null	Terrestrial
79542	Invasive	Terrestrial
79543	Invasive	Terrestrial
79544	Null	Terrestrial
79545	Invasive	Terrestrial
79546	Null	Terrestrial
79547	Null	Terrestrial
79548	Null	Terrestrial
79549	Null	Terrestrial
79550	Null	Terrestrial
79551	Invasive	Terrestrial
79552	Invasive	Host
79553	Null	Terrestrial
79554	Null	Terrestrial
79555	Invasive	Terrestrial
79556	Null	Freshwater|Brackish
79557	Invasive	Terrestrial
79558	Invasive	Terrestrial
79559	Invasive	Terrestrial
79560	Null	Freshwater|Brackish
79561	Invasive	Terrestrial
79562	Invasive	Terrestrial
79563	Invasive	Terrestrial
79564	Null	Terrestrial
79565	Null	Terrestrial
79566	Null	Terrestrial
79567	Null	Terrestrial
79568	Null	Terrestrial
79569	Null	Freshwater
79570	Invasive	Freshwater
79571	Null	Terrestrial
79572	Null	Freshwater|Brackish
79573	Null	Terrestrial
79574	Null	Terrestrial
79575	Null	Terrestrial
79576	Null	Terrestrial
79577	Null	Terrestrial
79578	Null	Terrestrial
79579	Null	Terrestrial
79580	Null	Terrestrial
79581	Invasive	Terrestrial
79582	Invasive	Terrestrial
79583	Null	Host
79584	Null	Terrestrial
79585	Null	Terrestrial
79586	Null	Terrestrial
79587	Invasive	Terrestrial
79588	Null	Terrestrial
79589	Null	Terrestrial
79590	Null	Terrestrial
79591	Null	Terrestrial
79592	Null	Terrestrial
79593	Null	Terrestrial
79594	Invasive	Terrestrial
79595	Invasive	Freshwater
79596	Invasive	Terrestrial
79597	Invasive	Terrestrial
79598	Null	Terrestrial
79599	Invasive	Terrestrial
79600	Null	Terrestrial
79601	Null	Terrestrial
79602	Null	Freshwater
79603	Invasive	Terrestrial
79604	Invasive	Terrestrial
79605	Invasive	Terrestrial
79606	Invasive	Terrestrial
79607	Invasive	Terrestrial
79608	Null	Terrestrial
79609	Invasive	Terrestrial
79610	Invasive	Terrestrial
79611	Null	Freshwater|Brackish
79612	Null	Terrestrial
79613	Null	Terrestrial
79614	Null	Terrestrial
79615	Null	Terrestrial
79616	Null	Freshwater|Brackish
79617	Null	Freshwater|Brackish
79618	Null	Freshwater|Brackish
79619	Null	Freshwater|Brackish
79620	Null	Freshwater|Brackish
79621	Null	Terrestrial
79622	Null	Terrestrial
79623	Invasive	Terrestrial
79624	Null	Terrestrial
79625	Null	Terrestrial
79626	Invasive	Terrestrial
79627	Invasive	Host
79628	Invasive	Terrestrial
79629	Null	Terrestrial
79630	Invasive	Host
79631	Null	Terrestrial
79632	Invasive	Terrestrial
79633	Null	Freshwater|Brackish
79634	Null	Terrestrial|Freshwater
79635	Null	Freshwater
79636	Invasive	Terrestrial
79637	Invasive	Terrestrial
79638	Null	Terrestrial
79639	Invasive	Terrestrial
79640	Invasive	Terrestrial
79641	Null	Terrestrial
79642	Null	Terrestrial
79643	Invasive	Freshwater
79644	Null	Terrestrial
79645	Invasive	Terrestrial
79646	Invasive	Terrestrial
79647	Invasive	Terrestrial
79648	Invasive	Terrestrial
79649	Invasive	Terrestrial
79650	Invasive	Terrestrial
79651	Invasive	Terrestrial
79652	Invasive	Terrestrial
79653	Invasive	Terrestrial
79654	Invasive	Terrestrial
79655	Invasive	Terrestrial
79656	Invasive	Terrestrial
79657	Invasive	Terrestrial
79658	Invasive	Terrestrial
79659	Invasive	Terrestrial
79660	Null	Terrestrial
79661	Null	Terrestrial
79662	Null	Terrestrial
79663	Null	Terrestrial
79664	Null	Terrestrial
79665	Null	Terrestrial
79666	Invasive	Terrestrial
79667	Invasive	Terrestrial
79668	Null	Freshwater|Brackish
79669	Invasive	Terrestrial
79670	Invasive	Terrestrial
79671	Invasive	Terrestrial
79672	Null	Terrestrial
79673	Null	Terrestrial
79674	Null	Terrestrial
79675	Null	Terrestrial
79676	Null	Terrestrial
79677	Invasive	Terrestrial
79678	Null	Host
79679	Null	Terrestrial
