id	locationID	countryCode	occurrenceStatus	establishmentMeans
53193		UA	Alien	Present
53194		UA	Alien	Present
53195		UA	Alien	Present
53196		UA	Alien	Present
53197		UA	Alien	Present
53198		UA	Alien	Present
53199		UA	Alien	Present
53200		UA	Alien	Present
53201		UA	Alien	Present
53202		UA	Alien	Present
53203		UA	Alien	Present
53204		UA	Alien	Present
53205		UA	Alien	Present
53206		UA	Alien	Present
53207		UA	Alien	Present
53208		UA	Alien	Present
53209		UA	Alien	Present
53210		UA	Alien	Present
53211		UA	Alien	Present
53212		UA	Alien	Present
53213		UA	Alien	Present
53214		UA	Alien	Present
53215		UA	Alien	Present
53216		UA	Alien	Present
53217		UA	Alien	Present
53218		UA	Alien	Present
53219		UA	Alien	Present
53220		UA	Alien	Present
53221		UA	Alien	Present
53222		UA	Alien	Present
53223		UA	Alien	Present
53224		UA	Alien	Present
53225		UA	Alien	Present
53226		UA	Alien	Present
53227		UA	Alien	Present
53228		UA	Alien	Present
53229		UA	Alien	Present
53230		UA	Alien	Present
53231		UA	Alien	Present
53232		UA	Cryptogenic|Uncertain	Present
53233		UA	Alien	Present
53234		UA	Alien	Present
53235		UA	Alien	Present
53236		UA	Alien	Present
53237		UA	Alien	Present
53238		UA	Alien	Present
53239		UA	Alien	Present
53240		UA	Alien	Present
53241		UA	Alien	Present
53242		UA	Alien	Present
53243		UA	Alien	Present
53244		UA	Alien	Present
53245		UA	Alien	Present
53246		UA	Alien	Present
53247		UA	Cryptogenic|Uncertain	Present
53248		UA	Alien	Present
53249		UA	Alien	Present
53250		UA	Alien	Present
53251		UA	Alien	Present
53252		UA	Alien	Present
53253		UA	Alien	Present
53254		UA	Cryptogenic|Uncertain	Present
53255		UA	Alien	Present
53256		UA	Alien	Present
53257		UA	Alien	Present
53258		UA	Alien	Present
53259		UA	Alien	Present
53260		UA	Alien	Present
53261		UA	Alien	Present
53262		UA	Alien	Present
53263		UA	Alien	Present
53264		UA	Alien	Present
53265		UA	Alien	Present
53266		UA	Alien	Present
53267		UA	Alien	Present
53268		UA	Alien	Present
53269		UA	Alien	Present
53270		UA	Alien	Present
53271		UA	Alien	Present
53272		UA	Alien	Present
53273		UA	Alien	Present
53274		UA	Alien	Present
53275		UA	Alien	Present
53276		UA	Alien	Present
53277		UA	Alien	Present
53278		UA	Alien	Present
53279		UA	Alien	Present
53280		UA	Alien	Present
53281		UA	Alien	Present
53282		UA	Alien	Present
53283		UA	Alien	Present
53284		UA	Alien	Present
53285		UA	Alien	Present
53286		UA	Alien	Present
53287		UA	Alien	Present
53288		UA	Alien	Present
53289		UA	Alien	Present
53290		UA	Alien	Present
53291		UA	Alien	Present
53292		UA	Cryptogenic|Uncertain	Present
53293		UA	Alien	Present
53295		UA	Alien	Present
53294		UA	Alien	Present
53296		UA	Alien	Present
53298		UA	Alien	Present
53299		UA	Alien	Present
53300		UA	Alien	Present
53301		UA	Alien	Present
53302		UA	Alien	Present
53303		UA	Alien	Present
53304		UA	Alien	Present
53305		UA	Alien	Present
53306		UA	Alien	Present
53307		UA	Alien	Present
53308		UA	Alien	Present
53309		UA	Alien	Present
53310		UA	Alien	Present
53311		UA	Alien	Present
53312		UA	Alien	Present
53313		UA	Alien	Present
53314		UA	Alien	Present
53315		UA	Alien	Present
53316		UA	Alien	Present
53317		UA	Alien	Present
53318		UA	Alien	Present
53319		UA	Alien	Present
53320		UA	Alien	Present
53321		UA	Alien	Present
53322		UA	Alien	Present
53323		UA	Alien	Present
53324		UA	Alien	Present
53325		UA	Alien	Present
53326		UA	Alien	Present
53327		UA	Alien	Present
53328		UA	Alien	Present
53329		UA	Alien	Present
53330		UA	Alien	Present
53331		UA	Alien	Present
53332		UA	Alien	Present
53333		UA	Cryptogenic|Uncertain	Present
53334		UA	Alien	Present
53335		UA	Alien	Present
53336		UA	Alien	Present
53337		UA	Alien	Present
53338		UA	Alien	Present
53339		UA	Alien	Present
53340		UA	Alien	Present
53341		UA	Alien	Present
53342		UA	Alien	Present
53343		UA	Alien	Present
53344		UA	Alien	Present
53345		UA	Alien	Present
53346		UA	Alien	Present
53347		UA	Alien	Present
53348		UA	Alien	Present
53349		UA	Alien	Present
53350		UA	Alien	Present
53351		UA	Alien	Present
53352		UA	Alien	Present
53353		UA	Alien	Present
53354		UA	Alien	Present
53355		UA	Alien	Present
53356		UA	Alien	Present
53357		UA	Alien	Present
53358		UA	Alien	Present
53359		UA	Alien	Present
53360		UA	Alien	Present
53361		UA	Alien	Present
53362		UA	Alien	Present
53363		UA	Alien	Present
53364		UA	Alien	Present
53365		UA	Alien	Present
53366		UA	Alien	Present
53367		UA	Alien	Present
53368		UA	Alien	Present
53369		UA	Alien	Present
