id	countryCode	occurrenceStatus	establishmentMeans
502	AE	present	alien
503	AE	present	alien
504	AE	present	alien
505	AE	present	alien
506	AE	present	alien
507	AE	present	alien
508	AE	present	alien
509	AE	present	alien
510	AE	present	alien
511	AE	present	alien
512	AE	present	alien
513	AE	present	alien
514	AE	present	alien
515	AE	present	alien
516	AE	present	alien
517	AE	present	alien
518	AE	present	alien
519	AE	present	alien
520	AE	present	alien
521	AE	present	alien
522	AE	present	alien
523	AE	present	alien
524	AE	present	alien
525	AE	present	alien
526	AE	present	alien
527	AE	present	alien
528	AE	present	alien
529	AE	present	alien
530	AE	present	alien
531	AE	present	alien
532	AE	present	alien
533	AE	present	alien
534	AE	present	alien
535	AE	present	alien
536	AE	present	alien
537	AE	present	alien
538	AE	present	alien
539	AE	present	alien
540	AE	present	alien
541	AE	present	alien
542	AE	present	alien
543	AE	present	alien
544	AE	present	alien
545	AE	present	alien
546	AE	present	alien
547	AE	present	alien
548	AE	present	alien
549	AE	present	alien
550	AE	present	alien
551	AE	present	alien
552	AE	present	cryptogenic|uncertain
553	AE	present	cryptogenic|uncertain
554	AE	present	alien
555	AE	present	alien
556	AE	present	alien
557	AE	present	alien
558	AE	present	alien
559	AE	present	alien
560	AE	present	alien
561	AE	present	alien
562	AE	present	alien
563	AE	present	alien
564	AE	present	alien
565	AE	present	alien
566	AE	present	alien
567	AE	present	alien
568	AE	present	alien
569	AE	present	alien
570	AE	present	alien
571	AE	present	alien
572	AE	present	alien
573	AE	present	alien
574	AE	present	alien
575	AE	present	alien
576	AE	present	alien
577	AE	present	alien
578	AE	present	alien
579	AE	present	alien
580	AE	present	alien
581	AE	present	alien
582	AE	present	alien
583	AE	present	alien
584	AE	present	alien
585	AE	present	alien
586	AE	present	alien
587	AE	present	alien
588	AE	present	alien
589	AE	present	alien
590	AE	present	alien
591	AE	present	alien
592	AE	present	alien
593	AE	present	alien
594	AE	present	alien
595	AE	present	alien
596	AE	present	alien
597	AE	present	alien
598	AE	present	alien
599	AE	present	alien
600	AE	present	alien
601	AE	present	alien
602	AE	present	alien
603	AE	present	alien
604	AE	present	alien
605	AE	present	alien
606	AE	present	alien
607	AE	present	alien
608	AE	present	alien
609	AE	present	alien
610	AE	present	alien
611	AE	present	alien
612	AE	present	alien
613	AE	present	alien
614	AE	present	alien
615	AE	present	alien
616	AE	present	alien
617	AE	present	alien
618	AE	present	alien
619	AE	present	alien
620	AE	present	alien
621	AE	present	alien
622	AE	present	alien
623	AE	present	alien
624	AE	present	alien
625	AE	present	alien
626	AE	present	alien
627	AE	present	alien
628	AE	present	alien
629	AE	present	alien
630	AE	present	alien
631	AE	present	alien
632	AE	present	alien
633	AE	present	alien
634	AE	present	alien
635	AE	present	alien
636	AE	present	alien
637	AE	present	alien
638	AE	present	alien
639	AE	present	alien
640	AE	present	alien
641	AE	present	alien
642	AE	present	alien
643	AE	present	alien
644	AE	present	alien
645	AE	present	alien
646	AE	present	alien
647	AE	present	alien
648	AE	present	alien
649	AE	present	alien
650	AE	present	alien
651	AE	present	alien
652	AE	present	alien
653	AE	present	alien
654	AE	present	alien
655	AE	present	alien
656	AE	present	alien
657	AE	present	alien
658	AE	present	alien
659	AE	present	alien
660	AE	present	alien
661	AE	present	alien
662	AE	present	alien
663	AE	present	alien
664	AE	present	alien
665	AE	present	alien
666	AE	present	alien
667	AE	present	alien
668	AE	present	alien
669	AE	present	alien
670	AE	present	alien
671	AE	present	alien
672	AE	present	alien
673	AE	present	alien
674	AE	present	alien
675	AE	present	alien
676	AE	present	alien
677	AE	present	alien
678	AE	present	alien
679	AE	present	alien
680	AE	present	alien
681	AE	present	alien
682	AE	present	alien
683	AE	present	alien
684	AE	present	alien
685	AE	present	alien
686	AE	present	alien
687	AE	present	alien
688	AE	present	alien
689	AE	present	alien
690	AE	present	alien
691	AE	present	alien
692	AE	present	alien
693	AE	present	alien
694	AE	present	alien
695	AE	present	alien
696	AE	present	cryptogenic|uncertain
697	AE	present	alien
698	AE	present	alien
699	AE	present	alien
700	AE	present	alien
701	AE	present	alien
702	AE	present	alien
703	AE	present	alien
704	AE	present	alien
705	AE	present	alien
706	AE	present	alien
707	AE	present	alien
708	AE	present	alien
709	AE	present	alien
710	AE	present	alien
711	AE	present	alien
712	AE	present	alien
713	AE	present	alien
714	AE	present	alien
715	AE	present	alien
716	AE	present	alien
717	AE	present	alien
718	AE	present	alien
719	AE	present	alien
720	AE	present	alien
721	AE	present	alien
722	AE	present	alien
723	AE	present	alien
724	AE	present	alien
725	AE	present	alien
726	AE	present	alien
727	AE	present	alien
728	AE	present	alien
729	AE	present	cryptogenic|uncertain
730	AE	present	alien
731	AE	present	alien
732	AE	present	alien
733	AE	present	alien
734	AE	present	alien
735	AE	present	alien
736	AE	present	alien
737	AE	present	alien
738	AE	present	alien
739	AE	present	alien
740	AE	present	alien
741	AE	present	alien
742	AE	present	alien
743	AE	present	alien
744	AE	present	alien
745	AE	present	alien
746	AE	present	alien
747	AE	present	alien
748	AE	present	alien
