id	taxonID	scientificName	acceptedNameUsage	kingdom	phylum	class	order	family	taxonRank	taxonomicStatus
502	502	Acridotheres cristatellus (Linnaeus, 1758)		Animalia	Chordata	Aves	Passeriformes	Sturnidae	species	ACCEPTED
503	503	Acridotheres fuscus (Wagler, 1827)		Animalia	Chordata	Aves	Passeriformes	Sturnidae	species	ACCEPTED
504	504	Acridotheres ginginianus (Latham, 1790)		Animalia	Chordata	Aves	Passeriformes	Sturnidae	species	ACCEPTED
505	505	Acridotheres javanicus Cabanis, 1851		Animalia	Chordata	Aves	Passeriformes	Sturnidae	species	ACCEPTED
506	506	Acridotheres tristis (Linnaeus, 1766)		Animalia	Chordata	Aves	Passeriformes	Sturnidae	species	ACCEPTED
507	507	Acryllium vulturinum (Hardwicke, 1834)		Animalia	Chordata	Aves	Galliformes	Numididae	species	ACCEPTED
508	508	Actophilornis africanus (Gmelin, 1789)		Animalia	Chordata	Aves	Charadriiformes	Jacanidae	species	ACCEPTED
509	509	Agapornis fischeri Reichenow, 1887		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	species	ACCEPTED
510	510	Agapornis lilianae Shelley, 1894		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	species	ACCEPTED
511	511	Agapornis roseicollis (Vieillot, 1818)		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	species	ACCEPTED
512	512	Aix galericulata (Linnaeus, 1758)		Animalia	Chordata	Aves	Anseriformes	Anatidae	species	ACCEPTED
513	513	Aix sponsa (Linnaeus, 1758)		Animalia	Chordata	Aves	Anseriformes	Anatidae	species	ACCEPTED
514	514	Albizia julibrissin Durazz.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	species	ACCEPTED
515	515	Alectoris melanocephala (Ruppell, 1835)		Animalia	Chordata	Aves	Galliformes	Phasianidae	species	ACCEPTED
516	516	Aleurocanthus woglumi Ashby, 1915		Animalia	Arthropoda	Insecta	Orthoptera	Aleyrodidae	species	ACCEPTED
517	517	Alisterus scapularis (Lichtenstein, 1816)		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	species	ACCEPTED
518	518	Allopeas gracile (Hutton, 1834)		Animalia	Mollusca	Gastropoda	Stylommatophora	Subulinidae	species	ACCEPTED
519	519	Alopochen aegyptiaca (Linnaeus, 1766)		Animalia	Chordata	Aves	Anseriformes	Anatidae	species	ACCEPTED
520	520	Amadina fasciata (Gmelin, 1789)		Animalia	Chordata	Aves	Passeriformes	Estrildidae	species	ACCEPTED
521	521	Amandava amandava (Linnaeus, 1758)		Animalia	Chordata	Aves	Passeriformes	Estrildidae	species	ACCEPTED
522	522	Ammoperdix griseogularis (Brandt, 1843)		Animalia	Chordata	Aves	Galliformes	Phasianidae	species	ACCEPTED
523	523	Aphis gossypii Glover, 1877		Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	species	ACCEPTED
524	524	Ara chloropterus G. R. Gray, 1859		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	species	ACCEPTED
525	525	Ardea goliath Cretzschmar, 1829		Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	species	ACCEPTED
526	526	Ardeotis arabs (Linnaeus, 1758)		Animalia	Chordata	Aves	Gruiformes	Otididae	species	ACCEPTED
527	527	Autoserica inaequabilis Brenske, 1898	Maladera zeta	Animalia	Arthropoda	Insecta	Coleoptera	Melolonthidae	species	SYNONYM
528	528	Bactrocera cucurbitae (Coquillett, 1899)		Animalia	Arthropoda	Insecta	Diptera	Tephritidae 	species	ACCEPTED
529	529	Bactrocera dorsalis (Hendel, 1912)		Animalia	Arthropoda	Insecta	Diptera	Tephritidae 	species	ACCEPTED
530	530	Bactrocera zonata (Saunders, 1842)		Animalia	Arthropoda	Insecta	Orthoptera	Tephritidae	species	ACCEPTED
531	531	Balearica regulorum (E. T. Bennett, 1834)		Animalia	Chordata	Aves	Gruiformes	Gruidae	species	ACCEPTED
532	532	Bemisia tabaci (Gennadius, 1889)		Animalia	Arthropoda	Insecta	Hemiptera	Aleyrodidae	species	ACCEPTED
533	533	Bidens pilosa L.		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	species	DOUBTFUL
534	534	Blattella germanica (Linnaeus, 1767)		Animalia	Arthropoda	Insecta	Blattodea	Ectobiidae	species	ACCEPTED
535	535	Branta canadensis (Linnaeus, 1758)		Animalia	Chordata	Aves	Anseriformes	Anatidae	species	ACCEPTED
536	536	Branta sandvicensis (Vigors, 1834)		Animalia	Chordata	Aves	Anseriformes	Anatidae	species	ACCEPTED
537	537	Bregmatothrips dimorphus (Priesner, 1919) Priesner, 1919		Animalia	Arthropoda	Insecta	Orthoptera	Thripidae	species	ACCEPTED
538	538	Bucorvus leadbeateri (Vigors, 1825)		Animalia	Chordata	Aves	Bucerotiformes	Bucorvidae	species	ACCEPTED
539	539	Cacatua galerita (Latham, 1790)		Animalia	Chordata	Aves	Psittaciformes	Psittacidae	species	ACCEPTED
540	540	Cadra cautella Walker, 1863		Animalia	Arthropoda	Insecta	Lepidoptera	Pyralidae	species	ACCEPTED
541	541	Cairina moschata (Linnaeus, 1758)		Animalia	Chordata	Aves	Anseriformes	Anatidae	species	ACCEPTED
542	542	Calcisuccinea Pilsbry, 1948		Animalia	Mollusca	Gastropoda	Stylommatophora	Succineidae	species	DOUBTFUL
543	543	Callipepla californica (Shaw, 1798)		Animalia	Chordata	Aves	Galliformes	Odontophoridae	species	ACCEPTED
544	544	Callonetta leucophrys (Vieillot, 1816)		Animalia	Chordata	Aves	Anseriformes	Anatidae	species	ACCEPTED
545	545	Calotropis procera (Ait.) Ait. fil.		Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	species	ACCEPTED
546	546	Camponotus compressus (Fabricius, 1787)		Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	species	ACCEPTED
547	547	Canis lupus subsp. familiaris Linnaeus, 1758		Animalia	Chordata	Mammalia	Carnivora	Canidae	subspecies	ACCEPTED
548	548	Capra hircus Linnaeus, 1758		Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	species	ACCEPTED
549	549	Cardinalis cardinalis (Linnaeus, 1758)		Animalia	Chordata	Aves	Passeriformes	Cardinalidae	species	ACCEPTED
550	550	Cardiocondyla emeryi Forel, 1881		Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	species	ACCEPTED
551	551	Carpomya incompleta (Becker, 1903)		Animalia	Arthropoda	Insecta	Orthoptera	Tephritidae	species	ACCEPTED
552	552	Caulerpa J.V. Lamouroux, 1809		Plantae	Chlorophyta	Bryopsidophyceae	Bryopsidales	Caulerpaceae	genus	ACCEPTED
553	553	Charybdis hellerii (A. Milne-Edwards, 1867)		Animalia	Arthropoda	Malacostraca	Decapoda	Portunidae	species	ACCEPTED
554	554	Chenopodium album L.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Chenopodiaceae	species	ACCEPTED
555	555	Chenopodium murale L.		Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Chenopodiaceae	species	ACCEPTED
556	556	Clarias gariepinus (Burchell, 1822)		Animalia	Chordata	Actinopterygii	Siluriformes	Clariidae	species	ACCEPTED
557	557	Cochlodinium polykrikoides Margalef, 1961		Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	species	ACCEPTED
558	558	Colius striatus Gmelin, 1789		Animalia	Chordata	Aves	Coliiformes	Coliidae	species	ACCEPTED
559	559	Columba guinea Linnaeus, 1758		Animalia	Chordata	Aves	Columbiformes	Columbidae	species	ACCEPTED
560	560	Columba livia Gmelin, 1789		Animalia	Chordata	Aves	Columbiformes	Columbidae	species	ACCEPTED
561	561	Convolvulus arvensis L.		Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	species	ACCEPTED
562	562	Conyza bonariensis (L.) Cronquist	Erigeron bonariensis Hort.	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	species	SYNONYM
563	563	Corvus macrorhynchos Wagler, 1827		Animalia	Chordata	Aves	Passeriformes	Corvidae	species	ACCEPTED
564	564	Corvus splendens Vieillot, 1817		Animalia	Chordata	Aves	Passeriformes	Corvidae	species	ACCEPTED
565	565	Ctenopharyngodon idella (Valenciennes, 1844)		Animalia	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	species	ACCEPTED
566	566	Culex quinquefasciatus Say, 1823		Animalia	Arthropoda	Insecta	Diptera	Culicidae	species	ACCEPTED
567	567	Culicoides kingi (Austen, 1912)		Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	species	ACCEPTED
568	568	Cuscuta campestris Yunck.	Cuscuta pentagona Engelm.	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	species	SYNONYM
569	569	Cygnus atratus (Latham, 1790)		Animalia	Chordata	Aves	Anseriformes	Anatidae	species	ACCEPTED
