id	isInvasive	habitat
111300	Null	Terrestrial
111301	Null	Terrestrial
111302	Null	Terrestrial
111303	Null	Terrestrial
111304	Null	Terrestrial
111305	Null	Terrestrial
111306	Null	Terrestrial
111307	Null	Terrestrial
111308	Invasive	Terrestrial
111309	Invasive	Terrestrial
111310	Null	Terrestrial
111311	Invasive	Terrestrial
111312	Invasive	Terrestrial
111313	Invasive	Terrestrial
111314	Invasive	Terrestrial
111315	Invasive	Terrestrial
111316	Null	Terrestrial
111317	Null	Terrestrial
111318	Invasive	Terrestrial
111319	Invasive	Terrestrial
111320	Invasive	Terrestrial
111321	Invasive	Terrestrial
111322	Null	Terrestrial
111323	Invasive	Terrestrial
111324	Null	Terrestrial
111325	Invasive	Terrestrial
111326	Null	Terrestrial
111327	Null	Terrestrial
111328	Null	Terrestrial
111329	Invasive	Terrestrial
111330	Null	Terrestrial
111331	Null	Terrestrial
111332	Null	Terrestrial
111333	Null	Terrestrial
111334	Null	Terrestrial
111335	Null	Marine
111336	Null	Marine
111337	Invasive	Terrestrial
111338	Null	Terrestrial
111339	Null	Terrestrial
111340	Null	Terrestrial
111341	Null	Marine
111342	Null	Marine
111343	Null	Marine
111344	Invasive	Terrestrial
111345	Invasive	Terrestrial
111346	Invasive	Terrestrial
111347	Invasive	Terrestrial
111348	Invasive	Terrestrial
111349	Invasive	Terrestrial
111350	Null	Terrestrial
111351	Invasive	Host
111352	Null	Terrestrial
111353	Null	Terrestrial
111354	Invasive	Terrestrial
111355	Null	Terrestrial
111356	Null	Terrestrial
111357	Invasive	Terrestrial
111358	Invasive	Terrestrial
111359	Null	Terrestrial
111360	Null	Terrestrial
111361	Null	Terrestrial
111362	Null	Terrestrial
111363	Invasive	Terrestrial
111364	Null	Terrestrial
111365	Null	Terrestrial
111366	Null	Host
111367	Invasive	Terrestrial
111368	Null	Freshwater
111369	Null	Freshwater
111370	Null	Terrestrial
111371	Null	Terrestrial
111372	Null	Terrestrial
111373	Null	Terrestrial
111374	Null	Terrestrial
111375	Null	Terrestrial
111376	Null	Terrestrial
111377	Null	Terrestrial
111378	Null	Host
111379	Null	Terrestrial
111380	Null	Terrestrial
111381	Null	Terrestrial
111382	Invasive	Terrestrial
111383	Null	Terrestrial
111384	Null	Terrestrial
111385	Null	Terrestrial
111386	Null	Host
111387	Invasive	Host
111388	Invasive	Host
111389	Invasive	Terrestrial
111390	Null	Terrestrial
111391	Invasive	Terrestrial
111392	Null	Terrestrial
111393	Invasive	Terrestrial
111394	Null	Terrestrial
111395	Null	Terrestrial
111396	Null	Terrestrial
111397	Null	Terrestrial
111398	Null	Host
111399	Null	Host
111400	Null	Terrestrial
111401	Invasive	Terrestrial
111402	Invasive	Terrestrial
111403	Null	Terrestrial
111404	Null	Terrestrial
111405	Invasive	Terrestrial
111406	Null	Terrestrial
111407	Invasive	Terrestrial
111408	Null	Terrestrial
111409	Null	Terrestrial
111410	Null	Terrestrial
111411	Null	Freshwater
111412	Null	Host
111413	Null	Terrestrial
111414	Null	Terrestrial
111415	Null	Terrestrial
111416	Null	Terrestrial
111417	Null	Terrestrial
111418	Invasive	Terrestrial
111419	Null	Terrestrial
111420	Null	Terrestrial
111421	Null	Terrestrial
111422	Null	Terrestrial
111423	Null	Freshwater
111424	Null	Terrestrial
111425	Null	Terrestrial
111426	Null	Terrestrial
111427	Invasive	Terrestrial
111428	Null	Terrestrial
111429	Null	Terrestrial
111430	Invasive	Terrestrial
111431	Null	Terrestrial
111432	Null	Terrestrial
111433	Null	Terrestrial
111434	Null	Terrestrial
111435	Null	Freshwater
111436	Invasive	Terrestrial
111437	Null	Terrestrial
111438	Null	Terrestrial
111439	Invasive	Terrestrial
111440	Null	Terrestrial
111441	Null	Terrestrial
111442	Invasive	Terrestrial
111443	Invasive	Terrestrial
111444	Null	Terrestrial
111445	Invasive	Terrestrial
111446	Invasive	Terrestrial
111447	Invasive	Terrestrial
111448	Null	Terrestrial
111449	Invasive	Terrestrial
111450	Invasive	Terrestrial
111451	Invasive	Terrestrial
111452	Invasive	Terrestrial
111453	Null	Terrestrial
111454	Null	Terrestrial
111455	Null	Terrestrial
111456	Null	Terrestrial
111457	Null	Terrestrial
111458	Null	Terrestrial
111459	Null	Terrestrial
111460	Invasive	Terrestrial
111461	Null	Terrestrial
111462	Invasive	Terrestrial
111463	Invasive	Terrestrial
111464	Invasive	Terrestrial
111465	Null	Terrestrial
111466	Null	Terrestrial
111467	Null	Marine
111468	Invasive	Terrestrial
111469	Invasive	Terrestrial
111470	Invasive	Terrestrial
111471	Null	Terrestrial
111472	Null	Terrestrial
111473	Null	Terrestrial
111474	Null	Terrestrial
111475	Null	Terrestrial
111476	Null	Terrestrial
111477	Invasive	Host
111478	Invasive	Host
