id	isInvasive	habitat
124000	Invasive	Terrestrial
124001	Invasive	Terrestrial
124002	Invasive	Terrestrial
124003	Null	Freshwater|Brackish|Marine
124004	Invasive	Terrestrial|Freshwater
124005	Invasive	Terrestrial
124006	Invasive	Terrestrial
124007	Invasive	Terrestrial
124008	Invasive	Terrestrial
124009	Invasive	Terrestrial
124010	Null	Terrestrial
124011	Null	Freshwater|Brackish
124012	Invasive	Terrestrial
124013	Invasive	Terrestrial
124014	Invasive	Terrestrial
124015	Invasive	Marine
124016	Invasive	Terrestrial
124017	Invasive	Terrestrial
124018	Invasive	Terrestrial
124019	Invasive	Terrestrial
124020	Null	Freshwater|Brackish
124021	Invasive	Terrestrial
124022	Invasive	Terrestrial|Freshwater
124023	Invasive	Terrestrial|Freshwater
124024	Invasive	Freshwater|Brackish
124025	Invasive	Terrestrial
124026	Invasive	Terrestrial
124027	Invasive	Terrestrial
124028	Invasive	Marine
124029	Invasive	Terrestrial
124030	Invasive	Terrestrial
124031	Invasive	Terrestrial
124032	Invasive	Terrestrial
124033	Invasive	Terrestrial
124034	Invasive	Terrestrial
124035	Invasive	Terrestrial
124036	Invasive	Terrestrial
124037	Invasive	Terrestrial
124038	Invasive	Terrestrial
124039	Null	Terrestrial
124040	Invasive	Terrestrial
124041	Invasive	Terrestrial
124042	Invasive	Terrestrial
124043	Invasive	Terrestrial
124044	Invasive	Terrestrial
124045	Invasive	Freshwater|Brackish
124046	Invasive	Terrestrial|Freshwater
124047	Invasive	Terrestrial
124048	Invasive	Terrestrial
124049	Null	Freshwater
124050	Null	Marine
124051	Invasive	Terrestrial
124052	Invasive	Marine
124053	Invasive	Terrestrial
124054	Invasive	Terrestrial
124055	Invasive	Terrestrial
124056	Invasive	Marine
124057	Null	Freshwater|Brackish|Marine
124058	Null	Terrestrial
124059	Null	Terrestrial
124060	Invasive	Terrestrial
124061	Null	Terrestrial
124062	Null	Terrestrial
124063	Invasive	Terrestrial
124064	Null	Terrestrial
124065	Invasive	Terrestrial
124066	Null	Terrestrial
124067	Invasive	Terrestrial
124068	Invasive	Terrestrial
124069	Invasive	Terrestrial
124070	Invasive	Terrestrial
124071	Invasive	Terrestrial
124072	Invasive	Marine
124073	Invasive	Terrestrial
124074	Invasive	Terrestrial
124075	Invasive	Terrestrial
124076	Invasive	Terrestrial
124077	Invasive	Terrestrial
124078	Invasive	Terrestrial
124079	Invasive	Terrestrial
124080	Null	Terrestrial
124081	Invasive	Terrestrial
124082	Invasive	Terrestrial
124083	Invasive	Terrestrial
124084	Null	Terrestrial
124085	Invasive	Terrestrial
124086	Invasive	Terrestrial
124087	Invasive	Terrestrial
124088	Invasive	Marine
124089	Invasive	Terrestrial
124090	Invasive	Terrestrial
124091	Invasive	Host
124092	Invasive	Terrestrial|Freshwater
124093	Invasive	Host
124094	Invasive	Terrestrial
124095	Invasive	Terrestrial
124096	Null	Terrestrial
124097	Null	Terrestrial
124098	Null	Terrestrial
