id	isInvasive	habitat
8955	null	Terrestrial
8956	invasive	Terrestrial
8957	invasive	Marine
8958	null	Terrestrial
8959	invasive	Terrestrial
8960	invasive	Terrestrial
8961	null	Terrestrial
8962	null	Terrestrial
8963	invasive	Terrestrial
8964	null	Terrestrial
8965	null	Terrestrial
8966	null	Terrestrial
8967	null	Terrestrial
8968	invasive	Terrestrial
8969	null	Terrestrial
8970	invasive	Terrestrial
8971	null	Terrestrial
8972	null	Marine
8973	null	Marine
8974	null	Terrestrial
8975	invasive	Terrestrial
8976	null	Terrestrial
8977	invasive	Terrestrial
8978	null	Terrestrial
8979	null	Terrestrial
8980	invasive	Terrestrial
8981	null	Terrestrial
8982	null	Terrestrial
8983	null	Terrestrial|Freshwater
8984	null	Terrestrial
8985	invasive	Terrestrial
8986	invasive	Terrestrial
8987	invasive	Terrestrial
8988	invasive	Terrestrial
8989	null	Terrestrial
8990	invasive	Terrestrial
8991	null	Marine
8992	null	Terrestrial
8993	invasive	Terrestrial
8994	null	Terrestrial
8995	invasive	Terrestrial
8996	null	Terrestrial
8997	invasive	Terrestrial
8998	null	Terrestrial
8999	null	Terrestrial
9000	null	Terrestrial
9001	null	Terrestrial
9002	null	Terrestrial
9003	null	Terrestrial
9004	null	Terrestrial
9005	null	Terrestrial
9006	null	Terrestrial
9007	null	Terrestrial
9008	null	Terrestrial
9009	null	Terrestrial
9010	null	Terrestrial
9011	null	Terrestrial
9012	null	Terrestrial
9013	invasive	Terrestrial
9014	null	Terrestrial
9015	invasive	Terrestrial
9016	null	Terrestrial
9017	null	Terrestrial
9018	null	Terrestrial
9019	null	Terrestrial
9020	invasive	Terrestrial
9021	null	Terrestrial
9022	invasive	Terrestrial
9023	null	Marine
9024	null	Marine
9025	null	Terrestrial
9026	invasive	Terrestrial
9027	null	Terrestrial
9028	null	Terrestrial
9029	null	Terrestrial
9030	null	Terrestrial
9031	null	Terrestrial
9032	null	Terrestrial
9033	null	Terrestrial
9034	invasive	Terrestrial
9035	null	Terrestrial
9036	null	Terrestrial
9037	null	Terrestrial
9038	null	Terrestrial
9039	null	Terrestrial
9040	null	Terrestrial
9041	null	Terrestrial
9042	null	Terrestrial
9043	null	Terrestrial
9044	null	Terrestrial
9045	invasive	Freshwater
9046	null	Terrestrial
9047	invasive	terrestrial|freshwater|marine
9048	null	Terrestrial
9049	null	Terrestrial
9050	null	Terrestrial
9051	null	Terrestrial
9052	null	Terrestrial
9053	null	Terrestrial
9054	null	Terrestrial
9055	invasive	Terrestrial
9056	null	Terrestrial
9057	invasive	Terrestrial
9058	null	Terrestrial
9059	null	Terrestrial
9060	invasive	Terrestrial
9061	null	Terrestrial
9062	null	Terrestrial
9063	invasive	Terrestrial
9064	null	Terrestrial
9065	invasive	Terrestrial
9066	invasive	Freshwater
9067	null	Terrestrial
9068	invasive	Terrestrial
9069	null	Terrestrial
9070	null	Terrestrial
9071	null	Terrestrial
9072	invasive	Terrestrial
9073	invasive	Terrestrial
9074	null	Terrestrial
9075	null	Terrestrial
9076	invasive	Terrestrial
9077	null	Terrestrial
9078	null	Freshwater
9079	null	Terrestrial
9080	invasive	Terrestrial
9081	invasive	Terrestrial
9082	null	Terrestrial|Freshwater
9083	null	Terrestrial|Freshwater
9084	null	Terrestrial|Freshwater
9085	null	Terrestrial
9086	invasive	Terrestrial
9087	invasive	Terrestrial
9088	invasive	Terrestrial
9089	null	Terrestrial|Freshwater
9090	null	terrestrial
9091	null	terrestrial
9092	null	Terrestrial|Freshwater
9093	invasive	Terrestrial
9094	null	Terrestrial
9095	null	Terrestrial
9096	null	Terrestrial
9097	null	Terrestrial
9098	null	Terrestrial
9099	null	Terrestrial
9100	null	Terrestrial
9101	invasive	Terrestrial
9102	invasive	Terrestrial
9103	invasive	Terrestrial
9104	invasive	Terrestrial
9105	null	Terrestrial
9106	invasive	Terrestrial
9107	null	Terrestrial
9108	invasive	Terrestrial
9109	invasive	Terrestrial
9110	null	Terrestrial
9111	null	Terrestrial
9112	null	Terrestrial
9113	null	Terrestrial
9114	invasive	Freshwater|Marine
9115	null	Freshwater|marine
9116	invasive	Terrestrial
9117	null	Terrestrial
9118	null	Terrestrial
9119	null	Terrestrial
9120	invasive	Terrestrial
9121	null	Terrestrial
9122	null	Terrestrial
9123	invasive	Terrestrial
9124	invasive	Terrestrial
9125	null	Terrestrial|Freshwater
9126	invasive	Terrestrial
9127	invasive	Terrestrial
9128	null	Terrestrial
9129	invasive	Terrestrial
9130	null	Terrestrial
9131	invasive	Terrestrial
9132	invasive	Terrestrial
9133	invasive	Terrestrial
9134	null	Terrestrial
9135	null	Terrestrial
9136	invasive	Terrestrial
9137	null	Terrestrial
9138	null	Terrestrial
9139	null	Terrestrial
9140	null	Terrestrial
9141	null	Terrestrial
9142	invasive	Terrestrial
9143	invasive	Terrestrial
9144	invasive	Freshwater
9145	invasive	Terrestrial
9146	invasive	Terrestrial
9147	invasive	Freshwater
9148	null	Terrestrial
9149	null	Terrestrial
9150	null	Terrestrial
9151	null	Terrestrial
9152	invasive	Terrestrial
9153	null	Terrestrial
9154	invasive	Terrestrial
9155	null	Terrestrial
9156	invasive	Terrestrial
9157	invasive	Terrestrial
9158	invasive	Terrestrial
9159	invasive	Terrestrial
9160	null	Terrestrial
9161	invasive	Terrestrial
9162	null	Terrestrial
9163	null	Terrestrial
9164	null	Terrestrial
9165	invasive	Terrestrial
9166	null	Freshwater
9167	null	Terrestrial
9168	null	Marine
9169	null	Terrestrial
9170	null	Terrestrial
9171	invasive	Terrestrial
9172	null	Terrestrial
9173	invasive	Terrestrial
9174	null	Terrestrial
9175	invasive	Terrestrial
9176	invasive	Terrestrial
9177	invasive	Terrestrial
9178	null	Terrestrial
9179	null	Terrestrial
9180	null	Terrestrial
9181	null	Terrestrial
9182	null	Terrestrial
9183	invasive	Terrestrial
9184	null	Terrestrial
9185	null	Terrestrial
9186	null	Terrestrial
9187	null	Terrestrial
9188	invasive	Terrestrial
9189	null	Terrestrial
9190	invasive	Terrestrial
9191	null	Terrestrial
9192	null	Terrestrial
9193	invasive	Terrestrial
9194	null	Terrestrial
9195	null	Terrestrial
9196	null	Terrestrial
9197	null	Terrestrial
9198	invasive	Terrestrial
9199	null	Terrestrial
9200	null	Terrestrial
9201	null	Terrestrial
9202	null	Terrestrial
9203	null	Terrestrial
9204	null	Terrestrial
9205	null	Terrestrial
9206	invasive	Terrestrial
9207	null	Terrestrial
9208	null	Terrestrial
9209	null	Terrestrial
9210	invasive	Terrestrial
9211	invasive	Terrestrial
9212	invasive	Terrestrial
9213	invasive	Terrestrial
9214	null	Terrestrial
9215	invasive	Terrestrial
9216	invasive	Terrestrial
9217	null	Marine
9218	null	Marine
