id	isInvasive	habitat
17500	Null	Terrestrial
17501	Null	Terrestrial
17502	Invasive	Terrestrial
17503	Invasive	Terrestrial
17504	Invasive	Terrestrial
17505	Invasive	Terrestrial
17506	Null	Terrestrial
17507	Null	Terrestrial
17508	Null	Terrestrial
17509	Null	Terrestrial
17510	Null	Terrestrial|Freshwater
17511	Invasive	Terrestrial
17512	Null	Terrestrial
17513	Null	Terrestrial
17514	Null	Terrestrial
17515	Null	Terrestrial
17516	Invasive	Terrestrial
17517	Null	Terrestrial
17518	Invasive	Terrestrial
17519	Invasive	Terrestrial
17520	Null	Terrestrial
17521	Null	Terrestrial
17522	Invasive	Terrestrial
17523	Null	Terrestrial
17524	Invasive	Terrestrial
17525	Null	Terrestrial
17526	Invasive	Terrestrial
17527	Invasive	Terrestrial
17528	Null	Terrestrial
17529	Null	Terrestrial
17530	Invasive	Terrestrial
17531	Null	Terrestrial
17532	Null	Terrestrial
17533	Null	Terrestrial
17534	Null	Terrestrial
17535	Null	Terrestrial
17536	Null	Terrestrial
17537	Null	Terrestrial
17538	Null	Terrestrial
17539	Null	Terrestrial
17540	Null	Terrestrial
17541	Invasive	Terrestrial
17542	Null	Terrestrial
17543	Null	Terrestrial
17544	Null	Terrestrial
17545	Null	Terrestrial
17546	Invasive	Terrestrial
17547	Invasive	Terrestrial
17548	Null	Terrestrial
17549	Null	Terrestrial
17550	Null	Terrestrial
17551	Invasive	Terrestrial
17552	Null	Terrestrial
17553	Null	Terrestrial
17554	Invasive	Terrestrial
17555	Invasive	Terrestrial
17556	Invasive	Terrestrial
17557	Null	Terrestrial
17558	Null	Terrestrial
17559	Invasive	Terrestrial
17560	Invasive	Terrestrial
17561	Invasive	Terrestrial
17562	Invasive	Terrestrial
17563	Null	Terrestrial
17564	Null	Terrestrial
17565	Null	Terrestrial
17566	Null	Terrestrial
17567	Invasive	Terrestrial
17568	Null	Terrestrial
17569	Null	Terrestrial
17570	Null	Terrestrial
17571	Null	Terrestrial
17572	Null	Terrestrial
17573	Null	Terrestrial
17574	Null	Terrestrial
17575	Null	Terrestrial
17576	Invasive	Terrestrial
17577	Null	Terrestrial
17578	Null	Terrestrial
17579	Null	Terrestrial|Freshwater
17580	Invasive	Terrestrial
17581	Null	Terrestrial
17582	Invasive	Terrestrial
17583	Null	Terrestrial
17584	Null	Terrestrial
