id	isInvasive	habitat
53999	Null	Terrestrial
54000	Null	Terrestrial
54001	Null	Terrestrial
54002	Null	Terrestrial
54003	Null	Terrestrial
54004	Null	Terrestrial
54005	Null	Terrestrial
54006	Null	Terrestrial
54007	Null	Marine
54008	Null	Freshwater|Brackish|Marine
54009	Null	Freshwater|Brackish|Marine
54010	Null	Terrestrial
54011	Null	Terrestrial|Freshwater
54012	Null	Terrestrial|Freshwater
54013	Null	Terrestrial
54014	Null	Terrestrial
54015	Null	Terrestrial
54016	Null	Terrestrial
54017	Null	Terrestrial
54018	Null	Terrestrial
54019	Null	Terrestrial
54020	Null	Terrestrial
54021	Null	Marine
54022	Null	Terrestrial
54023	Null	Terrestrial
54024	Null	Terrestrial|Freshwater
54025	Null	Terrestrial|Freshwater
54026	Null	Terrestrial
54027	Invasive	Terrestrial
54028	Null	Terrestrial
54029	Null	Freshwater|Brackish
54030	Null	Marine
54031	Null	Freshwater|Brackish|Marine
54032	Null	Freshwater|Brackish|Marine
54033	Null	Terrestrial
54034	Null	Terrestrial
54035	Null	Terrestrial
54036	Null	Terrestrial
54037	Null	Terrestrial
54038	Null	Terrestrial
54039	Null	Terrestrial
54040	Invasive	Terrestrial
54041	Null	Freshwater
54042	Null	Terrestrial
54043	Null	Host
54044	Null	Host
54045	Null	Terrestrial
54046	Null	Terrestrial
54047	Invasive	Host
54048	Invasive	Terrestrial
54049	Null	Terrestrial
54050	Null	Terrestrial
54051	Null	Terrestrial
54052	Null	Terrestrial
54053	Null	Terrestrial
54054	Null	Terrestrial
54055	Invasive	Terrestrial
54056	Null	Freshwater
54057	Null	Marine
54058	Invasive	Terrestrial
54059	Null	Terrestrial
54060	Null	Terrestrial
54061	Null	Freshwater
54062	Null	Freshwater
54063	Null	Terrestrial
54064	Null	Terrestrial
54065	Null	Terrestrial
54066	Null	Terrestrial
54067	Null	Freshwater
54068	Null	Terrestrial
54069	Null	Terrestrial
54070	Null	Terrestrial
54071	Null	Terrestrial
54072	Null	Freshwater
54073	Null	Terrestrial
54074	Null	Freshwater
54075	Invasive	Freshwater
54076	Null	Terrestrial
54077	Invasive	Terrestrial
54078	Null	Terrestrial
54079	Null	Freshwater|Brackish
54080	Null	Terrestrial
54081	Invasive	Freshwater|Brackish
54082	Invasive	Freshwater
54083	Null	Terrestrial
54084	Null	Terrestrial
54085	Null	Freshwater
54086	Null	Terrestrial
54087	Null	Terrestrial
54088	Null	Terrestrial
54089	Null	Terrestrial
54090	Null	Terrestrial
54091	Null	Terrestrial
54092	Null	Terrestrial
54093	Null	Marine
54094	Invasive	Terrestrial|Freshwater
54095	Null	Terrestrial
54096	Null	Freshwater
54097	Null	Terrestrial|Freshwater
54098	Invasive	Host
54099	Null	Terrestrial
54100	Null	Terrestrial
54101	Null	Terrestrial|Freshwater
54102	Null	Terrestrial|Freshwater
54103	Null	Terrestrial|Freshwater
54104	Null	Terrestrial|Freshwater
54105	Null	Terrestrial|Freshwater
54106	Invasive	Freshwater
54107	Null	Terrestrial
54108	Null	Terrestrial
54109	Null	Terrestrial
54110	Null	Terrestrial
54111	Null	Terrestrial
54112	Null	Terrestrial
54113	Null	Terrestrial
54114	Null	Terrestrial
54115	Null	Terrestrial
54116	Null	Terrestrial
54117	Null	Terrestrial
54118	Null	Terrestrial
54119	Null	Terrestrial
54120	Invasive	Freshwater
54121	Null	Terrestrial
54122	Null	Terrestrial
54123	Null	Terrestrial|Freshwater
54124	Null	Terrestrial
54125	Null	Terrestrial
54126	Null	Terrestrial
54127	Null	Terrestrial
54128	Null	Terrestrial
54129	Null	Terrestrial
54130	Null	Terrestrial
54131	Null	Terrestrial
54132	Null	Terrestrial
54133	Null	Terrestrial
54134	Null	Terrestrial
54135	Null	Terrestrial
54136	Null	Terrestrial
54137	Null	Terrestrial
54138	Null	Terrestrial
54139	Null	Terrestrial
54140	Null	Terrestrial|Freshwater
54141	Null	Terrestrial|Freshwater
54142	Null	Host
54143	Null	Terrestrial
54144	Invasive	Freshwater|Brackish
54145	Invasive	Freshwater|Brackish
54146	Null	Terrestrial
54147	Null	Terrestrial
54148	Null	Terrestrial
54149	Null	Marine
54150	Null	Terrestrial
54151	Null	Terrestrial
54152	Null	Terrestrial
54153	Null	Terrestrial
54154	Invasive	Terrestrial
54155	Null	Terrestrial
54156	Null	Freshwater
54157	Null	Freshwater
54158	Null	Terrestrial
54159	Null	Terrestrial
54160	Null	Terrestrial
54161	Invasive	Host
54162	Null	Freshwater
54163	Null	Terrestrial
54164	Null	Freshwater|Brackish|Marine
54165	Invasive	Freshwater
54166	Invasive	Freshwater
54167	Null	Freshwater
54168	Invasive	Freshwater
54169	Null	Terrestrial
54170	Null	Terrestrial
54171	Null	Terrestrial
54172	Null	Freshwater
54173	Null	Terrestrial
54174	Null	Terrestrial|Freshwater
54175	Null	Terrestrial
54176	Null	Terrestrial
54177	Null	Terrestrial
54178	Null	Terrestrial
54179	Null	Terrestrial
54180	Null	Terrestrial
54181	Null	Marine
54182	Null	Freshwater|Brackish
54183	Null	Terrestrial
54184	Invasive	Terrestrial
54185	Null	Terrestrial|Freshwater
54186	Null	Freshwater
54187	Null	Terrestrial
54188	Null	Terrestrial
54189	Null	Terrestrial
54190	Null	Terrestrial
54191	Null	Terrestrial
54192	Null	Terrestrial
54193	Null	Freshwater
54194	Null	Marine
54195	Invasive	Terrestrial
54196	Null	Terrestrial|Freshwater
54197	Null	Brackish|Marine
54198	Null	Terrestrial
54199	Null	Terrestrial|Freshwater
54200	Null	Freshwater
54201	Null	Terrestrial
54202	Null	Freshwater
54203	Null	Freshwater
54204	Null	Terrestrial
54205	Null	Terrestrial
54206	Null	Terrestrial
54207	Null	Terrestrial
54208	Null	Terrestrial
54209	Null	Terrestrial
54210	Null	Terrestrial
54211	Invasive	Freshwater
54212	Invasive	Freshwater
54213	Null	Terrestrial
54214	Invasive	Terrestrial
54215	Invasive	Terrestrial
54216	Null	Terrestrial
54217	Null	Terrestrial
54218	Null	Terrestrial
54219	Null	Freshwater
54220	Null	Terrestrial
54221	Null	Terrestrial
54222	Null	Terrestrial
54223	Null	Freshwater
54224	Invasive	Terrestrial|Freshwater
54225	Null	Freshwater
54226	Null	Freshwater
54227	Null	Freshwater
54228	Null	Host
54229	Null	Terrestrial
54230	Null	Freshwater|Brackish|Marine
54231	Null	Terrestrial
54232	Invasive	Terrestrial
54233	Null	Freshwater|Brackish
54234	Null	Freshwater|Brackish
54235	Null	Freshwater|Brackish
54236	Null	Terrestrial
54237	Null	Terrestrial
54238	Null	Terrestrial|Freshwater
54239	Null	Freshwater|Brackish
54240	Null	Terrestrial
54241	Null	Terrestrial
54242	Null	Terrestrial
54243	Null	Freshwater|Brackish
54244	Null	Terrestrial
54245	Invasive	Terrestrial
54246	Null	Terrestrial
54247	Null	Brackish|Marine
54248	Null	Terrestrial
54249	Null	Terrestrial
54250	Invasive	Terrestrial
54251	Null	Terrestrial
54252	Null	Terrestrial
54253	Null	Terrestrial
54254	Null	Terrestrial
54255	Null	Terrestrial|Freshwater
54256	Null	Terrestrial
54257	Invasive	Terrestrial
54258	Null	Terrestrial
54259	Null	Terrestrial
54260	Invasive	Terrestrial
54261	Null	Terrestrial
54262	Null	Terrestrial
54263	Null	Terrestrial
54264	Null	Host
54265	Invasive	Terrestrial|Freshwater
54266	Null	Terrestrial
54267	Invasive	Host
54268	Null	Freshwater
54269	Null	Freshwater
54270	Null	Terrestrial
54271	Null	Terrestrial
54272	Invasive	Freshwater
54273	Null	Terrestrial
54274	Null	Terrestrial
54275	Invasive	Freshwater|Brackish
54276	Null	Freshwater|Brackish
54277	Null	Terrestrial
54278	Null	Terrestrial
54279	Invasive	Freshwater
54280	Invasive	Freshwater
54281	Invasive	Freshwater
54282	Null	Terrestrial
54283	Null	Terrestrial
54284	Null	Freshwater
54285	Null	Freshwater
54286	Null	Terrestrial
54287	Null	Terrestrial
54288	Null	Terrestrial|Freshwater
54289	Null	Freshwater
54290	Invasive	Freshwater
54291	Invasive	Freshwater
54292	Null	Terrestrial
54293	Null	Terrestrial
54294	Null	Freshwater
54295	Null	Terrestrial
54296	Null	Terrestrial
54297	Null	Terrestrial
54298	Null	Terrestrial
54299	Null	Terrestrial
54300	Null	Terrestrial
54301	Invasive	Freshwater
54302	Null	Terrestrial
54303	Null	Terrestrial
54304	Null	Brackish|Marine
54305	Null	Terrestrial
54306	Null	Terrestrial
54307	Null	Terrestrial
54308	Null	Terrestrial
54309	Null	Terrestrial
54310	Null	Terrestrial
54311	Null	Terrestrial
54312	Null	Terrestrial
54313	Null	Terrestrial
54314	Null	Freshwater|Brackish
54315	Null	Freshwater
54316	Null	Terrestrial
54317	Null	Terrestrial
54318	Null	Terrestrial
54319	Null	Terrestrial
54320	Null	Terrestrial
54321	Null	Terrestrial
54322	Null	Terrestrial
54323	Null	Terrestrial
54324	Null	Terrestrial
54325	Invasive	Terrestrial
54326	Null	Terrestrial
54327	Null	Terrestrial
54328	Null	Terrestrial
54329	Null	Terrestrial
54330	Null	Terrestrial
54331	Null	Terrestrial
54332	Null	Terrestrial
54333	Null	Terrestrial
54334	Null	Terrestrial
54335	Null	Terrestrial
54336	Null	Freshwater
54337	Invasive	Terrestrial|Freshwater
54338	Null	Terrestrial
54339	Null	Terrestrial
54340	Null	Marine
54341	Null	Terrestrial
54342	Null	Terrestrial
54343	Null	Freshwater
54344	Null	Terrestrial
54345	Invasive	Terrestrial
54346	Null	Terrestrial
54347	Invasive	Host
54348	Null	Terrestrial
