id	isInvasive	habitat
110400	Invasive	Terrestrial
110401	Null	Terrestrial
110402	Invasive	Terrestrial
110403	Invasive	Terrestrial
110404	Null	Terrestrial
110405	Null	Terrestrial
110406	Invasive	Terrestrial
110407	Null	Terrestrial
110408	Invasive	Terrestrial
110409	Invasive	Terrestrial
110410	Invasive	Terrestrial
110411	Null	Terrestrial
110412	Null	Terrestrial
110413	Invasive	Terrestrial
110414	Invasive	Terrestrial
110415	Invasive	Terrestrial
110416	Null	Terrestrial
110417	Invasive	Terrestrial
110418	Null	Terrestrial
110419	Null	Terrestrial
110420	Invasive	Terrestrial
110421	Null	Terrestrial
110422	Null	Terrestrial
110423	Null	Terrestrial|Freshwater
110424	Invasive	Terrestrial
110425	Invasive	Terrestrial
110426	Invasive	Terrestrial
110427	Invasive	Terrestrial
110428	Invasive	Terrestrial
110429	Invasive	Terrestrial
110430	Null	Marine
110431	Null	Freshwater
110432	Null	Terrestrial
110433	Invasive	Terrestrial
110434	Invasive	Freshwater
110435	Null	Freshwater
110436	Null	Terrestrial
110437	Null	Terrestrial
110438	Invasive	Terrestrial
110439	Null	Terrestrial
110440	Invasive	Terrestrial
110441	Null	Terrestrial
110442	Null	Marine
110443	Invasive	Terrestrial
110444	Invasive	Terrestrial
110445	Null	Terrestrial
110446	Null	Terrestrial
110447	Null	Terrestrial
110448	Invasive	Terrestrial
110449	Invasive	Terrestrial
110450	Invasive	Terrestrial
110451	Invasive	Terrestrial
110452	Null	Terrestrial
110453	Null	Terrestrial
110454	Invasive	Terrestrial
110455	Invasive	Terrestrial
110456	Invasive	Terrestrial
110457	Invasive	Terrestrial
110458	Invasive	Terrestrial
110459	Invasive	Terrestrial
110460	Null	Terrestrial
110461	Null	Terrestrial
110462	Invasive	Terrestrial
110463	Invasive	Terrestrial
110464	Invasive	Terrestrial
110465	Invasive	Terrestrial
110466	Null	Terrestrial
110467	Null	Terrestrial
110468	Null	Terrestrial
110469	Invasive	Terrestrial
110470	Invasive	Freshwater
110471	Null	Terrestrial
110472	Null	Terrestrial
110473	Null	Terrestrial
110474	Null	Terrestrial
110475	Invasive	Terrestrial
110476	Invasive	Terrestrial
110477	Null	Terrestrial
110478	Null	Terrestrial
110479	Null	Terrestrial
110480	Null	Terrestrial
110481	Null	Terrestrial
110482	Null	Freshwater|Brackish
110483	Null	Host
110484	Null	Freshwater|Brackish
110485	Invasive	Terrestrial
110486	Invasive	Terrestrial
110487	Invasive	Terrestrial
110488	Invasive	Terrestrial
110489	Invasive	Terrestrial
110490	Null	Terrestrial
110491	Invasive	Terrestrial
110492	Invasive	Terrestrial
110493	Null	Terrestrial
110494	Invasive	Terrestrial
110495	Invasive	Terrestrial
110496	Null	Terrestrial
110497	Null	Terrestrial
110498	Null	Terrestrial
110499	Invasive	Freshwater
110500	Invasive	Terrestrial
110501	Null	Terrestrial
110502	Invasive	Terrestrial
110503	Null	Terrestrial
110504	Null	Terrestrial
110505	Null	Terrestrial
110506	Null	Terrestrial
110507	Null	Terrestrial
110508	Invasive	Terrestrial
110509	Invasive	Terrestrial
110510	Null	Terrestrial
110511	Null	Freshwater|Brackish
110512	Null	Terrestrial
110513	Invasive	Terrestrial
110514	Null	Terrestrial
110515	Null	Terrestrial
110516	Null	Terrestrial
110517	Null	Terrestrial
110518	Invasive	Terrestrial
110519	Null	Terrestrial
110520	Null	Terrestrial
110521	Null	Terrestrial
110522	Null	Freshwater|Brackish
110523	Invasive	Terrestrial
110524	Invasive	Terrestrial
110525	Invasive	Terrestrial
110526	Invasive	Terrestrial
110527	Null	Terrestrial
110528	Null	Terrestrial
110529	Null	Terrestrial
110530	Invasive	Terrestrial
110531	Invasive	Terrestrial
110532	Invasive	Terrestrial
110533	Null	Terrestrial
110534	Invasive	Terrestrial
110535	Invasive	Terrestrial
110536	Null	Terrestrial
110537	Invasive	Freshwater
110538	Invasive	Terrestrial
110539	Null	Terrestrial
110540	Null	Freshwater
110541	Null	Freshwater
110542	Invasive	Terrestrial
110543	Invasive	Freshwater
110544	Null	Freshwater
110545	Invasive	Terrestrial
110546	Null	Terrestrial
110547	Invasive	Terrestrial
110548	Invasive	Terrestrial
110549	Null	Freshwater
110550	Null	Freshwater
110551	Null	Freshwater
110552	Invasive	Terrestrial
110553	Invasive	Terrestrial
110554	Invasive	Terrestrial
110555	Invasive	Terrestrial
110556	Null	Terrestrial
110557	Null	Terrestrial
110558	Invasive	Terrestrial|Freshwater
110559	Invasive	Freshwater
110560	Null	Freshwater
110561	Null	Terrestrial
110562	Invasive	Terrestrial
110563	Invasive	Terrestrial
110564	Invasive	Terrestrial
110565	Null	Terrestrial
110566	Null	Freshwater|Brackish|Marine
110567	Null	Terrestrial
110568	Null	Terrestrial
110569	Invasive	Terrestrial
110570	Null	Terrestrial
110571	Invasive	Terrestrial
110572	Invasive	Terrestrial
110573	Null	Freshwater|Brackish
110574	Null	Freshwater|Brackish|Marine
110575	Null	Freshwater|Brackish
110576	Invasive	Freshwater|Brackish
110577	Null	Freshwater|Brackish
110578	Invasive	Terrestrial
