id	countryCode	occurrenceStatus	establishmentMeans
16500	WS	Present	Alien
16501	WS	Present	Alien
16502	WS	Present	Alien
16503	WS	Present	Alien
16504	WS	Present	Alien
16505	WS	Present	Alien
16506	WS	Present	Alien
16507	WS	Present	Alien
16508	WS	Present	Alien
16509	WS	Present	Alien
16510	WS	Present	Alien
16511	WS	Present	Alien
16512	WS	Present	Alien
16513	WS	Present	Alien
16514	WS	Present	Alien
16515	WS	Present	Alien
16516	WS	Present	Alien
16517	WS	Present	Alien
16518	WS	Present	Alien
16519	WS	Present	Alien
16520	WS	Present	Alien
16521	WS	Present	Alien
16522	WS	Present	Alien
16523	WS	Present	Alien
16524	WS	Present	Alien
16525	WS	Present	Alien
16526	WS	Present	Alien
16527	WS	Present	Alien
16528	WS	Present	Alien
16529	WS	Present	Alien
16530	WS	Present	Alien
16531	WS	Present	Alien
16532	WS	Present	Alien
16533	WS	Present	Alien
16534	WS	Present	Alien
16535	WS	Present	Alien
16536	WS	Present	Alien
16537	WS	Present	Alien
16538	WS	Present	Alien
16539	WS	Present	Alien
16540	WS	Present	Alien
16541	WS	Present	Alien
16542	WS	Present	Alien
16543	WS	Present	Alien
16544	WS	Present	Alien
16545	WS	Present	Alien
16546	WS	Present	Alien
16547	WS	Present	Alien
16548	WS	Present	Alien
16549	WS	Present	Alien
16550	WS	Present	Alien
16551	WS	Present	Alien
16552	WS	Present	Alien
16553	WS	Present	Alien
16554	WS	Present	Alien
16555	WS	Present	Alien
16556	WS	Present	Alien
16557	WS	Present	Alien
16558	WS	Present	Alien
16559	WS	Present	Alien
16560	WS	Present	Alien
16561	WS	Present	Alien
16562	WS	Present	Alien
16563	WS	Present	Alien
16564	WS	Present	Alien
16565	WS	Present	Alien
16566	WS	Present	Alien
16567	WS	Present	Alien
16568	WS	Present	Alien
16569	WS	Present	Alien
16570	WS	Present	Alien
16571	WS	Present	Alien
16572	WS	Present	Alien
16573	WS	Present	Alien
16574	WS	Present	Alien
16575	WS	Present	Alien
16576	WS	Present	Alien
16577	WS	Present	Alien
16578	WS	Present	Alien
16579	WS	Present	Alien
16580	WS	Present	Alien
16581	WS	Present	Alien
16582	WS	Present	Alien
16583	WS	Present	Alien
16584	WS	Present	Alien
16585	WS	Present	Alien
16586	WS	Present	Alien
16587	WS	Present	Alien
16588	WS	Present	Alien
16589	WS	Present	Alien
16590	WS	Present	Alien
16591	WS	Present	Alien
16592	WS	Present	Alien
16593	WS	Present	Alien
16594	WS	Present	Alien
16595	WS	Present	Alien
16596	WS	Present	Alien
16597	WS	Present	Alien
16598	WS	Present	Alien
16599	WS	Present	Alien
16600	WS	Present	Alien
16601	WS	Present	Alien
16602	WS	Present	Alien
16603	WS	Present	Alien
16604	WS	Present	Alien
16605	WS	Present	Alien
