id	isInvasive	habitat
16500	Invasive	terrestrial
16501	null	terrestrial
16502	null	terrestrial
16503	null	terrestrial
16504	null	terrestrial
16505	null	terrestrial
16506	null	terrestrial
16507	Invasive	marine
16508	null	terrestrial
16509	Invasive	terrestrial
16510	Invasive	terrestrial
16511	Invasive	terrestrial
16512	null	terrestrial|freshwater
16513	Invasive	terrestrial
16514	Invasive	terrestrial
16515	Invasive	terrestrial
16516	Invasive	terrestrial
16517	null	terrestrial
16518	Invasive	terrestrial
16519	null	terrestrial|freshwater
16520	null	terrestrial
16521	null	terrestrial
16522	null	terrestrial
16523	null	terrestrial
16524	null	terrestrial
16525	null	terrestrial
16526	Invasive	terrestrial
16527	null	terrestrial
16528	null	terrestrial
16529	Invasive	terrestrial
16530	null	terrestrial
16531	Invasive	terrestrial
16532	Invasive	terrestrial
16533	Invasive	terrestrial
16534	null	terrestrial
16535	Invasive	terrestrial
16536	null	terrestrial
16537	null	terrestrial
16538	null	terrestrial
16539	Invasive	terrestrial
16540	null	terrestrial
16541	null	terrestrial
16542	Invasive	host
16543	Invasive	terrestrial
16544	Invasive	terrestrial
16545	Invasive	terrestrial
16546	null	terrestrial
16547	null	terrestrial
16548	Invasive	terrestrial
16549	null	terrestrial
16550	null	terrestrial
16551	Invasive	terrestrial
16552	null	terrestrial
16553	null	terrestrial
16554	Invasive	terrestrial
16555	Invasive	terrestrial
16556	Invasive	terrestrial
16557	Invasive	terrestrial
16558	Invasive	terrestrial
16559	null	freshwater
16560	null	freshwater
16561	Invasive	terrestrial
16562	Invasive	terrestrial
16563	Invasive	terrestrial
16564	null	terrestrial
16565	null	marine
16566	null	terrestrial
16567	null	terrestrial
16568	null	terrestrial
16569	Invasive	terrestrial
16570	null	terrestrial
16571	Invasive	terrestrial
16572	null	terrestrial
16573	Invasive	terrestrial
16574	null	terrestrial
16575	Invasive	terrestrial
16576	Invasive	terrestrial
16577	Invasive	terrestrial
16578	null	terrestrial
16579	null	terrestrial
16580	Invasive	terrestrial
16581	null	terrestrial
16582	Invasive	terrestrial
16583	Invasive	terrestrial
16584	Invasive	terrestrial
16585	Invasive	terrestrial
16586	Invasive	terrestrial
16587	Invasive	terrestrial
16588	null	terrestrial
16589	null	terrestrial
16590	null	terrestrial
16591	null	terrestrial
16592	null	terrestrial
16593	Invasive	terrestrial
16594	null	terrestrial
16595	null	terrestrial
16596	Invasive	terrestrial
16597	null	terrestrial
16598	Invasive	terrestrial
16599	null	terrestrial
16600	null	terrestrial
16601	Invasive	terrestrial
16602	null	terrestrial
16603	null	terrestrial
16604	null	terrestrial|freshwater
16605	null	terrestrial
16606	null	host
16607	null	terrestrial
16608	null	terrestrial
16609	null	terrestrial
16610	null	terrestrial|freshwater
16611	null	terrestrial|freshwater
16612	null	terrestrial|freshwater
16613	Invasive	terrestrial|freshwater
16614	null	terrestrial|freshwater
16615	Invasive	terrestrial|freshwater
16616	null	terrestrial
16617	null	terrestrial
16618	null	terrestrial
16619	null	terrestrial
16620	null	terrestrial
16621	Invasive	terrestrial
16622	null	terrestrial
16623	null	terrestrial
16624	null	terrestrial
16625	null	terrestrial
16626	Invasive	terrestrial
16627	null	terrestrial
16628	null	terrestrial
16629	Invasive	terrestrial
16630	null	terrestrial
16631	null	terrestrial
16632	null	terrestrial
16633	null	terrestrial
16634	null	terrestrial
16635	null	terrestrial
16636	Invasive	terrestrial
16637	null	terrestrial
16638	null	terrestrial
16639	null	terrestrial
16640	null	terrestrial
16641	Invasive	freshwater
16642	Invasive	terrestrial
16643	Invasive	terrestrial
16644	null	terrestrial
16645	null	terrestrial
16646	Invasive	terrestrial
16647	null	terrestrial
16648	null	terrestrial
16649	null	terrestrial
16650	null	terrestrial
16651	Invasive	terrestrial
16652	Invasive	terrestrial
16653	null	terrestrial
16654	null	terrestrial
16655	null	terrestrial
16656	null	terrestrial
16657	null	terrestrial
16658	null	terrestrial
16659	Invasive	terrestrial
16660	Invasive	terrestrial
16661	Invasive	terrestrial
16662	Invasive	terrestrial
16663	Invasive	terrestrial
16664	null	terrestrial|freshwater
16665	Invasive	terrestrial
16666	Invasive	terrestrial
16667	Invasive	terrestrial
16668	null	terrestrial
16669	Invasive	terrestrial
16670	null	terrestrial
16671	null	freshwater|brackish
16672	Invasive	freshwater|brackish
16673	null	terrestrial
16674	null	terrestrial
16675	null	terrestrial
16676	Invasive	terrestrial
16677	Invasive	terrestrial
16678	Invasive	terrestrial
16679	Invasive	terrestrial
16680	Invasive	terrestrial
16681	Invasive	terrestrial
16682	null	terrestrial
16683	null	terrestrial
16684	Invasive	terrestrial
16685	Invasive	terrestrial
16686	null	terrestrial
16687	null	terrestrial
16688	Invasive	terrestrial
16689	null	terrestrial
16690	null	terrestrial|freshwater
16691	null	terrestrial
16692	null	terrestrial
16693	Invasive	terrestrial
16694	null	terrestrial
16695	null	terrestrial
16696	Invasive	terrestrial
16697	null	terrestrial
16698	Invasive	terrestrial
