id	locationID	countryCode	occurrenceStatus	establishmentMeans
171500	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171501	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171502	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171503	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171504	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171505	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171506	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171507	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171508	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171509	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171510	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171511	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171512	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171513	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171514	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171515	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171516	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171517	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171518	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171519	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171520	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171521	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171522	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171523	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171524	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171525	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171526	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171527	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171528	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171529	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171530	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171531	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171532	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171533	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171534	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171535	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171536	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171537	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171538	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171539	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171540	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171541	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171542	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171543	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171544	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171545	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171546	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171547	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171548	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171549	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171550	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171551	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171552	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171553	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171554	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171555	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171556	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171557	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171558	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171559	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171560	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171561	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171562	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171563	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171564	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171565	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171566	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171567	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171568	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171569	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171570	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171571	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171572	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171573	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171574	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171575	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171576	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171577	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171578	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171579	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171580	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171581	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171582	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171583	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171584	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171585	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171586	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171587	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171588	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171589	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171590	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171591	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171592	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171593	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171594	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171595	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171596	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171597	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171598	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171599	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171600	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171601	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171602	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171603	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171604	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171605	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171606	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171607	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171608	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171609	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171610	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171611	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171612	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171613	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171614	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171615	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171616	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171617	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171618	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171619	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171620	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171621	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171622	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171623	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171624	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171625	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171626	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171627	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171628	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171629	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171630	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171631	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171632	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171633	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171634	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171635	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171636	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171637	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171638	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171639	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171640	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171641	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171642	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171643	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171644	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171645	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171646	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171647	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171648	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171649	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171650	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171651	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171652	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171653	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171654	British Indian Ocean Territory (BIOT)	IO	Present	Alien
171655	British Indian Ocean Territory (BIOT)	IO	Present	Alien
