id	isInvasive	habitat
170000	Invasive	Terrestrial
170001	Null	Terrestrial
170002	Null	Host
170003	Null	Host
170004	Null	Host
170005	Null	Terrestrial
170006	Null	Terrestrial
170007	Null	Terrestrial
170008	Null	Terrestrial
170009	Null	Terrestrial
170010	Null	Terrestrial
170011	Null	Terrestrial
170012	Invasive	Terrestrial
170013	Null	Terrestrial|Freshwater|Marine
170014	Null	Terrestrial|Freshwater|Marine
170015	Null	Terrestrial
170016	Null	Terrestrial
170017	Null	Terrestrial
170018	Null	Terrestrial
170019	Null	Terrestrial
170020	Null	Terrestrial
170021	Null	Terrestrial
170022	Null	Terrestrial
170023	Null	Terrestrial
170024	Null	Terrestrial
170025	Null	Terrestrial
170026	Null	Terrestrial
170027	Null	Terrestrial
170028	Null	Terrestrial
170029	Null	Terrestrial
170030	Null	Terrestrial
170031	Null	Terrestrial
170032	Invasive	Terrestrial
170033	Null	Terrestrial
170034	Null	Terrestrial
170035	Null	Terrestrial
170036	Null	Terrestrial
170037	Null	Terrestrial
170038	Null	Terrestrial
170039	Null	Terrestrial
170040	Null	Terrestrial
170041	Null	Terrestrial
170042	Null	Terrestrial
170043	Null	Terrestrial
170044	Null	Terrestrial
170045	Invasive	Terrestrial
170046	Null	Terrestrial
170047	Null	Terrestrial
170048	Null	Terrestrial
170049	Null	Terrestrial
170050	Null	Terrestrial
170051	Null	Terrestrial|Freshwater
170052	Null	Terrestrial
170053	Null	Terrestrial
170054	Null	Terrestrial
170055	Null	Terrestrial
170056	Null	Terrestrial
170057	Null	Terrestrial
170058	Null	Terrestrial
170059	Null	Terrestrial
170060	Null	Terrestrial
170061	Null	Terrestrial
170062	Null	Host
170063	Null	Terrestrial
170064	Invasive	Host
170065	Null	Host
170066	Null	Terrestrial
170067	Null	Terrestrial
170068	Invasive	Terrestrial
170069	Null	Terrestrial
170070	Invasive	Terrestrial
170071	Invasive	Host
170072	Null	Terrestrial
170073	Null	Host
170074	Null	Host
170075	Null	Terrestrial
170076	Null	Terrestrial
170077	Null	Terrestrial
170078	Invasive	Host
170079	Invasive	Host
170080	Null	Host
170081	Null	Host
170082	Invasive	Host
170083	Null	Host
170084	Null	Terrestrial
170085	Null	Host
170086	Null	Terrestrial
170087	Null	Terrestrial
170088	Null	Terrestrial
170089	Null	Terrestrial
170090	Null	Terrestrial
170091	Null	Terrestrial
170092	Null	Terrestrial
170093	Null	Host
170094	Null	Terrestrial
170095	Null	Terrestrial
170096	Null	Terrestrial
170097	Null	Terrestrial
170098	Null	Terrestrial
170099	Null	Terrestrial
170100	Null	Terrestrial
170101	Null	Terrestrial
170102	Null	Terrestrial
170103	Null	Terrestrial
170104	Null	Terrestrial
170105	Null	Terrestrial
170106	Null	Terrestrial
170107	Null	Terrestrial
170108	Null	Terrestrial
170109	Null	Terrestrial|Freshwater
170110	Null	Terrestrial
170111	Null	Terrestrial
170112	Null	Terrestrial
170113	Null	Terrestrial
170114	Null	Terrestrial
170115	Null	Terrestrial
170116	Null	Terrestrial
170117	Null	Terrestrial
170118	Null	Terrestrial
170119	Null	Terrestrial
170120	Invasive	Terrestrial
170121	Null	Terrestrial
170122	Null	Terrestrial
170123	Null	Terrestrial
170124	Null	Terrestrial
170125	Null	Terrestrial
170126	Null	Host
170127	Invasive	Terrestrial
170128	Null	Terrestrial
170129	Null	Terrestrial
170130	Null	Host
170131	Null	Terrestrial
170132	Null	Terrestrial
170133	Null	Terrestrial
170134	Null	Terrestrial
170135	Null	Terrestrial
170136	Null	Terrestrial
170137	Null	Terrestrial
170138	Null	Terrestrial
170139	Null	Terrestrial
170140	Null	Terrestrial
170141	Null	Terrestrial
170142	Null	Terrestrial
170143	Null	Terrestrial
170144	Null	Terrestrial
170145	Null	Terrestrial
170146	Null	Terrestrial
170147	Null	Terrestrial
170148	Null	Terrestrial
170149	Null	Terrestrial
170150	Null	Terrestrial
170151	Null	Terrestrial
170152	Null	Terrestrial
170153	Null	Host
170154	Null	Terrestrial
170155	Null	Terrestrial
170156	Null	Terrestrial|Freshwater
170157	Null	Terrestrial|Freshwater
170158	Null	Terrestrial|Freshwater
170159	Null	Terrestrial
170160	Null	Terrestrial
170161	Null	Terrestrial
170162	Null	Terrestrial
170163	Null	Terrestrial
170164	Null	Terrestrial
170165	Null	Terrestrial
170166	Null	Terrestrial
170167	Null	Terrestrial
170168	Null	Terrestrial
170169	Null	Terrestrial
170170	Null	Terrestrial
170171	Null	Terrestrial
170172	Null	Terrestrial
170173	Null	Terrestrial
170174	Null	Terrestrial|Marine
170175	Null	Terrestrial
170176	Null	Terrestrial
170177	Invasive	Terrestrial
170178	Null	Terrestrial
170179	Null	Terrestrial
170180	Null	Terrestrial|Freshwater
170181	Null	Terrestrial|Freshwater
170182	Null	Terrestrial
170183	Null	Terrestrial
170184	Null	Terrestrial
170185	Null	Terrestrial
170186	Null	Terrestrial
170187	Null	Terrestrial
170188	Null	Terrestrial
170189	Null	Terrestrial
170190	Null	Terrestrial
170191	Null	Terrestrial
170192	Null	Terrestrial
170193	Null	Terrestrial
170194	Null	Terrestrial
170195	Invasive	Terrestrial
170196	Null	Terrestrial
170197	Null	Terrestrial
170198	Null	Terrestrial
170199	Null	Terrestrial
170200	Null	Terrestrial
170201	Null	Terrestrial
170202	Null	Terrestrial
170203	Null	Host
170204	Null	Terrestrial
170205	Invasive	Terrestrial
170206	Null	Terrestrial
170207	Null	Terrestrial
170208	Null	Terrestrial
170209	Null	Host
170210	Null	Host
170211	Null	Terrestrial
170212	Null	Terrestrial
170213	Null	Terrestrial
170214	Null	Terrestrial
170215	Null	Terrestrial
170216	Null	Terrestrial
170217	Null	Terrestrial
170218	Null	Host
170219	Null	Terrestrial
170220	Null	Terrestrial
170221	Null	Terrestrial
170222	Null	Terrestrial
170223	Null	Terrestrial
170224	Null	Terrestrial
170225	Null	Terrestrial
170226	Null	Terrestrial
170227	Null	Terrestrial
170228	Invasive	Terrestrial
170229	Null	Terrestrial
170230	Null	Terrestrial
170231	Null	Terrestrial
170232	Null	Terrestrial
170233	Null	Terrestrial
170234	Null	Terrestrial
170235	Null	Terrestrial
170236	Null	Terrestrial
170237	Null	Terrestrial
170238	Null	Terrestrial
170239	Null	Terrestrial
170240	Null	Terrestrial
170241	Null	Terrestrial
170242	Null	Terrestrial
170243	Null	Terrestrial
170244	Null	Terrestrial
170245	Null	Terrestrial
170246	Null	Terrestrial
170247	Null	Terrestrial
170248	Null	Terrestrial
170249	Invasive	Terrestrial
170250	Null	Terrestrial
170251	Null	Terrestrial
170252	Null	Terrestrial
170253	Null	Terrestrial
170254	Null	Terrestrial
170255	Null	Terrestrial
170256	Null	Terrestrial
170257	Invasive	Terrestrial
170258	Invasive	Terrestrial
170259	Null	Terrestrial
170260	Null	Terrestrial
170261	Null	Terrestrial
170262	Null	Terrestrial
170263	Null	Terrestrial
170264	Null	Terrestrial
170265	Null	Terrestrial
170266	Null	Terrestrial
170267	Null	Terrestrial
170268	Null	Terrestrial
170269	Null	Terrestrial
170270	Null	Terrestrial
170271	Null	Terrestrial
170272	Null	Terrestrial
170273	Invasive	Terrestrial
170274	Null	Terrestrial
170275	Invasive	Terrestrial
170276	Invasive	Terrestrial
170277	Null	Terrestrial
170278	Null	Terrestrial
170279	Null	Terrestrial
170280	Null	Terrestrial
170281	Null	Terrestrial
170282	Null	Terrestrial
170283	Null	Terrestrial
170284	Null	Freshwater|Brackish|Marine
170285	Null	Terrestrial
170286	Null	Terrestrial
170287	Null	Terrestrial
170288	Null	Terrestrial
170289	Null	Terrestrial
170290	Null	Terrestrial
170291	Invasive	Terrestrial
170292	Null	Terrestrial
170293	Null	Terrestrial
170294	Null	Terrestrial
170295	Null	Terrestrial
170296	Null	Terrestrial
170297	Null	Terrestrial
170298	Null	Terrestrial
170299	Null	Terrestrial
170300	Null	Terrestrial
170301	Null	Terrestrial
170302	Null	Terrestrial
170303	Null	Terrestrial
170304	Null	Terrestrial
170305	Null	Terrestrial
170306	Null	Terrestrial
170307	Invasive	Terrestrial
170308	Null	Terrestrial
170309	Null	Terrestrial
170310	Null	Terrestrial
170311	Null	Terrestrial
170312	Null	Terrestrial
170313	Null	Terrestrial
170314	Null	Terrestrial
170315	Null	Terrestrial
170316	Null	Host
170317	Null	Host
170318	Null	Terrestrial
170319	Null	Terrestrial
170320	Null	Terrestrial
170321	Null	Terrestrial
170322	Null	Terrestrial
170323	Null	Terrestrial
170324	Null	Terrestrial
170325	Null	Terrestrial
170326	Null	Host
170327	Null	Terrestrial
170328	Null	Terrestrial
170329	Null	Terrestrial
170330	Null	Terrestrial
170331	Null	Terrestrial
170332	Null	Terrestrial
170333	Null	Terrestrial
170334	Null	Terrestrial
170335	Null	Terrestrial
170336	Null	Terrestrial
170337	Null	Terrestrial
170338	Null	Terrestrial
170339	Null	Terrestrial
170340	Null	Terrestrial
170341	Null	Host
170342	Null	Terrestrial
170343	Null	Terrestrial
170344	Invasive	Terrestrial
170345	Null	Terrestrial
170346	Null	Terrestrial
170347	Null	Terrestrial
170348	Null	Terrestrial
170349	Null	Terrestrial
170350	Null	Terrestrial
170351	Null	Terrestrial
170352	Null	Terrestrial
170353	Null	Terrestrial
170354	Null	Terrestrial
170355	Null	Terrestrial
170356	Null	Terrestrial
170357	Null	Terrestrial
170358	Null	Terrestrial
170359	Null	Terrestrial
170360	Null	Terrestrial
