id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans
180250	France	Martinique	FR-MQ	Present	Alien
180251	France	Martinique	FR-MQ	Present	Alien
180252	France	Martinique	FR-MQ	Present	Alien
180253	France	Martinique	FR-MQ	Present	Alien
180254	France	Martinique	FR-MQ	Present	Alien
180255	France	Martinique	FR-MQ	Present	Alien
180256	France	Martinique	FR-MQ	Present	Alien
180257	France	Martinique	FR-MQ	Present	Alien
180258	France	Martinique	FR-MQ	Present	Alien
180259	France	Martinique	FR-MQ	Present	Alien
180260	France	Martinique	FR-MQ	Present	Alien
180261	France	Martinique	FR-MQ	Present	Alien
180262	France	Martinique	FR-MQ	Present	Alien
180263	France	Martinique	FR-MQ	Present	Alien
180264	France	Martinique	FR-MQ	Present	Alien
180265	France	Martinique	FR-MQ	Present	Alien
180266	France	Martinique	FR-MQ	Present	Alien
180267	France	Martinique	FR-MQ	Present	Alien
180268	France	Martinique	FR-MQ	Present	Alien
180269	France	Martinique	FR-MQ	Present	Alien
180270	France	Martinique	FR-MQ	Present	Alien
180271	France	Martinique	FR-MQ	Present	Alien
180272	France	Martinique	FR-MQ	Present	Alien
180273	France	Martinique	FR-MQ	Present	Alien
180274	France	Martinique	FR-MQ	Present	Alien
180275	France	Martinique	FR-MQ	Present	Alien
180276	France	Martinique	FR-MQ	Present	Alien
180277	France	Martinique	FR-MQ	Present	Alien
180278	France	Martinique	FR-MQ	Present	Alien
180279	France	Martinique	FR-MQ	Present	Alien
180280	France	Martinique	FR-MQ	Present	Alien
180281	France	Martinique	FR-MQ	Present	Alien
180282	France	Martinique	FR-MQ	Present	Alien
180283	France	Martinique	FR-MQ	Present	Alien
180284	France	Martinique	FR-MQ	Present	Alien
180285	France	Martinique	FR-MQ	Present	Alien
180286	France	Martinique	FR-MQ	Present	Alien
180287	France	Martinique	FR-MQ	Present	Alien
180288	France	Martinique	FR-MQ	Present	Alien
180289	France	Martinique	FR-MQ	Present	Alien
180290	France	Martinique	FR-MQ	Present	Alien
180291	France	Martinique	FR-MQ	Present	Alien
180292	France	Martinique	FR-MQ	Present	Alien
180293	France	Martinique	FR-MQ	Present	Alien
180294	France	Martinique	FR-MQ	Present	Alien
180295	France	Martinique	FR-MQ	Present	Alien
180296	France	Martinique	FR-MQ	Present	Alien
180297	France	Martinique	FR-MQ	Present	Alien
180298	France	Martinique	FR-MQ	Present	Alien
180299	France	Martinique	FR-MQ	Present	Alien
180300	France	Martinique	FR-MQ	Present	Alien
180301	France	Martinique	FR-MQ	Present	Alien
180302	France	Martinique	FR-MQ	Present	Alien
180303	France	Martinique	FR-MQ	Present	Alien
180304	France	Martinique	FR-MQ	Present	Alien
180305	France	Martinique	FR-MQ	Present	Alien
180306	France	Martinique	FR-MQ	Present	Alien
180307	France	Martinique	FR-MQ	Present	Alien
180308	France	Martinique	FR-MQ	Present	Alien
180309	France	Martinique	FR-MQ	Present	Alien
180310	France	Martinique	FR-MQ	Present	Alien
180311	France	Martinique	FR-MQ	Present	Alien
180312	France	Martinique	FR-MQ	Present	Alien
180313	France	Martinique	FR-MQ	Present	Alien
180314	France	Martinique	FR-MQ	Present	Alien
180315	France	Martinique	FR-MQ	Present	Alien
180316	France	Martinique	FR-MQ	Present	Alien
180317	France	Martinique	FR-MQ	Present	Alien
180318	France	Martinique	FR-MQ	Present	Alien
180319	France	Martinique	FR-MQ	Present	Alien
180320	France	Martinique	FR-MQ	Present	Alien
180321	France	Martinique	FR-MQ	Present	Alien
180322	France	Martinique	FR-MQ	Present	Alien
180323	France	Martinique	FR-MQ	Present	Alien
180324	France	Martinique	FR-MQ	Present	Alien
180325	France	Martinique	FR-MQ	Present	Alien
180326	France	Martinique	FR-MQ	Present	Alien
180327	France	Martinique	FR-MQ	Present	Alien
180328	France	Martinique	FR-MQ	Present	Alien
180329	France	Martinique	FR-MQ	Present	Alien
180330	France	Martinique	FR-MQ	Present	Alien
180331	France	Martinique	FR-MQ	Present	Alien
180332	France	Martinique	FR-MQ	Present	Alien
180333	France	Martinique	FR-MQ	Present	Alien
180334	France	Martinique	FR-MQ	Present	Alien
180335	France	Martinique	FR-MQ	Present	Alien
180336	France	Martinique	FR-MQ	Present	Alien
180337	France	Martinique	FR-MQ	Present	Alien
180338	France	Martinique	FR-MQ	Present	Alien
180339	France	Martinique	FR-MQ	Present	Alien
180340	France	Martinique	FR-MQ	Present	Alien
180341	France	Martinique	FR-MQ	Present	Alien
180342	France	Martinique	FR-MQ	Present	Alien
180343	France	Martinique	FR-MQ	Present	Alien
180344	France	Martinique	FR-MQ	Present	Alien
180345	France	Martinique	FR-MQ	Present	Alien
180346	France	Martinique	FR-MQ	Present	Alien
180347	France	Martinique	FR-MQ	Present	Alien
180348	France	Martinique	FR-MQ	Present	Alien
180349	France	Martinique	FR-MQ	Present	Alien
180350	France	Martinique	FR-MQ	Present	Alien
180351	France	Martinique	FR-MQ	Present	Alien
180352	France	Martinique	FR-MQ	Present	Alien
180353	France	Martinique	FR-MQ	Present	Alien
180354	France	Martinique	FR-MQ	Present	Alien
180355	France	Martinique	FR-MQ	Present	Alien
