id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans
180750	France	Reunion	FR-RE	Present	Alien
180751	France	Reunion	FR-RE	Present	Alien
180752	France	Reunion	FR-RE	Present	Alien
180753	France	Reunion	FR-RE	Present	Alien
180754	France	Reunion	FR-RE	Present	Alien
180755	France	Reunion	FR-RE	Present	Alien
180756	France	Reunion	FR-RE	Present	Alien
180757	France	Reunion	FR-RE	Present	Alien
180758	France	Reunion	FR-RE	Present	Alien
180759	France	Reunion	FR-RE	Present	Alien
180760	France	Reunion	FR-RE	Present	Alien
180761	France	Reunion	FR-RE	Present	Alien
180762	France	Reunion	FR-RE	Present	Alien
180763	France	Reunion	FR-RE	Present	Alien
180764	France	Reunion	FR-RE	Present	Alien
180765	France	Reunion	FR-RE	Present	Alien
180766	France	Reunion	FR-RE	Present	Alien
180767	France	Reunion	FR-RE	Present	Alien
180768	France	Reunion	FR-RE	Present	Alien
180769	France	Reunion	FR-RE	Present	Alien
180770	France	Reunion	FR-RE	Present	Alien
180771	France	Reunion	FR-RE	Present	Alien
180772	France	Reunion	FR-RE	Present	Alien
180773	France	Reunion	FR-RE	Present	Alien
180774	France	Reunion	FR-RE	Present	Alien
180775	France	Reunion	FR-RE	Present	Alien
180776	France	Reunion	FR-RE	Present	Alien
180777	France	Reunion	FR-RE	Present	Alien
180778	France	Reunion	FR-RE	Present	Alien
180779	France	Reunion	FR-RE	Present	Alien
180780	France	Reunion	FR-RE	Present	Alien
180781	France	Reunion	FR-RE	Present	Alien
180782	France	Reunion	FR-RE	Present	Alien
180783	France	Reunion	FR-RE	Present	Alien
180784	France	Reunion	FR-RE	Present	Alien
180785	France	Reunion	FR-RE	Present	Alien
180786	France	Reunion	FR-RE	Present	Alien
180787	France	Reunion	FR-RE	Present	Alien
180788	France	Reunion	FR-RE	Present	Alien
180789	France	Reunion	FR-RE	Present	Alien
180790	France	Reunion	FR-RE	Present	Alien
180791	France	Reunion	FR-RE	Present	Alien
180792	France	Reunion	FR-RE	Present	Alien
180793	France	Reunion	FR-RE	Present	Alien
180794	France	Reunion	FR-RE	Present	Alien
180795	France	Reunion	FR-RE	Present	Alien
180796	France	Reunion	FR-RE	Present	Alien
180797	France	Reunion	FR-RE	Present	Alien
180798	France	Reunion	FR-RE	Present	Alien
180799	France	Reunion	FR-RE	Present	Alien
180800	France	Reunion	FR-RE	Present	Alien
180801	France	Reunion	FR-RE	Present	Alien
180802	France	Reunion	FR-RE	Present	Alien
180803	France	Reunion	FR-RE	Present	Alien
180804	France	Reunion	FR-RE	Present	Alien
180805	France	Reunion	FR-RE	Present	Alien
180806	France	Reunion	FR-RE	Present	Alien
180807	France	Reunion	FR-RE	Present	Alien
180808	France	Reunion	FR-RE	Present	Alien
180809	France	Reunion	FR-RE	Present	Alien
180810	France	Reunion	FR-RE	Present	Alien
180811	France	Reunion	FR-RE	Present	Alien
180812	France	Reunion	FR-RE	Present	Alien
180813	France	Reunion	FR-RE	Present	Alien
180814	France	Reunion	FR-RE	Present	Alien
180815	France	Reunion	FR-RE	Present	Alien
180816	France	Reunion	FR-RE	Present	Alien
180817	France	Reunion	FR-RE	Present	Alien
180818	France	Reunion	FR-RE	Present	Alien
180819	France	Reunion	FR-RE	Present	Alien
180820	France	Reunion	FR-RE	Present	Alien
180821	France	Reunion	FR-RE	Present	Alien
180822	France	Reunion	FR-RE	Present	Alien
180823	France	Reunion	FR-RE	Present	Alien
180824	France	Reunion	FR-RE	Present	Alien
180825	France	Reunion	FR-RE	Present	Alien
180826	France	Reunion	FR-RE	Present	Alien
180827	France	Reunion	FR-RE	Present	Alien
180828	France	Reunion	FR-RE	Present	Alien
180829	France	Reunion	FR-RE	Present	Alien
180830	France	Reunion	FR-RE	Present	Alien
180831	France	Reunion	FR-RE	Present	Alien
180832	France	Reunion	FR-RE	Present	Alien
180833	France	Reunion	FR-RE	Present	Alien
180834	France	Reunion	FR-RE	Present	Alien
180835	France	Reunion	FR-RE	Present	Alien
180836	France	Reunion	FR-RE	Present	Alien
180837	France	Reunion	FR-RE	Present	Alien
180838	France	Reunion	FR-RE	Present	Alien
180839	France	Reunion	FR-RE	Present	Alien
180840	France	Reunion	FR-RE	Present	Alien
180841	France	Reunion	FR-RE	Present	Alien
180842	France	Reunion	FR-RE	Present	Alien
180843	France	Reunion	FR-RE	Present	Alien
180844	France	Reunion	FR-RE	Present	Alien
180845	France	Reunion	FR-RE	Present	Alien
180846	France	Reunion	FR-RE	Present	Alien
180847	France	Reunion	FR-RE	Present	Alien
180848	France	Reunion	FR-RE	Present	Alien
180849	France	Reunion	FR-RE	Present	Alien
180850	France	Reunion	FR-RE	Present	Alien
180851	France	Reunion	FR-RE	Present	Alien
180852	France	Reunion	FR-RE	Present	Alien
180853	France	Reunion	FR-RE	Present	Alien
180854	France	Reunion	FR-RE	Present	Alien
180855	France	Reunion	FR-RE	Present	Alien
180856	France	Reunion	FR-RE	Present	Alien
180857	France	Reunion	FR-RE	Present	Alien
180858	France	Reunion	FR-RE	Present	Alien
180859	France	Reunion	FR-RE	Present	Alien
180860	France	Reunion	FR-RE	Present	Alien
180861	France	Reunion	FR-RE	Present	Alien
180862	France	Reunion	FR-RE	Present	Alien
180863	France	Reunion	FR-RE	Present	Alien
180864	France	Reunion	FR-RE	Present	Alien
180865	France	Reunion	FR-RE	Present	Alien
180866	France	Reunion	FR-RE	Present	Alien
180867	France	Reunion	FR-RE	Present	Alien
180868	France	Reunion	FR-RE	Present	Alien
180869	France	Reunion	FR-RE	Present	Alien
180870	France	Reunion	FR-RE	Present	Alien
180871	France	Reunion	FR-RE	Present	Alien
180872	France	Reunion	FR-RE	Present	Alien
180873	France	Reunion	FR-RE	Present	Alien
180874	France	Reunion	FR-RE	Present	Alien
180875	France	Reunion	FR-RE	Present	Alien
180876	France	Reunion	FR-RE	Present	Alien
180877	France	Reunion	FR-RE	Present	Alien
180878	France	Reunion	FR-RE	Present	Alien
180879	France	Reunion	FR-RE	Present	Alien
180880	France	Reunion	FR-RE	Present	Alien
180881	France	Reunion	FR-RE	Present	Alien
