id	isInvasive	habitat
180750	Invasive	Terrestrial
180751	Invasive	Terrestrial
180752	Invasive	Terrestrial
180753	Invasive	Terrestrial
180754	Invasive	Terrestrial
180755	Invasive	Terrestrial
180756	Invasive	Terrestrial
180757	Invasive	Terrestrial|Freshwater
180758	Invasive	Terrestrial|Freshwater
180759	Invasive	Terrestrial
180760	Invasive	Terrestrial
180761	Invasive	Terrestrial
180762	Invasive	Terrestrial
180763	Invasive	Terrestrial
180764	Invasive	Terrestrial
180765	Invasive	Host
180766	Null	Terrestrial
180767	Null	Freshwater
180768	Null	Terrestrial|Freshwater
180769	Invasive	Terrestrial
180770	Invasive	Terrestrial
180771	Invasive	Terrestrial
180772	Invasive	Terrestrial
180773	Invasive	Freshwater
180774	Invasive	Terrestrial
180775	Invasive	Terrestrial
180776	Invasive	Terrestrial
180777	Invasive	Terrestrial
180778	Invasive	Terrestrial
180779	Invasive	Terrestrial
180780	Invasive	Terrestrial
180781	Invasive	Terrestrial
180782	Invasive	Terrestrial
180783	Invasive	Terrestrial
180784	Invasive	Terrestrial
180785	Invasive	Host
180786	Invasive	Terrestrial
180787	Invasive	Terrestrial
180788	Invasive	Terrestrial
180789	Invasive	Terrestrial
180790	Invasive	Terrestrial|Freshwater
180791	Invasive	Terrestrial
180792	Null	Terrestrial
180793	Invasive	Terrestrial
180794	Invasive	Terrestrial
180795	Null	Terrestrial
180796	Invasive	Freshwater|Brackish
180797	Invasive	Terrestrial|Freshwater
180798	Invasive	Terrestrial
180799	Invasive	Terrestrial
180800	Invasive	Terrestrial
180801	Invasive	Terrestrial
180802	Invasive	Terrestrial
180803	Null	Terrestrial
180804	Null	Terrestrial
180805	Null	Terrestrial
180806	Null	Terrestrial
180807	Invasive	Terrestrial
180808	Invasive	Terrestrial
180809	Invasive	Terrestrial
180810	Invasive	Terrestrial
180811	Invasive	Terrestrial
180812	Invasive	Terrestrial
180813	Invasive	Terrestrial
180814	Null	Terrestrial
180815	Null	Terrestrial
180816	Invasive	Terrestrial
180817	Invasive	Terrestrial
180818	Null	Terrestrial
180819	Null	Terrestrial
180820	Invasive	Terrestrial
180821	Invasive	Terrestrial
180822	Invasive	Terrestrial
180823	Null	Terrestrial
180824	Invasive	Terrestrial|Freshwater
180825	Invasive	Terrestrial
180826	Invasive	Terrestrial
180827	Invasive	Freshwater|Brackish
180828	Invasive	Terrestrial
180829	Invasive	Terrestrial
180830	Invasive	Terrestrial
180831	Invasive	Terrestrial
180832	Invasive	Terrestrial
180833	Invasive	Freshwater
180834	Invasive	Terrestrial
180835	Invasive	Terrestrial
180836	Invasive	Terrestrial
180837	Null	Terrestrial
180838	Invasive	Terrestrial
180839	Invasive	Terrestrial
180840	Invasive	Terrestrial
180841	Invasive	Terrestrial
180842	Invasive	Terrestrial
180843	Invasive	Terrestrial
180844	Null	Terrestrial
180845	Invasive	Terrestrial
180846	Invasive	Terrestrial
180847	Invasive	Terrestrial
180848	Invasive	Terrestrial
180849	Invasive	Terrestrial
180850	Invasive	Terrestrial
180851	Invasive	Terrestrial
180852	Invasive	Terrestrial
180853	Invasive	Terrestrial
180854	Invasive	Terrestrial
180855	Null	Terrestrial
180856	Null	Terrestrial
180857	Invasive	Terrestrial
180858	Invasive	Terrestrial
180859	Invasive	Terrestrial
180860	Invasive	Terrestrial
180861	Invasive	Terrestrial
180862	Invasive	Terrestrial
180863	Invasive	Terrestrial
180864	Invasive	Terrestrial
180865	Invasive	Terrestrial
180866	Invasive	Terrestrial
180867	Invasive	Terrestrial
180868	Invasive	Terrestrial
180869	Invasive	Terrestrial
180870	Null	Terrestrial
180871	Invasive	Terrestrial
180872	Invasive	Terrestrial
180873	Invasive	Terrestrial
180874	Invasive	Terrestrial
180875	Invasive	Terrestrial
180876	Invasive	Terrestrial
180877	Invasive	Terrestrial
180878	Invasive	Terrestrial
180879	Invasive	Terrestrial
180880	Null	Terrestrial
180881	Null	Terrestrial
180882	Invasive	Terrestrial
180883	Invasive	Terrestrial
180884	Invasive	Terrestrial
180885	Invasive	Terrestrial
180886	Invasive	Terrestrial
180887	Invasive	Terrestrial
180888	Invasive	Terrestrial
180889	Null	Terrestrial
180890	Invasive	Terrestrial
180891	Invasive	Terrestrial
180892	Invasive	Terrestrial
180893	Invasive	Terrestrial
180894	Invasive	Terrestrial
180895	Invasive	Terrestrial
180896	Invasive	Terrestrial
180897	Invasive	Terrestrial
180898	Invasive	Terrestrial
180899	Invasive	Terrestrial
180900	Invasive	Terrestrial
180901	Invasive	Terrestrial
180902	Invasive	Terrestrial|Freshwater
180903	Invasive	Terrestrial
180904	Invasive	Terrestrial
180905	Invasive	Terrestrial
180906	Invasive	Terrestrial
180907	Invasive	Terrestrial
180908	Null	Terrestrial
180909	Null	Freshwater
180910	Invasive	Terrestrial
180911	Invasive	Terrestrial
180912	Invasive	Terrestrial
180913	Invasive	Terrestrial
180914	Invasive	Terrestrial
180915	Null	Terrestrial
180916	Invasive	Terrestrial
180917	Invasive	Terrestrial
180918	Invasive	Terrestrial
180919	Null	Terrestrial
180920	Invasive	Terrestrial
180921	Invasive	Terrestrial
180922	Invasive	Freshwater|Brackish|Marine
180923	Null	Freshwater|Brackish
180924	Invasive	Freshwater|Brackish
180925	Invasive	Freshwater|Brackish
180926	Invasive	Terrestrial
180927	Invasive	Terrestrial
180928	Invasive	Terrestrial
180929	Invasive	Terrestrial
180930	Invasive	Terrestrial
180931	Invasive	Terrestrial
180932	Invasive	Freshwater|Brackish
180933	Invasive	Terrestrial
180934	Invasive	Terrestrial
180935	Invasive	Terrestrial
180936	Invasive	Terrestrial
180937	Invasive	Terrestrial
180938	Invasive	Terrestrial
180939	Invasive	Terrestrial
180940	Invasive	Terrestrial
180941	Invasive	Terrestrial
180942	Invasive	Terrestrial
180943	Invasive	Terrestrial
180944	Invasive	Terrestrial
180945	Invasive	Terrestrial
180946	Invasive	Terrestrial
180947	Null	Terrestrial
180948	Null	Terrestrial
180949	Null	Terrestrial
180950	Invasive	Terrestrial
180951	Invasive	Terrestrial
180952	Invasive	Terrestrial
180953	Invasive	Freshwater
180954	Invasive	Terrestrial
180955	Invasive	Terrestrial
180956	Invasive	Terrestrial
180957	Invasive	Terrestrial
180958	Invasive	Terrestrial
180959	Invasive	Freshwater|Brackish
180960	Invasive	Terrestrial
180961	Invasive	Terrestrial
180962	Invasive	Terrestrial
180963	Invasive	Terrestrial
180964	Invasive	Freshwater
180965	Invasive	Terrestrial
180966	Invasive	Terrestrial
180967	Invasive	Terrestrial
180968	Null	Terrestrial
180969	Invasive	Terrestrial
180970	Invasive	Terrestrial
180971	Null	Terrestrial|Freshwater
180972	Invasive	Terrestrial
180973	Invasive	Terrestrial
180974	Null	Terrestrial
180975	Invasive	Terrestrial
180976	Invasive	Terrestrial
180977	Invasive	Terrestrial
180978	Invasive	Terrestrial
180979	Invasive	Terrestrial
180980	Invasive	Terrestrial
180981	Invasive	Terrestrial
180982	Invasive	Terrestrial
180983	Invasive	Terrestrial
180984	Invasive	Terrestrial
180985	Invasive	Terrestrial
180986	Invasive	Terrestrial
180987	Invasive	Terrestrial
180988	Invasive	Terrestrial
180989	Invasive	Terrestrial
180990	Invasive	Terrestrial
180991	Invasive	Terrestrial
180992	Invasive	Terrestrial
180993	Invasive	Terrestrial
180994	Invasive	Freshwater
180995	Invasive	Terrestrial
180996	Invasive	Terrestrial
180997	Null	Terrestrial
180998	Null	Terrestrial
180999	Null	Terrestrial
181000	Invasive	Terrestrial
181001	Invasive	Terrestrial
181002	Invasive	Terrestrial
181003	Invasive	Terrestrial
181004	Invasive	Terrestrial
181005	Invasive	Terrestrial
181006	Invasive	Terrestrial
181007	Invasive	Terrestrial
181008	Invasive	Terrestrial
181009	Invasive	Terrestrial
181010	Invasive	Terrestrial
181011	Null	Terrestrial
181012	Null	Terrestrial
181013	Invasive	Terrestrial
181014	Invasive	Terrestrial
181015	Null	Terrestrial
181016	Null	Freshwater
181017	Null	Terrestrial
181018	Invasive	Terrestrial
181019	Invasive	Terrestrial
181020	Invasive	Terrestrial
181021	Invasive	Terrestrial
181022	Invasive	Terrestrial
181023	Invasive	Terrestrial
181024	Invasive	Terrestrial|Freshwater
181025	Invasive	Terrestrial
181026	Invasive	Terrestrial
181027	Invasive	Terrestrial
181028	Invasive	Terrestrial
181029	Null	Terrestrial
181030	Invasive	Terrestrial|Freshwater|Brackish
181031	Invasive	Terrestrial|Freshwater
181032	Invasive	Terrestrial
181033	Invasive	Terrestrial
181034	Invasive	Terrestrial
