id	locationID	countryCode	occurrenceStatus	establishmentMeans
171000	Turks and Caicos Islands	TC	Present	Alien
171001	Turks and Caicos Islands	TC	Present	Alien
171002	Turks and Caicos Islands	TC	Present	Alien
171003	Turks and Caicos Islands	TC	Present	Alien
171004	Turks and Caicos Islands	TC	Present	Alien
171005	Turks and Caicos Islands	TC	Present	Alien
171006	Turks and Caicos Islands	TC	Present	Alien
171007	Turks and Caicos Islands	TC	Present	Alien
171008	Turks and Caicos Islands	TC	Present	Alien
171009	Turks and Caicos Islands	TC	Present	Alien
171010	Turks and Caicos Islands	TC	Present	Alien
171011	Turks and Caicos Islands	TC	Present	Alien
171012	Turks and Caicos Islands	TC	Present	Alien
171013	Turks and Caicos Islands	TC	Present	Alien
171014	Turks and Caicos Islands	TC	Present	Alien
171015	Turks and Caicos Islands	TC	Present	Alien
171016	Turks and Caicos Islands	TC	Present	Alien
171017	Turks and Caicos Islands	TC	Present	Alien
171018	Turks and Caicos Islands	TC	Present	Alien
171019	Turks and Caicos Islands	TC	Present	Alien
171020	Turks and Caicos Islands	TC	Uncertain	Alien
171021	Turks and Caicos Islands	TC	Present	Alien
171022	Turks and Caicos Islands	TC	Present	Alien
171023	Turks and Caicos Islands	TC	Present	Alien
171024	Turks and Caicos Islands	TC	Present	Alien
171025	Turks and Caicos Islands	TC	Present	Alien
171026	Turks and Caicos Islands	TC	Present	Alien
171027	Turks and Caicos Islands	TC	Present	Alien
171028	Turks and Caicos Islands	TC	Present	Alien
171029	Turks and Caicos Islands	TC	Present	Alien
171030	Turks and Caicos Islands	TC	Present	Alien
171031	Turks and Caicos Islands	TC	Present	Alien
171032	Turks and Caicos Islands	TC	Present	Alien
171033	Turks and Caicos Islands	TC	Present	Alien
171034	Turks and Caicos Islands	TC	Present	Alien
171035	Turks and Caicos Islands	TC	Present	Alien
171036	Turks and Caicos Islands	TC	Present	Alien
171037	Turks and Caicos Islands	TC	Present	Alien
171038	Turks and Caicos Islands	TC	Present	Alien
171039	Turks and Caicos Islands	TC	Present	Alien
171040	Turks and Caicos Islands	TC	Present	Alien
171041	Turks and Caicos Islands	TC	Present	Alien
171042	Turks and Caicos Islands	TC	Present	Alien
171043	Turks and Caicos Islands	TC	Present	Alien
171044	Turks and Caicos Islands	TC	Present	Alien
171045	Turks and Caicos Islands	TC	Present	Alien
171046	Turks and Caicos Islands	TC	Present	Alien
171047	Turks and Caicos Islands	TC	Present	Alien
171048	Turks and Caicos Islands	TC	Present	Alien
171049	Turks and Caicos Islands	TC	Present	Alien
171050	Turks and Caicos Islands	TC	Uncertain	Alien
171051	Turks and Caicos Islands	TC	Present	Alien
171052	Turks and Caicos Islands	TC	Present	Alien
171053	Turks and Caicos Islands	TC	Present	Alien
171054	Turks and Caicos Islands	TC	Present	Alien
171055	Turks and Caicos Islands	TC	Present	Alien
171056	Turks and Caicos Islands	TC	Uncertain	Alien
