id	isInvasive	habitat
3598	null	terrestrial
3599	invasive	terrestrial
3600	null	terrestrial
3601	null	terrestrial
3602	null	terrestrial
3603	null	terrestrial
3604	null	terrestrial
3605	null	terrestrial
3606	invasive	terrestrial
3607	null	terrestrial
3608	null	terrestrial
3609	null	host
3610	null	terrestrial
3611	null	marine
3612	null	terrestrial
3613	null	terrestrial
3614	null	terrestrial
3615	null	marine
3616	null	terrestrial
3617	null	terrestrial
3618	null	terrestrial
3619	null	terrestrial
3620	null	terrestrial
3621	null	terrestrial
3622	null	terrestrial|freshwater
3623	null	terrestrial
3624	null	terrestrial
3625	null	terrestrial
3626	null	terrestrial
3627	null	terrestrial
3628	null	terrestrial
3629	invasive	terrestrial
3630	null	terrestrial|freshwater
3631	null	terrestrial|freshwater
3632	null	terrestrial
3633	null	terrestrial
3634	null	terrestrial
3635	null	marine
3636	null	marine
3637	null	terrestrial
3638	null	terrestrial
3639	null	terrestrial
3640	null	terrestrial
3641	null	terrestrial
3642	null	terrestrial
3643	null	terrestrial
3644	null	terrestrial
3645	invasive	terrestrial
3646	invasive	terrestrial
3647	null	terrestrial
3648	null	terrestrial
3649	null	terrestrial
3650	invasive	terrestrial
3651	null	terrestrial
3652	invasive	terrestrial
3653	null	terrestrial
3654	invasive	terrestrial
3655	null	terrestrial
3656	null	terrestrial
3657	invasive	terrestrial
3658	null	terrestrial
3659	null	terrestrial
3660	null	freshwater|brackish|marine
3661	null	freshwater|brackish
3662	null	terrestrial
3663	null	terrestrial
3664	null	terrestrial
3665	invasive	terrestrial
3666	null	brackish|marine
3667	null	marine
3668	invasive	marine
3669	invasive	marine
3670	null	marine
3671	null	terrestrial
3672	invasive	terrestrial
3673	invasive	terrestrial
3674	null	terrestrial
3675	null	terrestrial
3676	null	terrestrial
3677	null	terrestrial
3678	null	host
3679	null	terrestrial
3680	null	terrestrial
3681	null	host
3682	null	host
3683	null	host
3684	null	terrestrial
3685	invasive	marine
3686	null	host
3687	null	terrestrial
3688	null	terrestrial
3689	null	marine
3690	null	marine
3691	null	marine
3692	invasive	marine
3693	null	terrestrial
3694	null	marine
3695	null	terrestrial
3696	null	terrestrial
3697	invasive	terrestrial
3698	null	terrestrial
3699	invasive	terrestrial
3700	null	terrestrial
3701	invasive	terrestrial
3702	invasive	marine
3703	null	marine
3704	null	host
3705	null	terrestrial
3706	null	terrestrial
3707	null	terrestrial
3708	null	terrestrial
3709	null	terrestrial
3710	invasive	terrestrial
3711	null	terrestrial
3712	null	terrestrial
3713	null	terrestrial
3714	null	terrestrial
3715	null	terrestrial
3716	null	terrestrial
3717	null	terrestrial
3718	null	freshwater
3719	null	freshwater
3720	null	marine
3721	null	brackish|marine
3722	null	terrestrial
3723	null	terrestrial
3724	null	terrestrial
3725	null	terrestrial
3726	null	terrestrial
3727	null	terrestrial
3728	invasive	terrestrial
3729	invasive	terrestrial
3730	null	terrestrial
3731	invasive	marine
3732	null	terrestrial
3733	null	terrestrial
3734	null	terrestrial
3735	null	terrestrial
3736	null	terrestrial
3737	null	terrestrial
3738	null	terrestrial
3739	null	terrestrial
3740	null	terrestrial
3741	null	terrestrial
3742	null	terrestrial
3743	null	host
3744	null	terrestrial
3745	null	terrestrial
3746	null	terrestrial
3747	invasive	terrestrial
3748	null	terrestrial
3749	null	terrestrial
3750	null	marine
3751	invasive	marine
3752	null	terrestrial
3753	null	terrestrial
3754	null	terrestrial
3755	null	terrestrial
3756	invasive	marine
3757	null	terrestrial
3758	null	terrestrial
3759	null	terrestrial
3760	null	terrestrial
3761	null	terrestrial
3762	null	terrestrial
3763	null	terrestrial
3764	null	terrestrial
3765	null	terrestrial
3766	null	brackish|marine
3767	null	terrestrial
