id	isInvasive	habitat
3154	null	marine
3155	null	marine
3156	null	terrestrial
3157	null	terrestrial
3158	invasive	terrestrial
3159	invasive	marine
3160	null	marine
3161	null	terrestrial
3162	null	marine
3163	null	marine
3164	null	marine
3165	null	terrestrial
3166	null	marine
3167	null	terrestrial
3168	null	marine
3169	null	marine
3170	null	marine
3171	null	terrestrial
3172	null	terrestrial
3173	null	terrestrial
3174	null	marine
3175	null	marine
3176	null	marine
3177	null	marine
3178	null	marine
3179	null	terrestrial|freshwater
3180	null	terrestrial
3181	null	terrestrial
3182	null	terrestrial
3183	null	terrestrial
3184	null	marine
3185	null	marine
3186	null	terrestrial
3187	null	terrestrial
3188	invasive	host
3189	null	terrestrial
3190	null	marine
3191	null	marine
3192	null	marine
3193	null	freshwater|brackish|marine
3194	null	marine
3195	null	marine
3196	null	marine
3197	null	terrestrial
3198	null	marine
3199	invasive	terrestrial
3200	null	terrestrial
3201	null	terrestrial
3202	null	terrestrial
3203	null	terrestrial
3204	null	terrestrial
3205	null	terrestrial
3206	null	terrestrial
3207	null	marine
3208	null	marine
3209	null	brackish|marine
3210	null	brackish|marine
3211	null	host
3212	null	terrestrial
3213	null	freshwater
3214	null	freshwater
3215	null	freshwater
3216	invasive	host
3217	invasive	terrestrial
3218	invasive	terrestrial
3219	null	marine
3220	null	terrestrial
3221	null	terrestrial
3222	null	terrestrial
3223	invasive	marine
3224	null	terrestrial
3225	invasive	terrestrial
3226	null	terrestrial
3227	invasive	terrestrial
3228	null	terrestrial|freshwater
3229	invasive	marine
3230	invasive	marine
3231	null	marine
3232	null	marine
3233	null	marine
3234	null	terrestrial
3235	null	terrestrial
3236	null	marine
3237	null	marine
3238	null	terrestrial
3239	null	terrestrial
3240	null	terrestrial
3241	null	marine
3242	null	marine
3243	null	marine
3244	invasive	terrestrial
3245	invasive	terrestrial
3246	null	terrestrial
3247	null	freshwater
3248	invasive	marine
3249	null	marine
3250	null	marine
3251	null	marine
3252	invasive	marine
3253	null	marine
3254	null	terrestrial
3255	invasive	terrestrial
3256	null	terrestrial
3257	null	terrestrial
3258	null	terrestrial
3259	null	terrestrial
3260	null	terrestrial
3261	null	terrestrial
3262	null	marine
3263	null	marine
3264	null	marine
3265	null	marine
3266	null	marine
3267	null	terrestrial
3268	null	terrestrial
3269	null	terrestrial
3270	null	terrestrial
3271	null	terrestrial
3272	null	terrestrial
3273	null	terrestrial
3274	null	marine
3275	null	marine
3276	null	marine
3277	null	terrestrial
3278	null	freshwater
3279	null	terrestrial|freshwater
3280	null	host
3281	null	marine
3282	null	terrestrial
3283	null	terrestrial
3284	null	marine
3285	null	terrestrial|freshwater
3286	null	terrestrial|freshwater
3287	null	terrestrial|freshwater
3288	null	terrestrial|freshwater
3289	invasive	terrestrial|freshwater
3290	null	freshwater|brackish
3291	null	terrestrial
3292	null	terrestrial|freshwater
3293	null	terrestrial
3294	null	marine
3295	null	marine
3296	null	terrestrial
3297	null	terrestrial
3298	null	marine
3299	null	terrestrial
3300	null	terrestrial
3301	null	terrestrial
3302	invasive	terrestrial
3303	null	marine
3304	null	marine
3305	null	marine
3306	null	marine
3307	null	marine
3308	null	terrestrial
3309	null	terrestrial
3310	null	terrestrial
3311	invasive	freshwater
3312	null	marine
3313	null	freshwater
3314	null	terrestrial
3315	null	marine
3316	null	brackish|marine
3317	null	terrestrial
3318	null	terrestrial
3319	null	marine
3320	null	marine
3321	null	terrestrial
3322	null	terrestrial
3323	null	marine
3324	null	marine
3325	null	terrestrial
3326	null	terrestrial
3327	null	marine
3328	null	marine
3329	null	marine
3330	null	marine
3331	null	terrestrial
3332	null	marine
3333	null	marine
3334	null	marine
3335	null	marine
3336	invasive	freshwater
3337	null	freshwater|brackish
3338	invasive	freshwater|brackish
3339	null	brackish|marine
3340	null	marine
3341	null	marine
3342	null	marine
3343	null	marine
3344	null	marine
3345	null	marine
3346	null	marine
3347	null	terrestrial
3348	invasive	terrestrial|freshwater|brackish
3349	null	brackish|marine
3350	null	marine
3351	null	marine
3352	null	marine
3353	null	marine
3354	null	marine
3355	null	terrestrial
3356	null	marine
3357	null	marine
3358	null	marine
3359	null	marine
3360	null	marine
3361	null	marine
3362	null	marine
3363	null	marine
3364	invasive	freshwater
3365	invasive	freshwater
3366	null	freshwater
3367	null	terrestrial
3368	null	terrestrial|freshwater
3369	invasive	terrestrial
3370	null	terrestrial
3371	null	marine
3372	null	terrestrial
3373	null	marine
3374	null	brackish|marine
3375	null	marine
3376	null	terrestrial
3377	null	marine
3378	null	marine
3379	null	freshwater
3380	null	marine
3381	null	freshwater
3382	null	freshwater
3383	null	marine
3384	null	marine
3385	null	terrestrial
3386	null	marine
3387	null	terrestrial
3388	null	terrestrial
3389	null	marine
3390	null	marine
3391	null	brackish|marine
3392	null	brackish|marine
3393	null	marine
3394	invasive	host
3395	null	freshwater
3396	null	marine
3397	null	marine
3398	null	terrestrial
3399	null	terrestrial
3400	null	terrestrial
3401	null	marine
3402	null	marine
3403	null	marine
3404	null	marine
3405	null	freshwater
3406	null	terrestrial
3407	null	marine
3408	null	marine
3409	null	terrestrial
3410	null	terrestrial
3411	null	freshwater|brackish|marine
3412	null	marine
3413	null	terrestrial
3414	null	marine
3415	null	marine
3416	null	marine
3417	null	freshwater
3418	null	marine
3419	invasive	freshwater
3420	null	brackish|marine
3421	null	marine
3422	null	marine
3423	null	marine
3424	null	marine
3425	null	marine
3426	invasive	terrestrial
3427	null	marine
3428	null	marine
3429	null	marine
3430	null	terrestrial
3431	null	freshwater|brackish
3432	null	freshwater
3433	null	freshwater|brackish
3434	null	freshwater|brackish
3435	null	terrestrial
3436	null	terrestrial
3437	null	terrestrial
3438	null	terrestrial
3439	null	terrestrial|freshwater
3440	null	terrestrial
3441	null	terrestrial
3442	null	terrestrial
3443	null	terrestrial
3444	null	brackish|marine
3445	null	terrestrial
3446	null	terrestrial
3447	null	marine
3448	null	marine
3449	null	marine
3450	null	marine
3451	null	terrestrial
3452	null	marine
3453	null	terrestrial
3454	invasive	terrestrial
3455	null	terrestrial
3456	null	terrestrial
3457	null	terrestrial
3458	null	brackish|marine
3459	null	marine
3460	invasive	marine
3461	invasive	marine
3462	null	terrestrial
3463	null	terrestrial
3464	null	marine
3465	null	marine
3466	null	terrestrial
3467	null	marine
3468	null	terrestrial|freshwater
3469	null	terrestrial|freshwater
3470	null	marine
3471	invasive	terrestrial
3472	null	terrestrial
3473	null	terrestrial
3474	null	freshwater|brackish
3475	null	terrestrial|freshwater
3476	null	terrestrial
3477	null	terrestrial
3478	null	marine
3479	null	marine
3480	null	terrestrial
3481	invasive	marine
3482	null	freshwater
3483	null	terrestrial
3484	null	marine
3485	null	terrestrial
3486	null	brackish|marine
3487	null	brackish|marine
3488	null	terrestrial
3489	null	terrestrial
3490	null	terrestrial
3491	null	terrestrial
3492	null	marine
3493	null	terrestrial
3494	null	terrestrial
3495	null	marine
3496	null	marine
3497	null	freshwater
3498	invasive	freshwater
3499	null	freshwater
3500	null	terrestrial
3501	invasive	terrestrial
3502	null	marine
3503	null	marine
3504	invasive	freshwater
3505	null	terrestrial
3506	null	terrestrial|freshwater
3507	null	marine
3508	null	marine
3509	null	terrestrial
3510	null	terrestrial
3511	null	terrestrial
3512	null	marine
3513	null	terrestrial
3514	null	terrestrial
3515	null	terrestrial
3516	null	marine
3517	null	marine
3518	null	marine
3519	null	marine
3520	invasive	terrestrial|freshwater
3521	null	marine
3522	invasive	marine
3523	null	marine
3524	null	terrestrial
3525	null	marine
3526	null	terrestrial
3527	null	terrestrial
3528	null	terrestrial
3529	null	marine
3530	null	marine
3531	invasive	marine
3532	invasive	marine
3533	null	marine
3534	null	marine
3535	null	terrestrial
3536	null	terrestrial
3537	null	terrestrial
3538	null	terrestrial
3539	null	marine
3540	null	marine
3541	null	marine
3542	null	brackish|marine
3543	null	brackish|marine
3544	null	brackish|marine
3545	null	marine
3546	invasive	terrestrial
3547	null	terrestrial
3548	null	marine
3549	null	marine
3550	null	terrestrial
3551	null	terrestrial
3552	null	terrestrial
3553	null	marine
3554	null	marine
3555	null	marine
3556	null	marine
3557	null	marine
3558	null	marine
3559	null	terrestrial
3560	null	marine
3561	null	marine
3562	null	terrestrial
3563	null	terrestrial
3564	null	terrestrial
3565	null	marine
3566	null	marine
3567	null	marine
3568	null	terrestrial
3569	null	terrestrial
3570	null	marine
3571	null	freshwater|brackish|marine
3572	null	marine
3573	null	terrestrial
3574	null	terrestrial
3575	null	terrestrial|freshwater
3576	null	marine
3577	null	terrestrial
3578	null	terrestrial
3579	null	marine
3580	null	marine
3581	null	terrestrial|freshwater
3582	null	freshwater
3583	null	marine
3584	null	marine
3585	null	marine
3586	invasive	brackish|marine
3587	null	marine
3588	null	terrestrial
3589	null	freshwater
3590	null	freshwater
3591	null	terrestrial
3592	null	marine
3593	invasive	terrestrial
3594	null	terrestrial
3595	null	terrestrial
3596	null	terrestrial
3597	null	terrestrial
