id	locationID	countryCode	occurrenceStatus	establishmentMeans
150000	Japan	JP	Present	Native|Alien
150001	Japan	JP	Present	Alien
150002	Japan	JP	Present	Alien
150003	Japan	JP	Present	Alien
150004	Japan	JP	Present	Alien
150005	Japan	JP	Present	Alien
150006	Japan	JP	Present	Alien
150007	Japan	JP	Present	Alien
150008	Japan	JP	Present	Alien
150009	Japan	JP	Present	Alien
150010	Japan	JP	Present	Alien
150011	Japan	JP	Present	Alien
150012	Japan	JP	Present	Alien
150013	Japan	JP	Present	Alien
150014	Japan	JP	Present	Alien
150015	Japan	JP	Present	Alien
150016	Japan	JP	Present	Alien
150017	Japan	JP	Present	Alien
150018	Japan	JP	Present	Alien
150019	Japan	JP	Present	Alien
150020	Japan	JP	Present	Alien
150021	Japan	JP	Present	Alien
150022	Japan	JP	Present	Alien
150023	Japan	JP	Present	Alien
150024	Japan	JP	Present	Alien
150025	Japan	JP	Present	Alien
150026	Japan	JP	Present	Native|Alien
150027	Japan	JP	Present	Alien
150028	Japan	JP	Present	Native|Alien
150029	Japan	JP	Present	Native|Alien
150030	Japan	JP	Present	Native|Alien
150031	Japan	JP	Present	Native|Alien
150032	Japan	JP	Present	Alien
150033	Japan	JP	Present	Alien
150034	Japan	JP	Present	Alien
150035	Japan	JP	Present	Alien
150036	Japan	JP	Present	Alien
150037	Japan	JP	Present	Alien
150038	Japan	JP	Present	Alien
150039	Japan	JP	Present	Alien
150040	Japan	JP	Present	Alien
150041	Japan	JP	Present	Alien
150042	Japan	JP	Present	Alien
150043	Japan	JP	Present	Alien
150044	Japan	JP	Present	Alien
150045	Japan	JP	Present	Alien
150046	Japan	JP	Present	Alien
150047	Japan	JP	Present	Alien
150048	Japan	JP	Present	Alien
150049	Japan	JP	Present	Alien
150050	Japan	JP	Present	Alien
150051	Japan	JP	Present	Alien
150052	Japan	JP	Present	Alien
150053	Japan	JP	Present	Alien
150054	Japan	JP	Present	Alien
150055	Japan	JP	Present	Alien
150056	Japan	JP	Present	Alien
150057	Japan	JP	Present	Alien
150058	Japan	JP	Present	Alien
150059	Japan	JP	Present	Alien
150060	Japan	JP	Present	Alien
150061	Japan	JP	Present	Alien
150062	Japan	JP	Present	Alien
150063	Japan	JP	Present	Alien
150064	Japan	JP	Present	Alien
150065	Japan	JP	Present	Alien
150066	Japan	JP	Present	Alien
150067	Japan	JP	Present	Alien
150068	Japan	JP	Present	Alien
150069	Japan	JP	Present	Alien
150070	Japan	JP	Present	Alien
150071	Japan	JP	Present	Alien
150072	Japan	JP	Present	Alien
150073	Japan	JP	Present	Alien
150074	Japan	JP	Present	Alien
150075	Japan	JP	Present	Alien
150076	Japan	JP	Present	Alien
150077	Japan	JP	Present	Alien
150078	Japan	JP	Present	Alien
150079	Japan	JP	Present	Alien
150080	Japan	JP	Present	Alien
150081	Japan	JP	Present	Alien
150082	Japan	JP	Present	Alien
150083	Japan	JP	Present	Alien
150084	Japan	JP	Present	Alien
150085	Japan	JP	Present	Alien
150086	Japan	JP	Present	Alien
150087	Japan	JP	Present	Alien
150088	Japan	JP	Present	Alien
150089	Japan	JP	Present	Alien
150090	Japan	JP	Present	Alien
150091	Japan	JP	Present	Alien
150092	Japan	JP	Present	Alien
150093	Japan	JP	Present	Alien
150094	Japan	JP	Present	Alien
150095	Japan	JP	Present	Alien
150096	Japan	JP	Present	Alien
150097	Japan	JP	Present	Alien
150098	Japan	JP	Present	Alien
150099	Japan	JP	Present	Alien
150100	Japan	JP	Present	Alien
150101	Japan	JP	Present	Alien
150102	Japan	JP	Present	Alien
150103	Japan	JP	Present	Alien
150104	Japan	JP	Present	Alien
150105	Japan	JP	Present	Alien
150106	Japan	JP	Present	Alien
150107	Japan	JP	Present	Alien
150108	Japan	JP	Present	Alien
150109	Japan	JP	Present	Alien
150110	Japan	JP	Present	Alien
150111	Japan	JP	Present	Alien
150112	Japan	JP	Present	Alien
150113	Japan	JP	Present	Alien
150114	Japan	JP	Present	Alien
150115	Japan	JP	Present	Alien
150116	Japan	JP	Present	Alien
150117	Japan	JP	Present	Alien
150118	Japan	JP	Present	Alien
150119	Japan	JP	Present	Alien
150120	Japan	JP	Present	Alien
150121	Japan	JP	Present	Alien
150122	Japan	JP	Present	Alien
150123	Japan	JP	Present	Alien
150124	Japan	JP	Present	Alien
150125	Japan	JP	Present	Alien
150126	Japan	JP	Present	Alien
150127	Japan	JP	Present	Alien
150128	Japan	JP	Present	Alien
150129	Japan	JP	Present	Alien
150130	Japan	JP	Present	Alien
150131	Japan	JP	Present	Alien
150132	Japan	JP	Present	Alien
150133	Japan	JP	Present	Alien
150134	Japan	JP	Present	Alien
150135	Japan	JP	Present	Alien
150136	Japan	JP	Present	Alien
150137	Japan	JP	Present	Alien
150138	Japan	JP	Present	Alien
150139	Japan	JP	Present	Alien
150140	Japan	JP	Present	Alien
150141	Japan	JP	Present	Alien
150142	Japan	JP	Present	Alien
150143	Japan	JP	Present	Alien
150144	Japan	JP	Present	Alien
150145	Japan	JP	Present	Alien
150146	Japan	JP	Present	Alien
150147	Japan	JP	Present	Alien
150148	Japan	JP	Present	Alien
150149	Japan	JP	Present	Alien
150150	Japan	JP	Present	Alien
150151	Japan	JP	Present	Alien
150152	Japan	JP	Present	Alien
150153	Japan	JP	Present	Alien
150154	Japan	JP	Present	Alien
150155	Japan	JP	Present	Alien
150156	Japan	JP	Present	Alien
150157	Japan	JP	Present	Alien
150158	Japan	JP	Present	Alien
150159	Japan	JP	Present	Alien
150160	Japan	JP	Present	Alien
150161	Japan	JP	Present	Alien
150162	Japan	JP	Present	Alien
150163	Japan	JP	Present	Alien
150164	Japan	JP	Present	Alien
150165	Japan	JP	Present	Alien
150166	Japan	JP	Present	Alien
150167	Japan	JP	Present	Alien
150168	Japan	JP	Present	Alien
150169	Japan	JP	Present	Alien
150170	Japan	JP	Present	Alien
150171	Japan	JP	Present	Alien
150172	Japan	JP	Present	Alien
150173	Japan	JP	Present	Alien
150174	Japan	JP	Present	Alien
150175	Japan	JP	Present	Alien
150176	Japan	JP	Present	Alien
150177	Japan	JP	Present	Alien
150178	Japan	JP	Present	Alien
150179	Japan	JP	Present	Alien
150180	Japan	JP	Present	Alien
150181	Japan	JP	Present	Alien
150182	Japan	JP	Present	Alien
150183	Japan	JP	Present	Alien
150184	Japan	JP	Present	Alien
150185	Japan	JP	Present	Alien
150186	Japan	JP	Present	Alien
150187	Japan	JP	Present	Alien
150188	Japan	JP	Present	Alien
150189	Japan	JP	Present	Alien
150190	Japan	JP	Present	Alien
150191	Japan	JP	Present	Alien
150192	Japan	JP	Present	Alien
150193	Japan	JP	Present	Alien
150194	Japan	JP	Present	Alien
150195	Japan	JP	Present	Alien
150196	Japan	JP	Present	Alien
150197	Japan	JP	Present	Alien
150198	Japan	JP	Present	Alien
150199	Japan	JP	Present	Alien
150200	Japan	JP	Present	Alien
150201	Japan	JP	Present	Alien
150202	Japan	JP	Present	Alien
150203	Japan	JP	Present	Alien
150204	Japan	JP	Present	Alien
150205	Japan	JP	Present	Alien
150206	Japan	JP	Present	Alien
150207	Japan	JP	Present	Alien
150208	Japan	JP	Present	Alien
150209	Japan	JP	Present	Alien
150210	Japan	JP	Present	Alien
150211	Japan	JP	Present	Alien
150212	Japan	JP	Present	Alien
150213	Japan	JP	Present	Alien
150214	Japan	JP	Present	Alien
150215	Japan	JP	Present	Alien
150216	Japan	JP	Present	Alien
150217	Japan	JP	Present	Alien
150218	Japan	JP	Present	Alien
150219	Japan	JP	Present	Alien
150220	Japan	JP	Present	Alien
150221	Japan	JP	Present	Alien
150222	Japan	JP	Present	Alien
150223	Japan	JP	Present	Alien
150224	Japan	JP	Present	Alien
150225	Japan	JP	Present	Alien
150226	Japan	JP	Present	Alien
150227	Japan	JP	Present	Alien
150228	Japan	JP	Present	Alien
150229	Japan	JP	Present	Alien
150230	Japan	JP	Present	Alien
150231	Japan	JP	Present	Alien
150232	Japan	JP	Present	Alien
150233	Japan	JP	Present	Alien
150234	Japan	JP	Present	Alien
150235	Japan	JP	Present	Alien
150236	Japan	JP	Present	Alien
150237	Japan	JP	Present	Alien
150238	Japan	JP	Present	Alien
150239	Japan	JP	Present	Alien
150240	Japan	JP	Present	Alien
150241	Japan	JP	Present	Alien
150242	Japan	JP	Present	Alien
150243	Japan	JP	Present	Alien
150244	Japan	JP	Present	Alien
150245	Japan	JP	Present	Alien
150246	Japan	JP	Present	Alien
150247	Japan	JP	Present	Alien
150248	Japan	JP	Present	Alien
150249	Japan	JP	Present	Alien
150250	Japan	JP	Present	Alien
150251	Japan	JP	Present	Alien
150252	Japan	JP	Present	Alien
150253	Japan	JP	Present	Alien
150254	Japan	JP	Present	Alien
150255	Japan	JP	Present	Alien
150256	Japan	JP	Present	Alien
150257	Japan	JP	Present	Alien
150258	Japan	JP	Present	Alien
150259	Japan	JP	Present	Alien
150260	Japan	JP	Present	Alien
150261	Japan	JP	Present	Alien
150262	Japan	JP	Present	Alien
